Carro de guerra
M1A1 Abrams
Exército dos Estados Unidos
Iraque
T-14 Armata
Forças Terrestres da Rússia
Lagarta (mecânica)
Calibre
Canhão
Cavalaria
Exército
Blindagem
Guerra
Medo
Infantaria
Engenharia
Artilharia
Avião
Mina antitanque
Caça (aeronave)
Leonardo da Vinci
Mark I (tanque de guerra)
Centro de gravidade
Rolls-Royce
1914
Winston Churchill
6 de Setembro
1915
Língua portuguesa
Mesopotâmia
Marinha Real Britânica
Batalha do Somme
15 de Setembro
1916
França
Schneider CA1
16 de Abril
1917
St. Chamond (tanque)
Renault FT-17
A7V
20 de Novembro
Batalha de Cambrai (1917)
Batalha de Amiens
Tiger II
Segunda Guerra Mundial
Armas anticarro
Infantaria motorizada
Type 74
Japão
Peça de artilharia
Reino Unido
Estados Unidos
Alemanha
T-34
Tiger I
Panther
Israel
Merkava
AT-4
Kuwait
Mina anticarro
A-10 Thunderbolt II
Ilyushin Il-2
União Soviética
Alemanha Nazista
Junkers Ju 87
Batalha da França
1940
Carro blindado
Guerra mecanizada
Blitzkrieg
Lista de tanques
Veículo blindado de transporte de pessoal
Tank
Primeira Guerra Mundial
Char 2C
Itália
Fiat 2000
Mark VIII
Mark IX (tanque)
Whippet Mk A
Mark B
Mark C
Little Willie
Flying Elephant
Tsar Tank
LK I
LK II
Mark VI
K-Wagen
Sturmpanzerwagen Oberschlesien
Holt (tanque)
Tanque a vapor
Tanque a vapor sobre rodas
Tanque Skeleton
Vezdekhod
Lista de veículos blindados de combate por país
Lista de veículos blindados de combate da Primeira Guerra Mundial
Elefant (Jagdpanzer)
Heuschrecke 10
Hummel
Jagdtiger
Landkreuzer P. 1000 Ratte
Landkreuzer P. 1500 Monster
Ostwind
Panzerkampfwagen V Panther
Panzer 35(t)
Panzerkampfwagen I
Panzerkampfwagen II
Panzerkampfwagen III
Panzerkampfwagen IV
Panzerkampfwagen VIII Maus
Sturmgeschütz III
Panzerkampfwagen VI Tiger
Panzerkampfwagen VI Tiger II
Wespe
Wirbelwind
Argentina
Nahuel
Austrália
Sentinel Mk I (AC1)
Canadá
Ram Mk II
M24 Chaffee
DD (tanque)
M3 Lee
M22 Locust
M2 Tanque Leve
M26 Pershing
M4 Sherman
M3 Stuart
T14 tanque pesado
AMC 34
AMC 35
AMR 35
Char D2
Hotchkiss H35
Renault R35
Somua S-35
Hungria
40 M Turan I
CV-33
Fiat L6/40
M11-39
Fiat M14/41
L3/35
M15/42
Type 2 Ka-Mi
Type 95 Ha-Go
Type 97 Chi-Ha
Type 92 Jyu-Sokosha
Polônia
7TP
TK-3/TKS
Vickers 6-Ton
Cavalier Mk VII (A24)
Churchill Mk. IV
Comet I (A34)
Covenanter Mk V (A13 Mk III)
Cromwell Mk VIII (A27M)
Cruiser Mk I
Cruiser Mk II
Cruiser Mk III
Cruiser Mk IV
Cruiser Mk VIII Challenger
Crusader Mk VI (A15)
Matilda Mk I
Sherman Firefly (vagalume)
TOG2 (tanque)
Valiant (tanque)
Antonov A-40
BT-7
Tanque Iosef Stalin
KhTZ-16
Kliment Voroshilov (tanque)
T-26
T-28
T-35
T-37 (tanque)
T-38 (tanque)
T-40
T-43
T-44
T-70
Tanque teleguiado
Militarismo
Lista de alianças militares
Conscrição
Armas combinadas
Ciência militar
Comando e controle
Condecoração militar
Ditadura militar
Diplomacia das canhoneiras
Doutrina militar
Engenharia militar
Estratégia militar
Exercício militar
Lista de países por gastos militares
Gendarmaria
Obediência hierárquica
História militar
Complexo militar-industrial
Indústria bélica
Instrução militar
Inteligência militar
Junta militar
Logística militar
Medicina militar
Empresa militar privada
Empreiteira militar
Mercenário
Milícia
Força paramilitar
Mulheres no serviço militar
Polícia militar
Polícia de fronteira
Polícia florestal
Profissionalização militar
Saúde militar
Serviço militar
Tecnologia militar
Blindagem reativa
Tecnologia stealth
Unidade militar
Uniforme militar
Arma de fogo
Listas de armas
Arma automática
Arma curta
Lista de armas de fogo
Arma de destruição em massa
Arma espacial
Arma ligeira
Arma longa
Arma química
Arma radiológica
Armeiro
Bomba
Bomba nuclear
Bomba de cobalto
Bomba de hidrogénio
Bomba de nêutrons
Carabina
Famílias de calibres
Fuzil
Lista de fuzis de assalto
Lista de fuzis de batalha
Lista de fuzis de precisão
Lança-granada
Lista de lançadores de granadas
Metralhadora
Lista de metralhadoras
Metralhadora leve
Metralhadora média
Metralhadora pesada
Lista de submetralhadoras
Míssil
Morteiro
Lista de pistolas
Pistola-metralhadora
Pistola automática
Pistola semiautomática
Revólver
Torpedo
Conflito
Ataque militar
Contra-ataque (militar)
Batalha
Lista de batalhas
Campanha militar
Campo de batalha
Camuflagem militar
Combate
Combate em ambientes confinados
Comboio militar
Conquista militar
Guerrilha
Marcha para o contacto
Mobilidade operacional
Operação militar
Operações ofensivas
Operações defensivas
Operação de desembarque
Operações retrógradas
Perseguição (táctica militar)
Procurar e destruir
Reconhecimento em força
