Média ponderada
Qualidade de vida
Índice de Desenvolvimento Humano
Renda
Saúde
Saneamento
Educação
Cultura
Lazer
Violência
Criminalidade
Poluição
Equidade
Jeanne Calment
Caenorhabditis elegans
Nematoda
IBGE
Brasil
Lista de unidades federativas do Brasil por expectativa de vida
Lista de países por esperança média de vida à nascença
Esperança de vida corrigida pela incapacidade
Decano da Humanidade
International Standard Serial Number
Digital object identifier
Instituto Nacional de Estatística (Portugal)
Demografia
Abstinência sexual
Agregado familiar
Alastramento urbano
Alegações de longevidade extrema
Bioestatística
Catástrofe malthusiana
Controle populacional
Crescimento natural
Crescimento populacional
Crises demográficas
Declínio populacional
Déficit habitacional
Demografia histórica
Densidade populacional
Depopulação
Desnatalidade
Dinâmica populacional
Distribuição natural
Ecologia organizacional
Economia demográfica
Economia doméstica
Estimativas de população
Êxodo urbano
Explosão demográfica
Fertilidade
Fluxo migratório
Gentrificação
Geografia populacional
Inverno demográfico
Miscigenação
Mortalidade infantil
Mortalidade perinatal
Movimento pendular
Natalismo
Paradoxo demográfico-econômico
Pirâmide etária
Planejamento familiar
Potencial demográfico
Transição demográfica
Urbanização excludente
População
População absoluta
População economicamente ativa
População em idade ativa
População mundial
População residente
Superpopulação
Teoria populacional malthusiana
Teoria populacional neomalthusiana
Transferência populacional
Número índice
Indicador social
Índice de Whipple
Índice de diversidade
Índice de sustentabilidade potencial
Razão sexual
Razão de dependência
Tábua de mortalidade
Taxa de letalidade
Taxa de fecundidade
Taxa de mortalidade
Taxa de mortalidade padronizada para a idade
Taxa de nupcialidade
Aglomeração urbana
Aldeia
Enclave étnico
Localidade
Regiópole
Povoado
Vazio humano
Lista de países por crescimento populacional
Lista de órgãos estatísticos nacionais e internacionais
National Security Study Memorandum 200
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Encyclopædia Britannica
Gran Enciclopedia Aragonesa
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Medical Subject Headings
