Localização
Brasil
Foz do Iguaçu
Paraná
Paraguai
Hernandarias (Paraguai)
Bacia hidrográfica
Bacia do rio da Prata
Rio
Rio Paraná
Sistema de coordenadas
Itaipu Binacional
Comissão Técnica Mista Brasil-Paraguai
1975
1982
5 de maio
1984
Barragem
Barragem de aterro
Barragem de gravidade
Metro
17 de maio
1974
Quilómetro quadrado
Watt
Turbina
Língua castelhana
Língua guarani
Hidrelétrica
Língua tupi
Barragem das Três Gargantas
China
Lista das maiores usinas hidrelétricas do mundo
Megawatt
Ciudad del Este
Guaíra (Paraná)
Salto del Guairá
Turbina hidráulica
Ponte Internacional da Amizade
Sete Maravilhas do Mundo Moderno
Estados Unidos
Tupi-guarani
Juracy Magalhães
Raúl Sapena Pastor
Salto de Sete Quedas
Rio Iguaçu
Tratado de Itaipu
Maquete
Fotografia aérea
ELC Electroconsult
Itália
Grupo Andrade Gutierrez
Estádio do Maracanã
Aço
Torre Eiffel
Eurotúnel
Argentina
Sete Quedas
Rio da Prata
Buenos Aires
Hidroeléctrica de Yacyretá
Vertedouro
Gerador
Cataratas do Iguaçu
Queda de energia no Brasil em 2009
Fernando Lugo
Luiz Inácio Lula da Silva
Palácio Itamaraty
Energia elétrica
Blecaute de 11 de março de 1999
Blecaute
Subestação
Município
Ivaiporã
São Paulo (estado)
Unidades federativas do Brasil
República Federativa do Brasil
República do Paraguai
Empresa Brasileira de Participações em Energia Nuclear e Binacional
Administración Nacional de Electricidad
Ministério das Relações Exteriores (Brasil)
Barragem de enrocamento
Altura (medida)
Frequência
Hertz
Potência
Fator de potência
Tensão elétrica
Volt
Turbina Francis
Hexafluoreto de enxofre
Transformador
Linha de transmissão
Eletrobras Furnas
Companhia Paranaense de Energia
Corrente contínua em alta tensão
Retificador
Ibiúna
Região Sudeste do Brasil
Itaberá
Distrito
Quatinga (distrito de Mogi das Cruzes)
Mogi das Cruzes
Rio Acaray
Carayaó
Villa Hayes
Guaíra
Mato Grosso do Sul
Royalties
Lei dos Royalties
Salto das Sete Quedas
Brasiguaios
Bairro
Medianeira (Paraná)
Movimento dos Trabalhadores Rurais Sem Terra
Procuradoria Geral da República
Povos indígenas do Brasil
Guaranis
Funai
Lago de Itaipu
Fronteira Brasil-Paraguai
Milagre econômico brasileiro
Regime militar no Brasil
Usina Hidrelétrica Engenheiro Sérgio Motta
Usina Hidrelétrica de Ilha Solteira
Usina Hidrelétrica Engenheiro Sousa Dias
Hidrelétrica de Três Gargantas
Principais hidrelétricas a montante da Usina Hidrelétrica de Itaipu
Alcantara Cyclone Space
Entidade Binacional Yacyretá
Lista de usinas hidrelétricas do Brasil
Método Moderno de Tupi Antigo
Wayback Machine
Ipea
O Globo
International Standard Serial Number
International Standard Book Number
Senado do Brasil
Folha de S.Paulo
Google Maps
Hidrografia do Brasil
Lista de ilhas do Brasil
Lista de baías do Brasil
Lista de quedas-d'água do Brasil
Litoral do Brasil
Listas de rios do Brasil
Bacia do Alto Tietê
Bacia do rio Amazonas
Bacia Araguaia-Tocantins
Bacia do rio Descoberto
Bacia do rio Doce
Bacia do rio Parnaíba
Sub-bacia do rio Paraguai
Sub-bacia do rio Paraná
Região hidrográfica do Uruguai
Bacia do rio São Francisco
Bacia do rio Tietê-Jacaré
Gestão integrada de recursos hídricos no Brasil
Irrigação no Brasil
Legislação sobre águas no Brasil
Código de Águas Minerais
Transporte hidroviário no Brasil
Zona Costeira Brasileira
Lista de barragens do Brasil
Lista de canais do Brasil
Lista de hidrovias do Brasil
Lista de portos do Brasil
Agência Nacional de Águas e Saneamento Básico
Conselho Nacional de Recursos Hídricos
Agência Nacional de Transportes Aquaviários
Regiões hidrográficas do Brasil
Região hidrográfica Amazônica
Região hidrográfica do Atlântico Leste
Região hidrográfica do Atlântico Nordeste Ocidental
Região hidrográfica do Atlântico Nordeste Oriental
Região hidrográfica do Atlântico Sudeste
Região hidrográfica do Atlântico Sul
Região hidrográfica do Paraguai
Região hidrográfica do Paraná
Região hidrográfica do Parnaíba
Região Hidrográfica da Lagoa dos Patos
Região hidrográfica do São Francisco
Região hidrográfica do Tocantins-Araguaia
Hidrografia do Ceará
Hidrografia do Maranhão
Hidrografia do Paraná
Hidrografia de Santa Catarina
Lista de ilhas da Bahia
Lista de ilhas do Espírito Santo
Lista de ilhas do Maranhão
Lista de ilhas de Minas Gerais
Lista de ilhas do Pará
Lista de ilhas da Paraíba
Lista de ilhas de Pernambuco
Lista de ilhas do Rio Grande do Sul
Lista de ilhas do Rio Grande do Norte
Lista de ilhas de Santa Catarina
Lista de ilhas de São Paulo
Lista de lagoas da Bahia
Lista de barragens do Ceará
Lista de lagoas do Espírito Santo
Lista de lagoas de Minas Gerais
Lista de açudes da Paraíba
Lista de lagoas de Santa Catarina
Lista de praias da Bahia
Lista de praias do Ceará
Lista de praias de Pernambuco
Lista de praias do Pará
Lista de praias da Paraíba
Lista de praias do Rio Grande do Norte
Lista de praias do Rio de Janeiro
Lista de praias de São Paulo
Lista de rios do Amazonas
Lista de rios da Bahia
Lista de rios do Ceará
Lista de rios do Maranhão
Lista de rios de Mato Grosso
Lista de rios de Mato Grosso do Sul
Lista de rios de Minas Gerais
Lista de rios do Pará
Lista de rios do Rio Grande do Sul
Lista de rios de Sergipe
Usina Hidrelétrica Engenheiro Souza Dias
Represa de Yacyretá
Base Virtual Internacional de Autoridade
Encyclopædia Britannica
Gemeinsame Normdatei
Structurae
GeoNames
