Logotipo
Bandeira da Comunidade dos Países de Língua Portuguesa
Estados-membros da Comunidade dos Países de Língua Portuguesa
Organização internacional
17 de julho
1996
Palácio dos Condes de Penafiel
Lisboa
Portugal
Angola
Brasil
Cabo Verde
Guiné-Bissau
Guiné Equatorial
Moçambique
São Tomé e Príncipe
Timor-Leste
Andorra
Argentina
Canadá
Catar
Chile
Costa do Marfim
Eslováquia
Espanha
Estados Unidos
França
Geórgia
Grécia
Hungria
Índia
Irlanda
Itália
Japão
Luxemburgo
Maurícia
Namíbia
Paraguai
Peru
Reino Unido
Romênia
Senegal
Sérvia
Chéquia
Turquia
Uruguai
Conferência Ibero-americana
Organização dos Estados Ibero-americanos
Língua portuguesa
Secretário Executivo da Comunidade dos Países de Língua Portuguesa
Zacarias da Costa
Dia da Cultura Lusófona
Jogos da CPLP
Brasília
Países de língua oficial portuguesa
Instituto Internacional da Língua Portuguesa
Império Português
Crioulos de base portuguesa
Países Africanos de Língua Oficial Portuguesa
Bissau
Descobrimentos portugueses
Cimeira
Casamança
Luanda
Díli
Palácio Penafiel
Tchéquia
Santa Maria (Cabo Verde)
Conferência Ibero-Americana
São Tomé (São Tomé e Príncipe)
Estatísticas dos membros da Comunidade dos Países de Língua Portuguesa
Presidente de Portugal
Marcelo Rebelo de Sousa
Primeiro-ministro de Portugal
António Costa
Estado soberano
América
Europa
África
Transcontinental
Ásia
Oceania
República de Angola
República Federativa do Brasil
República de Cabo Verde
República da Guiné-Bissau
República da Guiné Equatorial
República de Moçambique
República Portuguesa
República Democrática de São Tomé e Príncipe
República Democrática de Timor-Leste
Maurício
"Organização dos Estados Ibero-americanos para Educação, Ciência e Cultura"
Eurásia
Indonésia
Marrocos
Essuatíni
Coreia do Sul
Rússia
Austrália
Ruanda
República Dominicana
Colômbia
Ucrânia
Secretaria-Geral Ibero-Americana
Português uruguaio
Reintegracionismo
Língua galega
Diassistema
Galiza
Academia Galega da Língua Portuguesa
Junta da Galiza
Associação de Amizade Galiza-Portugal
AGAL
Movimento Defesa da Língua
BNG
Movimento Internacional Lusófono
Século XV
Língua inglesa
Língua francesa
Língua Espanhola
Macau
China
Murade Murargy
Governo da China
Palácio do Itamaraty
XII Conferência de Chefes de Estado e de Governo da Comunidade dos Países de Língua Portuguesa
Euro
Ciclone Idai
Organização das Nações Unidas
Organização Mundial da Saúde
Rede ePORTUGUÊSe
Sistema de informação em saúde
Maria do Carmo Silveira
Francisco Ribeiro Telles
Carlos Vila Nova
João Lourenço
Jorge Carlos Fonseca
Michel Temer
Taur Matan Ruak
Índice de Desenvolvimento Humano
Boaventura de Sousa Santos
Neocolonialismo
União das Cidades Capitais de Língua Portuguesa
União de Médicos Escritores e Artistas Lusófonos
Aliança das Agências de Informação de Língua Portuguesa
Acordo Ortográfico de 1990
Império Colonial Português
Cinema lusófono
TV CPLP
