Classificação científica
Reino (biologia)
Plantae
Divisão (biologia)
Magnoliophyta
Classe (biologia)
Liliopsida
Ordem (biologia)
Poales
Família (biologia)
Poaceae
Género (biologia)
Sinonímia (taxonomia)
Michx.
Stapf
Bor
Trin.
Stokes
Espécie
Gramíneas
Planta perene
Gênero (biologia)
Saccharum
Tribo (biologia)
Andropogoneae
Clima tropical
Sul da Ásia
Melanésia
Açúcar
Etanol
Caule
Sacarose
Cultivar
Híbrido (biologia)
Milho
Trigo
Arroz
Sorgo
Forrageiras
Indústria alimentar
Indústria açucareira
Brasil
Organização das Nações Unidas para Alimentação e Agricultura
Índia
China
Tailândia
Paquistão
México
Beterraba
Clima subtropical
Clima temperado
Melaço
Rapadura
Rum
Cachaça
Bagaço
Inflorescência
Indonésia
Persas
Grécia antiga
Caribe
América do Sul
Oceano Índico
Oceano Pacífico
Trabalho escravo
Servidão
Mundo muçulmano
Europeus
Trópico
Ásia Meridional
Sudeste Asiático
Ásia
Saccharum barberi
Saccharum officinarum
Nova Guiné
Agricultura
Agricultor
Sânscrito
Páli
Árabes
Califado Abássida
Mar Mediterrâneo
Mesopotâmia
Egito
Norte de África
Andaluzia
América
Império Espanhol
Canárias
Império Português
Ilha da Madeira
Cristóvão Colombo
Hispaniola
Haiti
República Dominicana
Comércio Triangular
Novo Mundo
Comércio atlântico de escravos
Europa
Nova Inglaterra
África Ocidental
Escravo
Maurícia
Império Britânico
Mão de obra
Portugal
Trabalho forçado
Indianos
Chineses
Fiji
Colónia de Natal
Myanmar
Sri Lanka
Malásia
Guiana
Jamaica
Trindade e Tobago
Martinica
Guiana Francesa
Guadalupe
Granada (país)
Santa Lúcia
São Vicente e Granadinas
São Cristóvão e Neves
Ilhas Virgens Americanas
Suriname
Ciclo do açúcar
Engenho de açúcar no Brasil colonial
História da alimentação no Brasil
Campinas
Benedito Calixto
Capitania de Pernambuco
Engenho de açúcar
Ciclo econômico
Ciclo do pau-brasil
Escravidão indígena no Brasil
Escravidão no Brasil
Século XIX
Abolição da escravatura no Brasil
Pós-abolição no Brasil
Trabalho (economia)
Trabalhador
Economia brasileira
Monocultura
Produto (indústria)
Culinária brasileira
Doces brasileiros
São Paulo (estado)
Zona da Mata Mineira
Norte fluminense
Goiás
Minas Gerais
Mato Grosso do Sul
Paraná
Mato Grosso
Campos dos Goytacazes
Rio de Janeiro (estado)
Etanol celulósico
Pradópolis
Colmo
Xarope
In natura
Caldo de cana
Fermentação alcoólica
Matéria-prima
Energia elétrica
Turbina
Hidrólise enzimática
Fósforo
Adubo
Vinhaça
Potássio
Fertilizante
Biomassa
Biogás
Metano
Gás carbônico
Caminhão
Flórida
Estados Unidos
Álcool
Biodiesel
Rio de Janeiro
Economia
Cuba
União Soviética
Barbados
2008
África austral
África do Sul
Moçambique
Maurício
Hectare
Organização das Nações Unidas
Dólar dos Estados Unidos
Austrália
Guatemala
Filipinas
Poluição atmosférica
Combustíveis fósseis
Preservação ambiental
Crédito de carbono
Ribeirão Preto
Araraquara
Barretos
Franca
Jaboticabal
Ituverava
Canavial
Companhia Ambiental do Estado de São Paulo
Leguminosa
Soja
Fixação de nitrogênio
Instituto Brasileiro de Geografia e Estatística
Região Sudeste do Brasil
Toneladas
São Paulo
Colheitadeira
Piracicaba
Município (Brasil)
Morro Agudo
Estado de São Paulo
Arrendamento
Parceria rural
B3 (bolsa de valores)
Commodities
Álcool combustível
Caipirinha
Sucralose
Glutamato monossódico
Palmito
Vinhoto
Biocombustível
Energia renovável
Energia sustentável
Etanol combustível
Etanol como combustível no Brasil
Gasolina
Palma
Óleos vegetais
Energy Information Administration
Levedura
Saccharomyces cerevisiae
Éster
Farneceno
Hidrocarboneto
Diesel
Bio-hidrogénio
Produção biológica de hidrogênio
Bioetanol
Hidrogênio verde
Anos 2020
Cloro
Cloreto de potássio
Cogeração
Cloreto de metila
Estratosfera
Ozônio
Raios ultravioletas
Radiação UV
Aquecimento global
Salinidade
Microrganismos
Dioxinas
Cancerígenas
Câncer de esôfago
Câncer de laringe
Câncer de rim
Câncer de pulmão
Linfoma não Hodgkin
Filtro de mangas
Precipitador eletrostático
"2,3,7,8-tetraclordibenzodioxina"
International Standard Book Number
Cambridge University Press
Reserva da biosfera da Mata Atlântica
Folha de S.Paulo
Universidade do Oeste Paulista
Wikimedia
