Wallace Downey
Carmen Miranda
Tipos de empresas
Privada
Cinema
Estúdio
Produtora de cinema
15 de março
1930
Adhemar Gonzaga
Rio de Janeiro (cidade)
Rio de Janeiro (estado)
Brasil
Filmes
1930 no cinema
Década de 1930
Década de 1940
Chanchada
Sistema de som Movietone
Humberto Mauro
Lábios Sem Beijos
1933 no cinema
A Voz do Carnaval
"Alô, alô, Brasil"
"Alô, Alô, Carnaval"
Onde Estás Felicidade?
Oscarito
Grande Otelo
Dercy Gonçalves
O Ébrio (filme)
1946 no cinema
Gilda de Abreu
Bonequinha de Seda
1936 no cinema
Estudantes (filme)
1935 no cinema
Ganga Bruta
Limite (filme)
1931 no cinema
Malhação
Rede Globo
1995
1998
Sítio do Pica-Pau Amarelo
Fera Radical
Bebê a Bordo
Casseta e Planeta
Riacho Doce
Direito de Amar
Bambolê
Mulher
Lábios sem Beijos
Mulher (filme)
"Alô, Alô, Brasil!"
Carioca Maravilhosa
Alô Alô Carnaval
O Jovem Tataravô
O Descobrimento do Brasil (filme)
O Samba da Vida
Aruanã
Maridinho de Luxo
Tererê Não Resolve
Joujoux e Balangandãs
Pureza (1940)
24 Horas de Sonho
O Dia é Nosso
It's All True
Salário Mínimo (filme)
1987
Troféu Oscarito
Festival de Gramado
Walter Hugo Khouri
Anselmo Duarte
Alberto Ruschel
Museu de Arte Moderna do Rio de Janeiro
Cinemateca Brasileira
Carlos Manga
José Lewgoy
Nelson Pereira dos Santos
Lucy Barreto
Luiz Carlos Barreto
Paulo José
Hugo Carvana
Marieta Severo
Milton Gonçalves
Lima Duarte
Glória Menezes
Tarcísio Meira
Antônio Fagundes
Zezé Motta
Walmor Chagas
Reginaldo Faria
Paulo César Pereio
Fernanda Montenegro
Betty Faria
Glória Pires
Flávio Migliaccio
Marília Pêra
Sônia Braga
Dira Paes
Edson Celulari
Lázaro Ramos
Marco Nanini
Marcos Palmeira
Laura Cardoso
Léa Garcia
Matheus Nachtergaele
Empresa
