Braga
Reino de Portugal
Escritor
Historiador
Ipupiara (criptozoologia)
1540
1580
Flamengos
Gand
Latim
Língua portuguesa
Norte de Portugal
Torre do Tombo
História da Província Santa Cruz
Papa-formiga
Tatu
Capitania de São Vicente
Mandioca
Fauna
Flora
Descoberta do Brasil
Pedro Álvares Cabral
Indígenas do Brasil
Capitanias hereditarias
Capistrano de Abreu
Capitania de Itamaracá
Olinda
Salvador (Bahia)
Ciclo do açúcar
Engenho
Portal Domínio Público
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Biblioteca Virtual Miguel de Cervantes
Consortium of European Research Libraries
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Projeto Gutenberg
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Biblioteca Digital Curt Nimuendajú
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
Open Library
