Franca
Bandeira da França
Emblema nacional da França
Língua francesa
La Marseillaise
União Europeia
Territórios ultramarinos da França
Paris
Gentílico
Franceses
República
Estado unitário
Semipresidencialismo
Presidente da França
Emmanuel Macron
Lista de primeiros-ministros da França
François Bayrou
Assembleia Nacional Francesa
Senado da França
Gérard Larcher
Parlamento francês
Câmara alta
Câmara baixa
História da França
Estado
843
Tratado de Verdun
Constituição da França
Quilómetro quadrado
Lista de países e territórios por área
Lista de países por população
Densidade populacional
Produto interno bruto
Paridade do poder de compra
1 000 000 000 000
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Euro
ISO 4217
Fuso horário
Horário da Europa Central
Tempo Universal Coordenado
Horário de verão
Horário de Verão da Europa Central
ISO 3166-1
Lista de TLDs
.fr
Lista de códigos telefónicos
País
Europa Ocidental
Departamentos franceses ultramarinos e territórios
França Metropolitana
Mar Mediterrâneo
Canal da Mancha
Mar do Norte
Rio Reno
Oceano Atlântico
Geométrica
Bélgica
Luxemburgo
Alemanha
Suíça
Itália
Espanha
Microestado
Mônaco
Andorra
Europa
Rússia
Ucrânia
Território de ultramar (França)
Guiana Francesa
Grande potência
Economia
Cultura
Militar
Política
Colonização
Império colonial francês
América do Norte
África Central
África Ocidental
Sudeste Asiático
Oceano Pacífico
Enciclopédia
Encyclopédie
Iluminismo
Declaração dos Direitos do Homem e do Cidadão
Laicismo
Democracia
País desenvolvido
Padrão de vida
Lista de países por esperança média de vida à nascença
Organização Mundial de Saúde
Turismo na França
Lista de países por gastos militares
Forças Armadas da França
Organização do Tratado do Atlântico Norte
Conselho de Segurança das Nações Unidas
Países com armamento nuclear
Organização das Nações Unidas
Francofonia
G8
G20 maiores economias
Organização para a Cooperação e Desenvolvimento Econômico
Organização Mundial do Comércio
União Latina
Império Franco
Latim
Francos
Edward Gibbon
Jacob Grimm
Língua inglesa
Língua protogermânica
Pré-história da França
Rochas de Carnac
Hominídeo
Eras glaciais
Nômade
Caçadores-coletores
Era paleolítica
Lascaux
Último período glacial
Era neolítica
Metalurgia
Ouro
Cobre
Bronze
Ferro
Megalítico
Celtas
Gália
Gália Narbonense
Vercingetórix
Júlio César
Guerras da Gália
Maison Carrée
Nemauso (cidade)
Nimes
Roma Antiga
Gregos
Jônicos
Foceia
Colónias (Antiguidade)
Marselha
Gaulesas
República Romana
Provincia Nostra
Augusto
Províncias romanas
Lugduno
Lião
Fórum Romano
Teatro romano
Circo romano
Anfiteatro
Termas romanas
Gauleses
Politeísmo romano
Politeísmo celta
Sincretismo
Bárbaros
Constantino
Cristianismo
Império Romano
Invasões bárbaras
Tribos germânicas
Vândalos
Suevos
Alanos
Hispânia
Queda do Império Romano do Ocidente
França na Idade Média
Reino Franco
Dinastia merovíngia
Dinastia carolíngia
Reino da França
Dinastia capetiana
Casa de Valois
Casa de Bourbon
Lista de monarcas da França
Antiguidade
Reino de Soissons
Britanos
Anglo-saxã
Grã-Bretanha
Armórica
Bretanha
Paganismo
Clóvis
Queda do Império Romano
Cristianismo católico
Arianismo
Papado
Frância
Línguas românicas
Línguas germânicas
Orléans
Soissons
Reims
Rei Preguiçoso
Mordomo do palácio
Carlos Martel
Islâmica
Batalha de Poitiers (732)
"Pepino, o Breve"
Carlos Magno
Lista de imperadores do Sacro Império Romano-Germânico
Catedral de Aachen
Imperador Romano-Germânico
Papa Leão III
Igreja Católica
Império Romano do Ocidente
Luís I da França
Frância Oriental
"Luís, o Germânico"
Lotário I
Frância Ocidental
Carlos II de França
Hugo Capeto
Capetianos
Filipe II de França
Cruzadas
Terra Santa
Árabes
Levante (Mediterrâneo)
Língua franca
Estados cruzados
Ordem Soberana e Militar de Malta
Ordem dos Templários
Filipe IV de França
Cruzada Albigense
Cátaros
Hereges
Condado de Toulouse
Joana D'Arc
Batalha de Orleães
Carlos IV de França
Lei sálica
Filipe VI de França
Eduardo III de Inglaterra
Peste Negra
Inglaterra
Guerra dos Cem Anos
Lista de monarcas da Inglaterra
Joana d'Arc
Renascimento francês
Guerras religiosas na França
Antigo Regime
Catarina de Médici
Protestantismo
Massacre da noite de São Bartolomeu
Guerras Religiosas na França
Língua oficial
Aristocracia
Guerras Italianas
Sacro Império Romano-Germânico
Jacques Cartier
Samuel de Champlain
América
Reforma Protestante
Guerra civil
Huguenotes
Luís XIII da França
"Armand Jean du Plessis, Cardeal de Richelieu"
Duelo
Luís XIV da França
Monarquia absolutista
Senhores feudais
Cortesão
Palácio de Versalhes
Diplomacia
Ciência
Literatura
Relações internacionais
Luís XV da França
Nova França
Índia Francesa
Guerra dos Sete Anos
Lorena (França)
Córsega
Revolução Francesa
Guerras revolucionárias francesas
Processo de Luís XVI
Execução de Luís XVI
