Partido Socialista Brasileiro (1932)
Partido Socialista Brasileiro (1945)
Partido Socialista (Brasil)
Carlos Siqueira
Renato Casagrande
João Henrique Campos
Presidente de honra
Ariano Suassuna
2 de julho
1985
1 de julho
1988
Brasília
Distrito Federal (Brasil)
Social-democracia
Progressismo
Federalismo
Parlamentarismo
Liberalismo social
Espectro político
Centro-esquerda
Think tank
Fundação João Mangabeira
Partido Socialista Brasileiro (1947)
Partido Trabalhista Brasileiro (1979)
Aliança Progressista
Foro de São Paulo
Governadores
Prefeito
Senado Federal do Brasil
Câmara dos Deputados do Brasil
Deputado estadual
Vereadores
Parlamento do Mercosul
Política do Brasil
Lista de partidos políticos do Brasil
Eleições no Brasil
Símbolo da paz
São Paulo (estado)
Rio Grande do Sul
Minas Gerais
Itamar Franco
Luiz Inácio Lula da Silva
Dilma Rousseff
Fernando Collor
Michel Temer
Fernando Henrique Cardoso
Geraldo Alckmin
João Mangabeira
Evandro Lins e Silva
Evaristo de Morais Filho
Rubem Braga
Antônio Houaiss
Roberto Amaral
Partido dos Trabalhadores
PDT
Leonel Brizola
Rio de Janeiro (cidade)
Saturnino Braga
Arthur Virgílio Neto
Manaus
PSB
Partido da Social Democracia Brasileira
Partido Comunista do Brasil
José Paulo Bisol
PMDB
Miguel Arraes
São Luís (Maranhão)
Conceição Andrade
Aldo Tinoco
Maceió
Ronaldo Lessa
Pernambuco
Partido Popular Socialista
João Capiberibe
Pará
Antônio Carlos Valadares
Sergipe
São Paulo (cidade)
Luiza Erundina
Ciro Gomes
Alagoas
Rio de Janeiro (estado)
Anthony Matheus
Jânio Quadros
Célio de Castro
PGT
Partido Trabalhista Cristão
Populismo
Rosinha Garotinho
Espírito Santo (estado)
Paulo Hartung
Rio Grande do Norte
Wilma de Faria
"Ministério da Ciência, Tecnologia e Inovação"
Eduardo Campos
Patrícia Saboya Gomes
PSDB
Acidente aéreo de Santos em 2014
Santos
Partido Humanista da Solidariedade
Partido Ecológico Nacional
Partido Verde (Brasil)
Eleição presidencial no Brasil em 2022
Reformismo
Federação
Economia criativa
Socialismo de mercado
Brasilianista
Partido pega-tudo
Cid Gomes
Lista de senadores do Brasil da 56.ª legislatura
Lista de senadores do Brasil da 57.ª legislatura
Jorge Kajuru
Flávio Arns
Chico Rodrigues
Lídice da Mata
Paulo Foletto
Duarte Júnior
Eriberto Medeiros
Felipe Carreras
Guilherme Uchoa Júnior
Lucas Ramos
Pedro Campos
Gervásio Agripino Maia
Luciano Ducci
Eduardo Bandeira de Mello
Heitor Schuch
Tabata Amaral
Adailton Cruz
Tião Gomes
Soane Galvão
Angelo Almeida
Tyago Hoffmann
Luís Corti
Janete de Sá
Gleide Angelo
Dary Pagung
Rodrigo Novaes
Karlos Cabral
Eriberto Filho
Iracema Vale
Carlos Lula
Aglailson Victor
Davi Brandão
Dannilo Godoy
Florêncio Neto
Simone Santana
Francisco Nagib
France Hacker
Rafael Leitoa
Andreia Rezende
Rodrigo Farias
Dani Cunha
Diogo Moraes
Max Russi
Carlos Minc
Fabio Jose Tardin
Jari Oliveira
Beto Dois a Um
Elton Weber
Dr. Eugênio
Neilando Pimenta
Caio França
Fábio Figueiras
Andréa Werner
Chico Mendes
Carlos Brandão Junior
João Azevêdo
Republicanos (partido político)
Flávio Dino
Lista de deputados federais do Brasil da 48.ª legislatura
Lista de deputados federais do Brasil da 49.ª legislatura
Lista de deputados federais do Brasil da 50.ª legislatura
Lista de deputados federais do Brasil da 51.ª legislatura
Lista de deputados federais do Brasil da 52.ª legislatura
Lista de deputados federais do Brasil da 53.ª legislatura
Lista de deputados federais do Brasil da 54.ª legislatura
Lista de deputados federais do Brasil da 55.ª legislatura
Lista de deputados federais do Brasil da 56.ª legislatura
Lista de deputados federais do Brasil da 57.ª legislatura
Eleições estaduais no Brasil em 2022
