Novembro
Dezembro
Janeiro
Domingo
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
1 de dezembro
2 de dezembro
3 de dezembro
4 de dezembro
5 de dezembro
6 de dezembro
7 de dezembro
8 de dezembro
9 de dezembro
10 de dezembro
11 de dezembro
12 de dezembro
13 de dezembro
14 de dezembro
15 de dezembro
16 de dezembro
18 de dezembro
19 de dezembro
20 de dezembro
21 de dezembro
22 de dezembro
23 de dezembro
24 de dezembro
25 de dezembro
26 de dezembro
27 de dezembro
28 de dezembro
29 de dezembro
30 de dezembro
31 de dezembro
1 de janeiro
2 de janeiro
3 de janeiro
4 de janeiro
Ano
2024
Década
Década de 2020
Século
Século XXI
Milênio
Terceiro milénio d.C.
Calendário gregoriano
Ano bissexto
Pedra do Sol
SpaceShipOne
497 a.C.
Saturnália
Roma Antiga
546
Saque de Roma (546)
Ostrogodos
Tótila
920
Romano I Lecapeno
Constantino VII Porfirogênito
942
Guilherme I da Normandia
1538
Papa Paulo III
Henrique VIII de Inglaterra
1548
Regimento do Governador-Geral
História da Constituição do Brasil
1583
Guerra de Colônia
"Ernesto da Baviera, Eleitor de Colónia"
"Gebardo, Senescal de Waldburg"
Cerco de Godesberg
1586
Go-Yōzei
Japão
1718
Guerra da Quádrupla Aliança
1777
França
Independência dos Estados Unidos
1790
1792
Maria I de Portugal
Portugal
"Real Academia de Artilharia, Fortificação e Desenho"
Engenharia
Américas
Escola Politécnica da Universidade Federal do Rio de Janeiro
Instituto Militar de Engenharia
1807
Guerras Napoleônicas
Decreto de Milão
Bloqueio Continental
1819
Simão Bolívar
Grã-Colômbia
Colômbia
Ciudad Bolívar
Venezuela
1862
Guerra Civil Americana
Ulysses S. Grant
Judeus
Tennessee
Mississippi
Kentucky
1865
Sinfonia n.º 8 (Schubert)
Franz Schubert
1892
Vogue (revista)
1903
História da aviação
Aeronave
Irmãos Wright
1907
Ugyen Wangchuck
Butão
1926
Antanas Smetona
Lituânia
Golpe de Estado na Lituânia em 1926
1935
Douglas DC-3
1938
Otto Hahn
Fissão nuclear
Urânio
Energia nuclear
1939
Segunda Guerra Mundial
Admiral Graf Spee
Hans Langsdorff
Batalha do Rio da Prata
1941
Bornéu
Primeira Batalha de Sirte
Estados Unidos
1944
