Força especial
Antiterrorismo
Aplicação da lei
Departamento de Polícia Federal
Ministério da Justiça (Brasil)
Quartel (militar)
Brasília
Distrito Federal (Brasil)
Brasil
Polícia Federal do Brasil
Comissão Parlamentar Mista de Inquérito
Ministério da Justiça e Segurança Pública (Brasil)
Atentado contra a embaixada dos Estados Unidos no Líbano em 1983
Atentado contra os quartéis de Beirute em 1983
GSG 9
Polícia Federal (Alemanha)
Águia
M16 (fuzil)
Planta baixa
Atirador especial
Tráfico de drogas
Terrorismo
Bioma
Floresta tropical
Caatinga
Pantanal
Cerrado
Corrupção política
Serviço de inteligência
Primeiros socorros
Pronação
Flexão
Abdominal
Natação pura
Heckler & Koch G36
HK416
Glock
MultiCam
BOPE
Coordenadoria de Recursos Especiais
1º Batalhão de Forças Especiais
Groupe d'Intervention de la Gendarmerie Nationale
Special Air Service
EKO Cobra
SWAT
Navy SEALs
Delta Force
Sayeret Matkal
International Standard Book Number
Portal Terra
