Razão social
Tipos de empresas
Empresa de capital aberto
B3 (bolsa de valores)
Bolsa de Valores de Nova Iorque
Indústria alimentícia
Sociedade Anônima
18 de agosto
1934
Itajaí
Santa Catarina (estado)
Brasil
Malásia
Turquia
Emirados Árabes
Lorival Nogueira Luz Júnior
2021
MENA
Ásia
América Latina
Europa
África
Aves
Suínos
Alimento processado
Margarinas
Massa alimentícia
Pizzas
Lucro
Lucro antes de juros e imposto de renda
Empresa transnacional
Alimentação
Fusão (Direito)
Sadia
Perdigão (empresa)
Conselho Administrativo de Defesa Econômica
2008
Maio
2009
Argentina
Margarina
Interbrand
Abril
2013
Abilio Diniz
Presidente
CEO
Grupo Pão de Açúcar
Federal Foods
Kuwait
Oriente Médio
Lactalis
Reais
Batavo S/A
Pedro de Andrade Faria
Janeiro
2015
Exportação
Halal
Muçulmano
China
Dubai
Emirados Árabes Unidos
Banvit B.K.
1980
2006
Euronext
Pacto Global
Organização das Nações Unidas
Perdigão (marca)
Marfrig
JBS
Pizza
Presunto
Linguiça calabresa
Salame
Pedro Parente
Qualy
Chester (marca)
Elegê
Cotochés
OneFoods
Atílio Fontana
Operação Carne Fraca
Operação Zelotes
Lista de companhias citadas no Ibovespa
Ibovespa
ALLOS
Banco do Brasil
BB Seguridade
Bradesco
Bradespar
BTG Pactual
Caixa Seguridade
Iguatemi S/A
IRB Brasil RE
Itaúsa
Itaú Unibanco
Banco Santander (Brasil)
Multiplan
Brava Energia
Cosan
Petrobras
PRIO
PetroRecôncavo
Raízen
Grupo Ultra
Vibra Energia
Auren Energia
Companhia Energética de Minas Gerais
Companhia Paranaense de Energia
Companhia de Saneamento de Minas Gerais
CPFL Energia
Grupo Energisa
Engie Brasil
Eletrobras
Eneva
Equatorial Energia
ISA CTEEP
Sabesp
Taesa S.A.
Azul Linhas Aéreas Brasileiras
Grupo CCR
CVC Brasil
Embraer
Rumo Logística
Santos Brasil
WEG S.A.
Ambev
Assaí Atacadista
Grupo Carrefour Brasil
GPA
Grupo São Martinho
Minerva Foods
Natura &Co
SLC Agrícola
Alpargatas S/A
Azzas 2154
Eztec
Cyrela
Lojas Renner
Magazine Luiza
MRV Engenharia
Petz (empresa)
Vivara
Braskem
Companhia Siderúrgica Nacional
CSN Mineração
Gerdau
Metalúrgica Gerdau
Klabin
Suzano Papel e Celulose
Usiminas
Vale S.A.
LocaWeb
Telefônica Brasil
TIM Brasil
Totvs
Grupo Fleury
Hapvida NotreDame Intermédica
Hypera Pharma
RaiaDrogasil
Rede D'Or São Luiz
Cogna Educação
Localiza
Simpar
YDUQS
C. Vale
Copacol
Coopavel
Embaré S.A.
Frimesa Cooperativa Central
GTFoods Group
Italac
Itambé (empresa)
Lar Cooperativa Agroindustrial
LBR
Mococa (empresa)
Piracanjuba (empresa)
Tirol Alimentos
Verde Campo
Vigor
Cacau Show
Chocolat du Jour
Chocolates Brasil Cacau
Garoto (empresa)
Kopenhagen
Marilan
Neugebauer
Nugali
Camil Alimentos
Elma Chips
Emege Alimentos
J. Macêdo
M. Dias Branco
Nutrimental
Wickbold
Brazil Fast Food Corporation
China in Box
Giraffas
Grupo Trigo
Habib's
International Meal Company
Mister Pizza
Rei do Mate
Ducoco Produtos Saudáveis
Hemmer Alimentos
Mika Alimentos
Predilecta Alimentos
Três Corações Alimentos S.A.
Yoki
Zaeli
