Ministério
Poder Executivo do Brasil
Camilo Santana
Brasil
Eixo Monumental
14 de novembro
1930
Governo Federal (Brasil)
Decreto
Presidente do Brasil
Getúlio Vargas
Saúde pública
Benjamin Constant (militar)
Alberto Venâncio Filho
Floriano Peixoto
João Barbalho Uchôa Cavalcanti
Antônio Luís Afonso de Carvalho
José Higino Duarte Pereira
Fernando Lobo Leite Pereira
Ministério da Justiça (Brasil)
Educação
Ministério da Saúde (Brasil)
Ministério da Cultura (Brasil)
Governo Fernando Henrique Cardoso
Autocarro escolar
Magistério
Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
Fundo Nacional de Desenvolvimento da Educação
Colégios Militares do Brasil
IstoÉ
Jair Bolsonaro
Ensino fundamental
Ensino médio
Ensino superior
Educação profissional
Ensino a distância
Universidade
Constituição brasileira de 1988
Educação especial
Educação superior
Tecnólogo
Educação infantil
Educação a distância
Educação do campo
Educação indígena
Educação ambiental
Secretaria Executiva
Secretaria de Educação Superior do Ministério da Educação
Secretaria de Educação Profissional e Tecnológica
Secretaria de Educação Básica
Secretaria da Alfabetização
Secretaria de Articulação com os Sistemas de Ensino
Secretaria de Regulação e Supervisão da Educação Superior
ENADE
Exame Nacional de Revalidação de Diplomas Médicos
Exame Nacional do Ensino Médio
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
Conselho Nacional de Educação
Instituto Benjamin Constant
Fundação Joaquim Nabuco
Colégio Pedro II
Empresa Brasileira de Serviços Hospitalares
Governo Jair Bolsonaro
Bandeira de ministro de Estado do Brasil
Ministérios do Brasil
Lista de ministros da Educação do Brasil
Lei de Diretrizes e Bases da Educação Nacional
Educação no Brasil
Educação financeira
História da educação no Brasil
Fundo de Financiamento ao Estudante do Ensino Superior
Programa Nacional de Acesso ao Ensino Técnico e Emprego
Programa Universidade para Todos
Centro de Pesquisa e Documentação de História Contemporânea do Brasil
Wikimedia
Twitter
Facebook
Instagram
Flickr
Ministério da Agricultura e Pecuária
Ministério das Cidades
