Carro de combate
Estados Unidos
Invasão da Baía dos Porcos
Guerra do Vietnã
Guerra sino-vietnamita
Guerra Civil Libanesa
Guerra Civil da Guatemala
Golpe de Estado no Brasil em 1964
Guerra de Ogaden
Guerra Civil da Somália
Golpe de Estado na Tailândia em 2006
Cadillac (automóvel)
Dólar dos Estados Unidos
Tonelada
Libra (massa)
Metro
Milímetro
Glacis (militar)
Browning M2HB
Browning M1919
Barra de torção
Litro
Galão
Reconhecimento em força
Exército dos Estados Unidos
M24 Chaffee
Jeep
Guerra da Coreia
Pós-guerra
M47 Patton
M551 Sheridan
Segunda Guerra Mundial
Viatura blindada de transporte de pessoal
Lycoming Engines
Motor de seis cilindros em linha
Harry Truman
Harry S. Truman
Aberdeen Proving Ground
Lima (Ohio)
Ohio
Chefe do Estado-Maior do Exército dos Estados Unidos
Antiaérea
Obuseiro
Infravermelho
Amortecedor
Alto explosivo
Dinamarca
Taiwan
.30-06 Springfield
Browning M2
.50 BMG
Força de Defesa da África do Sul
Operação Savana
Angola
Resolução 181 do Conselho de Segurança das Nações Unidas
Câmara dos Representantes dos Estados Unidos
Departamento de Estado dos Estados Unidos
Bundeswehr
M48 Patton
Leopard
Caça-tanques
Argentina
Exército Argentino
Ditadura Militar Argentina
AMX-13
Exército Brasileiro
1960
Brasil
M3 Stuart
M3 Lee
M4 Sherman
M60 (tanque)
1978
EE-9 Cascavel
Leopard 1
Tamoyo (carro de combate)
Exército do Chile
Golpe de Estado no Chile em 1973
Chile
VBTP
M-113
Salvador Allende
Tanquetazo
Palácio de La Moneda
Conflito de Beagle
Punta Arenas
Central Intelligence Agency
Brigada 2506
Cuba
T-34-85
Fort Knox
Lancha de desembarque
Fidel Castro
Cabeça de praia
Robert McNamara
Marinha dos Estados Unidos
União Soviética
Museu de Blindados de Kubinka
AMX-30E
Valladolid
Exército da Espanha
Míssil anticarro
BGM-71 TOW
Forças Armadas do Líbano
Sherman Firefly
Hotchkiss H35
Renault R35
Crise do Líbano de 1958
Beirute
Frente Libanesa
Movimento Nacional Libanês
Exército do Líbano Livre
Milícia Tigres
Jordânia
Exército Britânico
Veículo blindado de transporte de pessoal
Exército da Nova Zelândia
Maxwell D. Taylor
Centurion
FV101 Scorpion
Exército da República da China
FN MAG
"7,62×51mm NATO"
Indochina Francesa
Combate urbano
Da Nang
Laos
Exército Popular do Vietnã
Frente Nacional para a Libertação do Vietname
T-54/T-55
PT-76
Mina anticarro
Bofors 40 mm
M18 Hellcat
Bernardini
Exército Real Dinamarquês
Exército Real Tailandês
Heckler & Koch HK21
Guatemala
República Dominicana
Uruguai
Vietname
Vietname do Sul
África do Sul
Alemanha Ocidental
Arábia Saudita
Áustria
Bélgica
Espanha
Etiópia
Filipinas
Japão
Líbano
Nova Zelândia
Paquistão
Portugal
Somália
Sudão
Tailândia
Tunísia
Turquia
SK-105 Kürassier
International Standard Book Number
OCLC
Amazon Standard Identification Number
International Standard Serial Number
EAN-13
Veículo
Militar
Veículo blindado de combate
M1 Abrams
Assault Amphibious Vehicle
Stryker (veículo)
Veículo de combate de infantaria
M-2 Bradley
LAV-25
Artilharia autopropulsada
M108 (obuseiro autopropulsado)
M109 (obuseiro autopropulsado)
Autometralhadora
HMMWV
Oshkosh L-ATV
Joint Light Tactical Vehicle
M8 Greyhound
Defesa antiaérea
M48 Chaparral
AN/TWQ-1 Avenger
Olifant
Alemanha
Leopard 2
Marder (IFV)
MBT-70
Sturmgeschütz III
TAM (tanque)
Austrália
ASCOD AFV
EE-T1 Osório
Canadá
China
Type 59
Type 69
Type 79
Coreia do Norte
Croácia
M-84
M-95 Degman
M2 Bradley
M7 Priest
M26 Pershing
M60 Patton
M113
França
AMX 30
AMX-56 Leclerc
Índia
T-90
Vijayanta
Irã
Zulfiqar
Iraque
Israel
Magach
Merkava
Itália
Iugoslávia
Type 61
Type 74
Type 90
Lista de veículos blindados de combate por país
Al-Zarrar
Reino Unido
FV107 Scimitar
Challenger 1
Challenger 2
Chieftain tank
Suécia
Ucrânia
T-84
ASU-85
BMP-1
BMP-2
BMP-3
BTR-50
Tanque Iosef Stalin
MT-LB
MT-LBu
T-80
T-10
T-44
T-55
T-62
T-64
T-72
Número de controle da Biblioteca do Congresso
