Ucrânia
20 de novembro
Organização das Nações Unidas
1 de junho
Portugal
12 de outubro
Brasil
Português brasileiro
Português europeu
Criança
Angola
Moçambique
Genebra
Declaração Universal dos Direitos da Criança
Convenção dos Direitos da Criança
Coronel Fabriciano
Minas Gerais
Galdino do Valle Filho
Artur Bernardes
Getúlio Vargas
Adolescência
Estrela (empresa)
Johnson & Johnson
Estados-membros da União Europeia
Bill Clinton
George W. Bush
Paraguai
16 de agosto
Batalha de Campo Grande
Batalha de Los Niños
Criança-soldado
Solano López
Guerra do Paraguai
Albânia
Alemanha
África
UNICEF
África Central
República do Congo
República Democrática do Congo
Camarões
Gabão
Guiné Equatorial
Chade
República Centro-Africana
África do Sul
Argentina
Arménia
Austrália
Azerbaijão
Bangladesh
Benim
Bielorrússia
Bolívia
Bósnia e Herzegovina
Bulgária
Cabo Verde
Camboja
Canadá
Cazaquistão
Chile
China
Colômbia
Coreia do Norte
Coreia do Sul
Costa Rica
Croácia
Cuba
Egito
El Salvador
Equador
Eritreia
Eslováquia
Eslovénia
Espanha
Estados Unidos
Estónia
Etiópia
Finlândia
França
Geórgia
Guatemala
Guiné-Bissau
Haiti
Honduras
Hong Kong
Hungria
Iémen
Índia
Indonésia
Irã
Irão
Irlanda
Israel
Japão
Laos
Letónia
Lituânia
Macau
Macedónia do Norte
Malásia
Maldivas
México
Moldávia
Mongólia
Montenegro
Myanmar
Nicarágua
Nigéria
Noruega
Nova Zelândia
Estado da Palestina
Panamá
Paquistão
Peru
Polónia
Quirguistão
Reino Unido
Chéquia
Romênia
Rússia
São Tomé e Príncipe
Sérvia
Singapura
Sri Lanka
Sudão
Sudão do Sul
Suécia
Suriname
Tailândia
Taiwan
Tajiquistão
Tanzânia
Timor-Leste
Trindade e Tobago
Tunísia
Turquemenistão
Turquia
Uruguai
Uzbequistão
Vanuatu
Venezuela
Vietname
Zâmbia
Koinobori
Hinamatsuri
Brinquedo
