Circa
1 de setembro
1886
Capivari
Império do Brasil
17 de janeiro
1973
São Paulo
Brasileiros
Oswald de Andrade
Pintor (artista)
Magnum opus
Abaporu
Operários
Movimento artístico
Modernismo brasileiro
Pintora
Desenhista
Tradutora
Brasileira
Modernistas
Grupo dos Cinco (Brasil)
Anita Malfatti
Menotti Del Picchia
Mário de Andrade
Movimento antropofágico
Manifesto Antropófago
São Paulo (estado)
Café
Escravidão no Brasil
Classe alta
Espanha
Barcelona
Pedro Alexandrino Borges
Académie Julian
Paris
Museu de arte
Segunda Guerra Mundial
Lá menor
Partitura
Campinas
Universidade Federal do Rio Grande do Norte
Soprano
Tenor
Modernismo no Brasil
Semana de Arte Moderna
Pagu
Elsie Lessa
Eugênia Álvaro Moreyra
Arte moderna
Cultura brasileira
Cubismo
Futurismo
Expressionismo
André Lhote
Fernand Léger
Albert Gleizes
Movimento Pau-Brasil
Pau-Brasil (livro)
Pau-brasil
Surrealismo
Raul Bopp
Colonialismo
Rio de Janeiro
Nova York
União Soviética
Moscou
Russos
Revolução Constitucionalista de 1932
Estado Novo (Brasil)
Getúlio Vargas
Esquerda (política)
Comunismo
Diário de São Paulo
Museu de Arte Moderna de São Paulo
Museu de Luxemburgo
Mercúrio (planeta)
União Astronômica Internacional
Museu de Arte Moderna (Nova Iorque)
Nova Iorque
Lista de pinturas de Tarsila do Amaral no Museu Paulista
A Caipirinha
Morro da Favela (quadro)
Autorretrato feminino na pintura
Modernismo
MoMA
MASP
Enciclopédia Britânica
MAC-USP
International Standard Book Number
International Standard Serial Number
Digital object identifier
OCLC
Folha de S.Paulo
Grupo Folha
NASA
Vogue Brasil
Itaú Cultural
Wikimedia
História da pintura
Arte da Antiguidade
Arte rupestre
Sítios de pintura rupestre de Arronches
Pinturas de Afrassíabe
Muralismo
Pintura da Antiguidade
Pintura do Antigo Egito
Pintura da Grécia Antiga
Pintura da Roma Antiga
Pintura micénica
Pintura helenística
Pintura bizantina
Renascimento
Barroco
Arte abstrata
Arte da Idade Média
Pintura do Renascimento
Renascimento flamengo
Pintura da Renascença Italiana
Pintura do românico
Pintura do gótico
Pintura islâmica
Pintura do Maneirismo
Pintura do Barroco
Pintura do Barroco Espanhol
Pintura do Barroco Italiano
Pintura dos Países Baixos
Pintura do Século de Ouro dos Países Baixos
Pintura europeia (da Pré-História à Idade Média)
Arte na Idade Moderna
Pintura do Rococó
Pintura do neoclassicismo
Pintura do romantismo
Pintura do Romantismo brasileiro
Pintura do Romantismo em Portugal
Academicismo
Pintura do realismo
Pintura do Naturalismo
Impressionismo
Pré-Rafaelitas
Arte pompier
Pintura do simbolismo
Pós-impressionismo
Art nouveau
Arte contemporânea
Arte conceptual
Art déco
Arte naïf
Arte neo-geo
Construtivismo russo
Dadaísmo
De Stijl
Expressionismo abstrato
Fauvismo
Figuração livre
Fotorrealismo
Grafito
Hiper-realismo
Informalismo
Minimalismo
Neoconcretismo
Neoplasticismo
Nova Objetividade
Op art
Orfismo (movimento artístico)
Pontilhismo
Pop art
Raionismo
Realismo socialista
Suprematismo
Tachismo
Vanguarda russa
Pintura da Alemanha
Pintura na Austrália
Pintura no Brasil
Pintura no Rio Grande do Sul
Pintura do Canadá
Pintura da China
Pintores de Skagen
Pintura da Espanha
Pintura nos Estados Unidos
Pintura flamenga
Pintura da França
Escola de Fontainebleau
Pintura da Itália
Escola de Bolonha
Escola de Ferrara
Escola florentina
Escola milanesa (pintura)
Escola sienesa
Escola de Veneza
Pintura do Japão
Muralismo mexicano
Pintura de Portugal
Pintura do Reino Unido
