Reino Unido
Estágios Educacionais
Educação escolar
Sistema educativo
Educação pré-escolar
Ensino secundário
Educação básica
Classificação Internacional Normalizada da Educação
ISCED
Escola primária
Ensino preparatório
Aluno
Literacia
Numeracia
Ciência
Geografia
História
Matemática
Ciências sociais
Política
Pedagogia
Turma
Professor
Música
Educação física
Castigo corporal
Mundo Ocidental
Lei
Alemanha
Hauptschule
Realschule
Ginásio (escola)
Ensino fundamental no Brasil
Brasil
1971
Lei de Diretrizes e Bases da Educação
1996
Ensino fundamental
Canadá
Jardim de infância
Estados Unidos
Distrito escolar
França
Colégio
Liceu
Moçambique
Escolaridade
Educação obrigatória
Alfabetização
Ensino básico em Portugal
Riba de Ave
Portugal
Lei de Bases do Sistema Educativo
1986
Inglaterra
Escócia
Gales
Irlanda do Norte
Trívio
Escola
Educação infantil
Creche
Escola básica
Grupo escolar
Agrupamentos de escolas
Ciclo preparatório
Ensino médio
Escola profissional
Ensino técnico
Ensino superior
Academia
Instituto politécnico
Escola superior
Faculdade
Universidade
Cheque escolar
Escola autónoma
Ensino público
Escola privada
Educação de adultos
Educação popular
Ensino doméstico
Curso pré-vestibular
Pedagogia libertária
Universidade popular
Internato
Madraça
Método Montessori
Yeshivá
Escola virtual
K–12 (educação)
Ensino supletivo
Escola de arte
Escola Dominical
Escola jurídica
Escola de idiomas
Ensino politécnico
Tecnologia educacional
Educação inclusiva
Exame vestibular
