Coordenadas geográficas
Bahia
Brasil
Páscoa
Monte
Porto Seguro
Pedro Álvares Cabral
22 de abril
1500
Descoberta do Brasil
Vicente Yáñez Pinzón
Pernambuco
Acidente geográfico
Parque Nacional e Histórico do Monte Pascoal
Tupinambás
Pataxós
Hectare
BR-101
Vitória (Espírito Santo)
Salvador
Ilha de Vera Cruz
Cabo de Santo Agostinho (acidente geográfico)
Antonio de Herrera y Tordesillas
Geografia do Brasil
GeoNames
