Irlanda (ilha)
Abraham Ortelius
São Brandão
Ilha fantasma
Oceano Atlântico
Ilha de São Brandão
Sete Cidades (lenda)
Ilhas Afortunadas
Século XIV
Irlanda
Açores
Ilha Terceira
Monte Brasil
Etimologia de Brasil
Cinábrio
Sulfureto de mercúrio
Celta
Gaélico
Céltico
Fenícios
Gregos
Celtas
Catalunha
1325
1330
1339
1375
1378
Andrea Bianco
1436
Mar dos Sargaços
Zuane Pizzigano
Armando Cortesão
1435
1455
1482
Avalon
Rei Artur
Cristóvão Colombo
Pau-brasil
Fernão Vaz Dourado
1568
Piri Reis
Gerardus Mercator
Teoria da presença de fenícios no Brasil
