História da arte
Arte da Pré-História
Arte do Paleolítico
Arte rupestre
Arte do Neolítico
Arte da antiguidade
Arte da Mesopotâmia
Arte da Suméria
Arte da Assíria
Arte da Babilônia
Arte da Pérsia
Arte do Antigo Egito
Arte celta
Arte fenícia
Arte egeia
Arte cicládica
Arte minoica
Arte micénica
Arte da Antiguidade Clássica
Arte etrusca
Arte da Grécia antiga
Arte romana
Arte paleocristã
Arte da Idade Média
Arte bizantina
Arte islâmica
Arte sassânida
Arte viking
Arte pré-românica
Arte dos povos germânicos
Arte hibérnico-saxónica
Arte anglo-saxónica
Arte visigótica
Arte merovíngia
Arte carolíngia
Arte otoniana
Arte românica
Arte mudéjar
Estilo gótico
Estilo manuelino
Arte
Renascimento
Alta Renascença
Maneirismo
Barroco
Rococó
Neoclassicismo
Academicismo
Romantismo
Arte moderna
Nazarenos (grupo artístico)
Pré-rafaelitas
Realismo
Naturalismo
Impressionismo
Pós-impressionismo
Pontilhismo
Divisionismo
Simbolismo
Art nouveau
Vanguarda
Expressionismo
Fauvismo
Die Brücke
Der Blaue Reiter
Neoplasticismo
Cubismo
Construtivismo russo
Bauhaus
Suprematismo
Dadaísmo
Surrealismo
Futurismo
Realismo socialista
Arte contemporânea
Pop art
Op art
Minimalismo
Neoconcretismo
Arte conceptual
Happening
Videoarte
Performance
Arte de instalações
Land art
Hiper-realismo
História da arquitetura
História da pintura
História da escultura
História do design
História da literatura
História da música
História do teatro
História do cinema
Artes visuais
Realidade
Século XX
Abstração
Abstracionismo lírico
Abstracionismo geométrico
Wassily Kandinsky
Ocidente
Caligrafia chinesa
Dinastia Tang
Dinastia Sung
Zen
Tiantai
Sesshū Tōyō
Taoismo
Ensō
Movimento artístico
John Constable
William Turner
Jean-Baptiste Camille Corot
En plein air
Escola de Barbizon
James McNeill Whistler
Edvard Munch
James Ensor
Paul Cézanne
Georges Braque
Pablo Picasso
Misticismo
Modernismo
Helena Blavatsky
Hilma af Klint
George Ivanovich Gurdjieff
P. D. Uspenski
Piet Mondrian
Pintura ocidental
Paul Gauguin
Georges Seurat
Vincent van Gogh
Henri Matisse
André Derain
Raoul Dufy
Maurice de Vlaminck
Cubo
Esfera
Cone
Les demoiselles d'Avignon
Fernand Léger
Juan Gris
Albert Gleizes
Marcel Duchamp
Colagem
Kurt Schwitters
Man Ray
Filippo Tommaso Marinetti
Manifesto Futurista
Carlo Carrà
Umberto Boccioni
František Kupka
Guillaume Apollinaire
Orfismo (movimento artístico)
Robert Delaunay
David Burliuk
Valete de Diamantes
Die Brücke (grupo artístico)
Francis Picabia
Raionismo
Natalia Goncharova
Mikhail Larionov
Kazimir Malevich
Liubov Popova
De Stijl
Vanguarda russa
Vladimir Tatlin
Varvara Stepanova
Naum Gabo
Walter Gropius
Arts & crafts
Deutscher Werkbund
Paul Klee
Johannes Itten
Josef Albers
László Moholy-Nagy
Partido Nacional-Socialista dos Trabalhadores Alemães
Arte degenerada
Totalitarismo
Sophie Taeuber-Arp
Hans Arp
Joaquín Torres García
Theo van Doesburg
Joan Miró
Barbara Hepworth
Ben Nicholson
St Ives (Cornualha)
Jacques Lipchitz
Max Ernst
André Breton
Georgia O'Keeffe
Expressionismo abstrato
Escola de Nova Iorque
Mark Rothko
Gestualismo (pintura)
Jackson Pollock
