Lima
Peru
Língua castelhana
Língua inglesa
Cimeira
Chefe de Estado
América
Organização dos Estados Americanos
9 de dezembro
1994
Miami
Estados Unidos
Área de Livre Comércio das Américas
Cuba
Argentina
Bahamas
Brasil
Bolívia
Chile
Colômbia
México
Paraguai
Venezuela
Alfândega
Santa Cruz da Serra (Bolívia)
Desenvolvimento sustentável
Santiago (Chile)
Direitos humanos
3.ª Cúpula das Américas
Quebeque
Canadá
Ataques de 11 de setembro de 2001
Monterrei
Mar del Plata
5.ª Cúpula das Américas
Porto de Espanha
Trindade e Tobago
6.ª Cúpula das Américas
Cartagena das Índias
7.ª Cúpula das Américas
Cidade do Panamá
Panamá
8.ª Cúpula das Américas
Los Angeles
11 de dezembro
Presidente dos Estados Unidos
Bill Clinton
1998
18 de abril
19 de abril
Santiago
Presidente do Chile
Eduardo Frei Ruiz-Tagle
2001
20 de abril
22 de abril
Quebec (cidade)
Primeiro-ministro do Canadá
Jean Chrétien
2004
12 de janeiro
13 de janeiro
Monterrey
Presidente do México
Vicente Fox
2005
4 de novembro
5 de novembro
Presidente da Argentina
Néstor Kirchner
2009
17 de abril
Port-of-Spain
Lista de primeiros-ministros de Trinidad e Tobago
Patrick Manning
2012
14 de abril
15 de abril
Presidente da Colômbia
Juan Manuel Santos
2015
10 de abril
11 de abril
Presidente do Panamá
Juan Carlos Varela
2018
13 de abril
Presidente do Peru
Martín Vizcarra
2022
9.ª Cúpula das Américas
6 de junho
10 de junho
Joe Biden
Quebec
Port of Spain
Carlos Menem
Fernando de la Rúa
Cristina Fernández de Kirchner
Mauricio Macri
Alberto Fernández
Fernando Henrique Cardoso
Luiz Inácio Lula da Silva
Dilma Rousseff
Michel Temer
Jair Bolsonaro
Paul Martin
Stephen Harper
Justin Trudeau
Ricardo Lagos
Michelle Bachelet
Sebastián Piñera
Michele Bachelet
Gabriel Boric
Ernesto Samper
Andrés Pastrana Arango
Álvaro Uribe Vélez
Iván Duque Márquez
Fidel Castro
Raúl Castro
George W. Bush
Barack Obama
Mike Pence
Ernesto Zedillo
Felipe Calderón
Enrique Peña Nieto
Andrés Manuel López Obrador
Juan Carlos Wasmosy Monti
Luis Ángel González Macchi
Nicanor Duarte Frutos
Fernando Lugo
Horacio Cartes
Mario Abdo Benítez
Kamla Persad-Bissessar
Keith Rowley
Rafael Caldera
Hugo Chávez
Nicolás Maduro
Julio Borges
Nicarágua
Reuters
Antígua e Barbuda
Barbados
Belize
Costa Rica
Dominica
Equador
El Salvador
Granada (país)
Guatemala
Guiana
Haiti
Honduras
Jamaica
República Dominicana
Santa Lúcia
São Cristóvão e Neves
São Vicente e Granadinas
Suriname
Uruguai
Bandeira da Organização dos Estados Americanos
Carta da Organização dos Estados Americanos
Carta Democrática Interamericana
Estrutura da Organização dos Estados Americanos
Assembleia Geral da Organização dos Estados Americanos
Secretaria-geral da Organização dos Estados Americanos
Organização Pan-Americana da Saúde
Junta Interamericana de Defesa
Tratado Interamericano de Assistência Recíproca
Sistema Interamericano de Proteção aos Direitos Humanos
Convenção Americana sobre Direitos Humanos
Comissão Interamericana de Direitos Humanos
Corte Interamericana de Direitos Humanos
Instituto Interamericano da Criança
Banco Interamericano de Desenvolvimento
Capital Americana da Cultura
Pan-americanismo
