Duna
Florianópolis
Brasil
Prancha de snowboard
1986
Mar
Surfe
Madeira
Papelão
Fibra de carbono
Mídia
Argentina
Chile
Uruguai
Estados Unidos
Austrália
África
Digiácomo Dias
Araranguá
2019
Santa Catarina
Ceará
Rio Grande do Norte
Maranhão
Esporte de aventura
Desportos aquáticos
Canyoning
Mergulho livre
Jet Ski
Scuba
Ski aquático
Canoa
Canoagem
Rafting
Bodyboard
Grassboard
Kitesurf
Longboard
Skate
Skimboarding
Skysurfing
Snakeboard
Snowboard
Tow-in surfing
Wakeboard
Waveboard
Windsurf
Ciclismo
BMX
Mountain bike
Freeride
Montanhismo
Alpinismo
Boulder
Cavernismo
Diretíssima
Escalada
Espeleologia
Rapel
Tirolesa
Drift
Motocross
Rali
Queda livre
BASE jumping
Bungee jumping
Salto ornamental
Paraquedismo
Wingsuit
Aggressive inline
Patinação sobre rodas
Voo
Acrobacia Aérea
Asa delta
Corrida aérea
Paramotor
Parapente
Skysurf
Speed flying
Voo a vela
Orientação
Paintball
Acquaride
