Canaã
Circa
539 a.C.
Império Aquemênida
Civilização cartaginesa
Biblos
Médio Oriente
Norte de África
Bacia do Mediterrâneo
Língua fenícia
Língua púnica
Mitologia cananeia
Forma de governo
Cidade-Estado
Monarquia
Airã
Hirão
Pigmalião de Tiro
Idade Antiga
Tiro
Cartago
Dido
Ciro II
Língua hebraica
Romanização (linguística)
Língua grega antiga
Latim
Civilização
Líbano
Síria
Israel
Talassocracia
Mar Mediterrâneo
Comércio
Galé
Vela (náutica)
Remo
Birreme
Grécia Antiga
Sarepta
Sídon
Arqueologia
Alfabeto semítico
Alfabeto fenício
Vogal
Alfabeto grego
Línguas canaanitas
Línguas semitas
Norte da África
Europa
Etruscos
Roma Antiga
Praeparatio evangelica
Eusébio de Cesareia
Filo de Biblos
Sanconíaton
Grego antigo
Homero
Púrpura tíria
Murex (gênero)
Linear B
Egípcio antigo
Etimologia popular
Hecateu
Sarcófago
Cádis
Espanha
Grécia
Egito
Canaanitas
Cartas de Amarna
Povos do Mar
Hecateu de Mileto
Mitologia
Epônimo
Fenícios
Cedro-do-líbano
Heródoto
Io (mitologia)
Europa (mitologia)
Persas
Eritreia
Assíria
Genética
Malta
Cromossomo-Y
Civilização Minoica
Universidade Harvard
National Geographic Society
Haplogrupo
Tunísia
França
Fernand Braudel
Império
Tiro (Líbano)
Simira
Arwad
Beirute
Levante (Oriente Médio)
Recursos naturais
Idade do Ferro
Antigo Egito
Hititas
Mar Vermelho
Itobaal I
Chipre
Veleio Patérculo
Fundação de Roma
"Ciro, o Grande"
Pérsia
Vassalo
Artaxerxes III
Diodoro Sículo
"Alexandre, o Grande"
Cerco de Tiro
Árados
Ferro
Metal precioso
Ibéria
Mercenário
Guerras Púnicas
Laomedonte de Mitilene
Ptolemeu I
Antígono II Gônata
Demétrio I da Macedônia
Seleuco I Nicátor
Ptolemeus
Astarte
Selêucidas
Helenização
"Tigranes, o Grande"
Armênia
Lúculo
"Pompeu, o Grande"
Síria (província romana)
Hipocampo (mitologia)
Madeira
Escravo
Vidro
Púrpura de Tiro
Tinta
Elite
Sicília
Essaouira
Marrocos
Concha
Molusco
Gastrópode
Murex (zoologia)
Mogador
Cão
Vinha
Vinho
Ascalão
Jarra
Terracota
Ouro
Núbia
Prata
Península Ibérica
Estanho
Grã-Bretanha
Cobre
Liga metálica
Bronze
Estrabão
Britânia romana
Citas
Irlanda
Hanão
Oceano Atlântico
Golfo da Guiné
Faraó
Necao II
Circum-navegação
Pilares de Hércules
Estreito de Gibraltar
Périplo
Literatura fenício-púnica
Egito Antigo
Hieróglifo
Mesopotâmia
Abjad
Aleph
Museu Nacional de Beirute
Mar Egeu
Creta
Línguas fenícias
Línguas semíticas do noroeste
Santo Agostinho
Arte fenícia
Rio Nilo
