Língua francesa
Língua inglesa
Crioulo de Maurício
Bandeira da Maurícia
Brasão de armas da Maurícia
Latim
Hino nacional da Maurícia
Porto Luís
De jure
De facto
Língua franca
Língua crioula mauriciana
Gentílico
República
Parlamentarismo
Lista de presidentes da Maurícia
Lista de primeiros-ministros da Maurícia
Navin Ramgoolam
História da Maurícia
Reino Unido
Declaração de Independência
12 de março
1968
1992
Quilómetro quadrado
Lista de países e territórios por área
Lista de países por população
Densidade populacional
Produto interno bruto
Paridade do poder de compra
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Rupia mauriciana
ISO 4217
Fuso horário
Tempo Universal Coordenado
Horário de verão
Lista de TLDs
.mu
Lista de códigos telefónicos
Língua crioula
Português europeu
Português brasileiro
País insular
Oceano Índico
Ilha Maurícia
Ilha Rodrigues
Agalega
São Brandão (atol)
Arquipélago de Chagos
Território Britânico do Oceano Índico
Tromelin
Terras Austrais e Antárticas Francesas
Ilhas Mascarenhas
Reunião (departamento)
Departamento ultramarino francês
Commonwealth
Francofonia
União Africana
Império colonial neerlandês
Império colonial francês
Império Britânico
Seicheles
Diego Garcia
Estados Unidos
França
Sistema Westminster
Dodô
Hinduísmo
Língua oficial
Marinheiro
Arábia
Língua árabe
Portugueses
Reunião (ilha)
Neerlandeses
Stathouder
"Maurício, Príncipe de Orange"
Países Baixos
Companhia Francesa das Índias Orientais
Idade Média
Árabes
Maurício de Nassau
Abel Tasman
Guerras Revolucionárias Francesas
Napoleão Bonaparte
Matthew Flinders
Guerras Napoleônicas
Marinha Real Britânica
Escravidão
Plantations
Aapravasi Ghat
Mahatma Gandhi
Primeira Guerra Mundial
Sufrágio universal
James Meade
Harold Macmillan
Rainha Elizabeth II
Seewoosagur Ramgoolam
Anerood Jugnauth
Indira Gandhi
Zona de Processamento de Exportação
Maconha
Jean Margéot
Nações Unidas
Pravind Jugnauth
Geografia da ilha Maurício
Continente
África
Região
África Oriental
Área
Rodrigues (ilha)
Arquipélago
Vulcão
Planalto
Clima
Tropical
Inverno
Verão
Curepipe
Rose Hill
Quatre Bornes
Vacoas-Phoenix
Espécie introduzida
Parque Nacional Gargantas do Rio Negro
Paisagem Cultural de Le Morne
Ilha de França (Maurícia)
Tribunal Permanente de Arbitragem
Convenção das Nações Unidas sobre o Direito do Mar
Ilha Tromelin
Bihari
Tâmeis
Africanos
Chineses
Europeus
Franceses
Porto Luís (distrito)
Plaines Wilhems
Triolet
Pamplemousses
Rivière du Rempart
Centre de Flacq
Flacq
Bel Air
Mahébourg
Grand Port
Saint Pierre
Moka
Línguas de Maurício
Indiana
Língua portuguesa
Comunidade dos Países de Língua Portuguesa
Crioulos de base francesa
Indianos
Catolicismo em Maurício
Cristianismo
Islão
Ateus
Islamismo
Irreligião
Hindu
Estado laico
Política da ilha Maurício
Democracia representativa
Chefe de Estado
Chefe de governo
Índice de Democracia
Economist Intelligence Unit
Direito civil
Direito comum
Sodomia
África do Sul
Madagascar
Moçambique
Zimbábue
União Europeia
República Popular da China
Índia
Organização Mundial do Comércio
Commonwealth Britânica
Comunidade de Desenvolvimento da África Austral
COMESA
Black River (Maurícia)
Moka (distrito)
Savanne
Ilhas Maurício
Tamarin
Moka (cidade)
Souillac
Port Mathurin
Exportação
Economia da ilha Maurício
Açúcar
Chá
Tabaco
Turismo
Zona franca
Economia
Maurício
Agricultura
Indústria
Setor financeiro
Expectativa de vida
Mortalidade infantil
Cana-de-açúcar
Cultura de Maurício
Cultura
Europa
Culinária da China
Culinária da França
China
Rum
Língua boiapuri
Hindi
Futebol
Bruno Julie
Boxe nos Jogos Olímpicos de Verão de 2008 - Peso galo
Relatório de Desenvolvimento Humano
Porto Editora
Ciberdúvidas da Língua Portuguesa
International Standard Serial Number
The Guardian
Corte Permanente de Arbitragem
Cultura da Maurícia
Demografia da Maurícia
Economia da Maurícia
Geografia da Maurícia
Política da Maurícia
Subdivisões da Maurícia
Lista de países
Angola
Argélia
Benim
Botsuana
Burquina Fasso
Burundi
Cabo Verde
Camarões
Chade
Comores
República do Congo
Costa do Marfim
Djibuti
Egito
Eritreia
Essuatíni
Etiópia
Gabão
Gâmbia
Gana
Guiné
Guiné-Bissau
Guiné Equatorial
Lesoto
Libéria
Líbia
Madagáscar
Maláui
Mali
Marrocos
Mauritânia
