Vitor Meireles (Santa Catarina)
18 de agosto
1832
Florianópolis
Província de Santa Catarina
22 de fevereiro
1903
Rio de Janeiro
Distrito Federal do Brasil (1891–1960)
Brasileiros
Alma mater
Academia Imperial de Belas Artes
Pintor
Professor
Pintura
Brasil
Pintura histórica
Europa
Primeira Missa no Brasil (Victor Meirelles)
Pedro II do Brasil
Mecenato
Batalha dos Guararapes (Victor Meirelles)
Batalha Naval do Riachuelo
Segundo Reinado
Salon de Paris
Academismo
Modernismo
Proclamação da República do Brasil
Império do Brasil
Ostracismo
Academismo no Brasil
Neoclassicismo no Brasil
Romantismo
Realista
Barrocas
Nazarenos (arte)
História brasileira
Cultura do Brasil
Museu Victor Meirelles
Portugal
Ilha de Santa Catarina
Desenho geométrico
Mariano Moreno
Províncias Unidas do Rio da Prata
Jerônimo Coelho
Félix-Émile Taunay
Desenho
Manuel Joaquim de Melo Corte Real
Joaquim Inácio da Costa Miranda
José Correia de Lima
Debret
Théodore Géricault
Le Havre
França
Paris
Roma
Agostinho da Motta
Jean Leon Pallière
Academia de São Lucas
Florença
Veronese
Ticiano
Tintoretto
Lorenzo Lotto
Milão
Araújo Porto-Alegre
Paul Delaroche
Pintura do romantismo
École des Beaux Arts
A Primeira Missa no Brasil
Salão de Paris
Imperial Ordem da Rosa
Cavaleiro
Indianismo
Imperial Ordem de Cristo
Guerra do Paraguai
Pinacoteca do Estado de São Paulo
Convento de Santo Antônio (Rio de Janeiro)
Estados Unidos
Comendador
Pedro Américo
Batalha de Avaí
Dignitário
Plágio
Bélgica
Bruxelas
Casa de Saxe-Coburgo-Gota
Exposição Universal de 1889
Monarquia
Escola de Belas Artes da Universidade Federal do Rio de Janeiro
Liceu de Artes e Ofícios do Rio de Janeiro
Rotunda (arquitetura)
Paço Imperial
Real (antiga moeda brasileira)
Exposição Universal de Chicago
Décio Villares
Eduardo de Sá
Baía de Guanabara
Revolta da Armada
Campos Salles
Convento do Carmo (Rio de Janeiro)
Museu Nacional da Universidade Federal do Rio de Janeiro
Carnaval
Pintura do Romantismo brasileiro
Museu de Arte de São Paulo
Laguna (Santa Catarina)
Indígenas
Manuel de Araújo Porto-Alegre
Biblioteca de Sainte-Geneviève
Povos indígenas do Brasil
Aculturação
Etnográfico
Naturalista
Carta a El Rei D. Manuel
Pero Vaz de Caminha
Estilo (arte)
Renascimento
Rafael
Cavalier d'Arpino
Barroco
Neoclassicismo
Pintura do Romantismo
Horace Vernet
Delacroix
Johann Friedrich Overbeck
Católico
Drama
Missão Francesa
Sfumato
Rubens
Poussin
Razão
Ortodoxia
Emoção
Intuição
Sensualismo
Cor
Lilia Schwarcz
Jorge Coli
Beleza
Verdade
Bem (filosofia)
Luiz Gonzaga Duque Estrada
Realismo
Burguesia
Modernista
Citação
Paráfrase
Lista de pinturas de Victor Meirelles
Primeira missa no Brasil
Exposição Universal de 1876
Independência do Brasil
Ferdinand Denis
Pedro Álvares Cabral
Terra de Vera Cruz
Henrique de Coimbra
Carta de Pero Vaz de Caminha
Iluminista
Independência ou Morte (pintura)
História da arte
Mito fundador
Moema (Victor Meirelles)
Indianista
Caramuru
Caramuru (livro)
José de Santa Rita Durão
Nudez heroica
Francisco Inácio Marcondes Homem de Melo
Catarina Paraguaçu
Carlos de Laet
Rangel de Sampaio
Vênus (mitologia)
Invasões holandesas no Brasil
André Vidal de Negreiros
Henrique Dias
João Fernandes Vieira
Antônio Dias Cardoso
Baudelaire
Retórica
Oratória
Academia Real de Pintura e Escultura
Luís XIV
Combate Naval do Riachuelo
Tratado da Tríplice Aliança
Rio Paraguai
Afonso Celso de Assis Figueiredo
Fortaleza de Humaitá
Francisco Manuel Barroso da Silva
Fragata a vapor Amazonas
Pedro Ignacio Meza
Aríete
Oscar Pereira da Silva
Câmara Municipal do Rio de Janeiro
Museu Histórico Nacional
Solano López
Passagem de Humaitá
Paisagem
Fotografia
Apeles
Gazeta de Notícias
Quinta da Boa Vista
Império Brasileiro
Antônio Parreiras
Belmiro de Almeida
Eliseu Visconti
João Zeferino da Costa
Modesto Brocos y Gomez
Rodolfo Amoedo
Pedro Peres
Almeida Júnior
Descoberta do Brasil
Ecumenismo
Ordem da Rosa
Estética
Ideologia
Angelo Agostini
Caricatura
Ronald de Carvalho
Humanista
Museu de Arte de Santa Catarina
Arte brasileira
1868
Pintura no Brasil
São João Batista no Cárcere
1852
Wayback Machine
Base Virtual Internacional de Autoridade
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
Itaú Cultural
Biblioteca Nacional de Portugal
Union List of Artist Names
