Educação
Níveis de escolaridade
Educação infantil
Infantário
Creche
Jardim de infância
Educação básica
Ensino primário
Ensino fundamental
Ensino secundário
Ensino médio
Educação profissional
Educação corporativa
Ensino técnico
Ensino superior
Curso sequencial
Graduação
Bacharelado
Licenciatura
Curso superior de tecnologia
Pós-graduação
Doutoramento
Doutor em filosofia
Legum Doctor
Mestrado
Especialização
Mestrado em administração de empresas
Pós-doutorado
Habilitação
Honoris causa
Livre-docência
Notório saber
Título de agregado
Diploma
Grau académico
Grau terminal
Latim
Stricto sensu
Master of Business Administration
Doutorado
Ministério da Educação (Brasil)
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
Aperfeiçoamento
Dissertação
