Língua italiana
Latim
Bandeira do Vaticano
Brasão de armas do Vaticano
Hino nacional da Cidade do Vaticano
Gentílico
Monarquia absoluta
Monarquia eletiva
Teocracia
Lista de soberanos da Cidade do Vaticano
Papa Francisco
Secretaria de Estado da Santa Sé
Pietro Parolin
Pontifícia Comissão para o Estado da Cidade do Vaticano
Fernando Vérgez Alzaga
História do Vaticano
Reino de Itália (1861–1946)
Tratado de Latrão
11 de fevereiro
1929
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Itália
Enclave
Circa
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Moedas de euro do Vaticano
ISO 4217
Fuso horário
Central European Time
Tempo Universal Coordenado
Horário de verão
Central European Summer Time
ISO 3166-1
Lista de TLDs
.va
Lista de códigos telefónicos
Igreja Católica
Cidade-Estado
Soberania
País sem costa marítima
Cidade
Roma
Capital
Hectare
Km²
Estado
Santa Sé
Cristianismo primitivo
Sé episcopal
Catolicismo
Igreja Católica de Rito Latino
Igrejas orientais católicas
Estados Pontifícios
Lácio (região histórica)
Avinhão
Palácio de Latrão
Célio
Constantino
Papa Milcíades
Estado eclesiástico
Monarquia
Bispo
Papa
Palácio Apostólico
Colina do Vaticano
Sete colinas de Roma
Oráculo
Vaticanus
Vagitanus
Etruscos
Circo de Nero
São Pedro
Obelisco do Vaticano
Egito romano
Calígula
República Romana
Rio Tibre
Janículo
Monte Mario
Monte Aventino
Veii
Vinho
Marcial
Tácito
Ano dos Quatro Imperadores
Vitélio
Gauleses
Germânicos
Século I
Praça de São Pedro
Via della Conciliazione
Império Romano
"Agripina, a Velha"
Nero
Património Mundial
"Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Michelangelo
Critérios de seleção de Património Mundial
Lista de sítios do Patrimônio Mundial da UNESCO por país
Coordenadas geográficas
Heliópolis (Egito)
Grande Incêndio de Roma
Cruz de São Pedro
Via Cornélia
Antiga Basílica de São Pedro
Frígia
Cibele
Átis
Renascença
Papa Pio XII
Papa Símaco
Europa
Guerras Napoleônicas
Estados Papais
Carlos Magno
Península Itálica
França
Palácio do Quirinal
"Pepino, o Breve"
Francos
Risorgimento
Questão Romana
Península
Vítor Emanuel II da Itália
Papa Pio IX
Palácio Quirinal
Rei da Itália
Lei de Garantias
Presidente do Conselho de Ministros da Itália
Benito Mussolini
Victor Emmanuel III
Cardeal Secretário de Estado
Pietro Gasparri
Papa Pio XI
Vaticano na Segunda Guerra Mundial
Cesare Orsenigo
Hitler
Joachim von Ribbentrop
Basílica de São Pedro
País neutro
Segunda Guerra Mundial
Armistício de Cassibile
Aliados (Segunda Guerra Mundial)
Bispo de Roma
Estados Unidos
Estadunidenses
Britânicos
Reino Unido
Cidade aberta
Invasão aliada da Sicília
Bombardeios de Roma na Segunda Guerra Mundial
Queda do fascismo
Domus Sanctae Marthae
Camerlengo
Chancelaria dos Breves Apostólicos
Congregação para os Institutos de Vida Consagrada e Sociedades de Vida Apostólica
Natal
Forças Armadas do Vaticano
Guarda Suíça
Papa Paulo VI
Corpo da Gendarmaria do Estado da Cidade do Vaticano
Concordata
Cristianismo católico
Religião oficial
Reino da Sardenha
Geografia do Vaticano
Fotografia aérea
Capitolino
Quirinal
Viminal
Esquilino
Aventino
Palatino
Fronteira Itália-Vaticano
Heliporto
Jardins do Vaticano
Renascimento
Barroco
Nível do mar
Época medieval
Papa Nicolau III
Pomar
Praça São Pedro
Classificação climática de Köppen-Geiger
Clima mediterrâneo
Clima temperado
Estação chuvosa
Primavera
Outono
Verão
Inverno
Neve
Chuva
Carbono
Hungria
Estação meteorológica
Grau Celsius
Precipitação (meteorologia)
Metro
Duração da luz do sol
Cardeal
Anexo:Missões diplomáticas da Santa Sé
Leigo
Demografia do Vaticano
Cardeais
João Paulo II
Italianos
Cidadania
Papa Bento XVI
Política do Vaticano
Lei Fundamental do Estado da Cidade do Vaticano
Presidente da Pontifícia Comissão para o Estado da Cidade do Vaticano
Giuseppe Bertello
Conclave
Conclave de 2005
Conclave de 2013
Monarquia hereditária
Autocracia
Deus
Terra
Cúria Romana
Secretário de Estado
Primeiro-ministro
Palácio do Governo do Vaticano
Nações Unidas
Acta Apostolicae Sedis
Euro
Forças Armadas Italianas
Estado neutro
Papa Júlio II
Guarda-costas
Annuario Pontificio
Suíça
Forças Armadas da Suíça
Alabarda
Guarda Palatina
Guarda Nobre
Convenção para a Proteção dos Bens Culturais em Caso de Conflito Armado
Corpo de bombeiros
Gendarmeria
Propriedades extraterritoriais da Santa Sé
Economia do Vaticano
Lira vaticana
Caixa eletrônico
Instituto para as Obras de Religião
Museus Vaticanos
Mosaico
Óbolo de São Pedro
União Europeia
Zona Euro
Estação ferroviária do Vaticano
Papa João XXIII
Papa João Paulo II
Transporte ferroviário no Vaticano
Lista de países
Aeroporto Internacional de Roma
Aeroporto de Roma Ciampino
Farmácia do Vaticano
Correio
Selo postal
Domínio de topo
Internet
Banda larga
Rádio amador
Rádio Vaticana
Rádio Vaticano
Guglielmo Marconi
Onda curta
Onda média
Frequência modulada
Centro Televisivo do Vaticano
L'Osservatore Romano
Anuário Pontifício
Cultura do Vaticano
Biblioteca do Vaticano
Museus do Vaticano
Arquibasílica de São João de Latrão
Capela Sistina
Canto gregoriano
Coro (música)
Roupas
Símbolo
Cultura medieval
Biblioteca Apostólica Vaticana
UNESCO
Patrimônios Mundiais
Haia
Extraterritorialidade
Missões diplomáticas da Santa Sé
Cidade-estado
Cristianismo
Jesus
Passaportes do Vaticano e Santa Sé
Lira italiana
Wayback Machine
"Plínio, o Velho"
História Natural (Plínio)
International Standard Book Number
Seán Patrick O'Malley
Cambridge
Cambridge University Press
Montreal
Nova York
KTAV Publishing House
Londres
New Holland
Wikimedia
Hino nacional do Vaticano
Esporte no Vaticano
Religião no Vaticano
Riones de Roma
Monti (rione de Roma)
Trevi (rione de Roma)
Colonna (rione de Roma)
Campo Marzio (rione de Roma)
Ponte (rione de Roma)
Parione (rione de Roma)
Regola (rione de Roma)
Sant'Eustachio (rione de Roma)
Pigna (rione de Roma)
Campitelli (rione de Roma)
Sant'Angelo (rione de Roma)
Ripa (rione de Roma)
Trastevere
Borgo (rione de Roma)
Esquilino (rione de Roma)
Ludovisi (rione de Roma)
Sallustiano (rione de Roma)
Castro Pretorio (rione de Roma)
Celio (rione de Roma)
Testaccio (rione de Roma)
San Saba (rione de Roma)
Prati (rione de Roma)
Municípios de Roma
Quartieri de Roma
Albânia
Alemanha
Andorra
Arménia
Áustria
Azerbaijão
Bélgica
Bielorrússia
Bósnia e Herzegovina
Bulgária
Cazaquistão
Chéquia
Chipre
Croácia
Dinamarca
Eslováquia
Eslovénia
Espanha
Estónia
Finlândia
Geórgia
Grécia
República da Irlanda
Islândia
Letónia
Liechtenstein
Lituânia
Luxemburgo
Macedónia do Norte
Malta
Moldávia
Mónaco
Montenegro
Noruega
Países Baixos
Polónia
Portugal
Roménia
Rússia
San Marino
Sérvia
Suécia
Turquia
Ucrânia
Acrotíri e Deceleia
Gibraltar
Guernsey
Jersey
Ilha de Man
Ilhas Faroé
Åland
Abecásia
Kosovo
Ossétia do Sul
República Turca de Chipre do Norte
Transnístria
Reacção internacional à declaração de independência do Kosovo de 2008
Reconhecimento internacional da independência da Abecásia e Ossétia do Sul
País desenvolvido
Austrália
Canadá
China
Região administrativa especial
Hong Kong
Macau
Coreia do Sul
Irlanda
Israel
Japão
Nova Zelândia
Singapura
Taiwan
Monarca
Título nobiliárquico
Lista de monarcas soberanos atuais
Monarquia constitucional
Diarquia
Monarquia federal
Monarquia constituinte
União pessoal
Regência (governo)
Abdicação
Abolição da monarquia
Nobreza
Descolonização
Dinastia
Governo
Chefe de Estado
Legitimidade
Oligarquia
Ordem de sucessão
Republicanismo
Monarquia autoproclamada
Chhatrapati
Imperador
Rei
Rainha reinante
Príncipe
Rajá
Cã
Czar
Sultão
Xá
Faraó
Monarquias na África
Lista de reis de Essuatíni
Lista de reis do Lesoto
Lista de monarcas de Marrocos
Monarquias na Ásia
Rei do Barém
Lista de monarcas do Butão
Lista de sultões do Brunei
Lista de monarcas do Camboja
Imperador do Japão
Lista de reis da Jordânia
Lista de emires do Kuwait
Yang di-Pertuan Agong
Lista de sultões de Omã
Lista de emires do Catar
Lista de reis da Arábia Saudita
Monarquia da Tailândia
Presidente dos Emirados Árabes Unidos
Monarquias da Europa
Copríncipes de Andorra
Monarquia da Bélgica
Monarquia da Dinamarca
Monarquia de Liechtenstein
Monarquia de Luxemburgo
Monarquia de Mônaco
Monarquia dos Países Baixos
Monarquia de Noruega
Monarquia do Reino Unido
Monarquia da Espanha
Monarquia da Suécia
Lista de papas
Lista de monarcas de Tonga
Reinos da Comunidade das Nações
Monarquia na Austrália
Monarquia no Canadá
Monarquia na Nova Zelândia
Monarquia de São Cristóvão e Neves
Emirado de Adamawa
Reino de Ancolé
Sultanato de Aussa
Barotselândia
Sultanato de Bagirmi
Império de Canem
Reino de Burundi
Império Centro-Africano
Reino do Daomé
Reino do Egito
Império Etíope
Reino do Congo
Reino da Líbia
Reino de Madagascar
Império do Mali
Mayotte
Reinos Maravi
Moéli
Anjuã
Grande Comore
Reino de Ruanda
Reino da Tunísia
Império de Uassulu
Reino Ieque
Sultanato de Zanzibar
Reino do Zimbabwe
Lista de estados pré-coloniais da África
Reino da Araucânia e Patagônia
Civilização asteca
Império do Brasil
Império do Haiti (1849-1859)
Império Inca
Segundo Império Mexicano
Costa dos Mosquitos
Principado de Trinidad
Treze Colônias
Reino do Afeganistão
Emirado de Bucara
Dinastia Konbaung
Chehab
Reino do Hejaz
Irã Pahlavi
Império Cajar
Reino do Iraque
Emirado de Jabal Xamar
Reino de Cândia (Seri Lanca)
Kathiri
Canato de Quiva
Império Coreano
Canato de Kumul
Reino do Curdistão
Reino do Laos
Manchukuo
Canato da Mongólia
Reino do Nepal
Reino de Ryukyu
Reino de Sarauaque
Estados xãs
Reino de Siquim
Sultanato de Sulu
Reino Árabe da Síria
Tibete (1912–1951)
Reino de Tungning
Reino do Iêmen
Federação da Arábia do Sul
Reino da Albânia (1928-1939)
Reino de Aragão
Reino das Astúrias
Império Austríaco
Áustria-Hungria
Reino da Baviera
Reino da Bósnia
Ducado da Bretanha
Reino da Bulgária
Canato da Crimeia
Reino Arménio da Cilícia
Reino da Córsega (1736)
Reino do Chipre
Reino da Finlândia
Segundo Império Francês
Reino da Galiza
Reino da Geórgia
Império Alemão
Reino da Grécia
Reino Nacérida
Reino de Hanôver
Reino da Hungria
Reino da Islândia
Reino de Imerícia
Reino de Cártlia-Caquécia
Reino da Lituânia (1918)
Reino de Maiorca
Reino de Mann e das Ilhas
Principado da Moldávia
Reino de Montenegro
Reino de Navarra
Neuchâtel (cantão)
Império Otomano
República das Duas Nações
Reino de Portugal
Reino da Prússia
Reino da Romênia
Império Russo
Reino da Saxônia
Ducado de Saboia
Reino da Escócia
