Bacia do rio Amazonas
Rio Douro
Península Ibérica
Rio principal
Afluente
Relevo (geografia)
Água
Chuva
Drenagem
Curso de água
Solo
Nascente (hidrografia)
Lençol freático
Amplitude
Hidrologia
Geomorfologia
Planície
Ecologia
Jusante
Inundação
Filtro biológico
Sustentabilidade
Ciclo hidrológico
Precipitação (meteorologia)
Mar
Evaporação
Condensação
Nuvem
Vento
Cartografia
Rede hidrográfica
Geografia
Bacia endorreica
Rio Nilo
Rio Tigre
Rio Eufrates
Rio Jordão
Rio Yangtzé
Rio Huang Ho
Rio Indo
Rio Ganges
Tergo
Região hidrográfica
Bacia amazônica
Rio Tapajós
Rio Madeira
Rio Negro (Amazonas)
Água subterrânea
Brasil
Aquífero
Hidrografia
Urucuia
Rio São Francisco
Vazão
Rio
Seca
Bacia Araguaia-Tocantins
Engenharia Hidráulica
Hidrodinâmica
Divisória continental
