Bahia
Presidente Jânio Quadros
Sua Excelência
Lista de presidentes do Brasil
Brasil
João Goulart
Juscelino Kubitschek
Ranieri Mazzilli
Lista de prefeitos da cidade de São Paulo
São Paulo
Porfírio da Paz
Armando de Arruda Pereira
Mário Covas
William Salem
Luiza Erundina
Câmara dos Deputados do Brasil
Paraná
Lista de governadores de São Paulo
São Paulo (estado)
Lucas Nogueira Garcez
Carvalho Pinto
Assembleia Legislativa de São Paulo
Câmara Municipal de São Paulo
25 de janeiro
1917
Campo Grande (Mato Grosso do Sul)
Mato Grosso
16 de fevereiro
1992
Alma mater
Faculdade de Direito da Universidade de São Paulo
Eloá Quadros
Dirce Tutu Quadros
Partido Democrata Cristão (1945)
Partido Trabalhista Nacional
Partido Trabalhista Brasileiro (1945)
Movimento Democrático Brasileiro (1966)
Partido Trabalhista Brasileiro
Democratas (Brasil)
Partido Social Democrático (1987)
Partido Municipalista Comunitário
Partido Trabalhista Cristão
Advogado
Professor
Escritor
Ordem Militar de Cristo
Ordem do Infante D. Henrique
Político
Brasileiro
Presidente do Brasil
31 de janeiro
1961
25 de agosto
Eleição municipal de São Paulo em 1985
Partido Trabalhista Brasileiro (1979)
Médico
Engenheiro agrônomo
Mato Grosso do Sul
Curitiba
Colégio Estadual do Paraná
Ney Braga
Seleção Brasileira de Futebol
João Saldanha
Zona Norte de São Paulo
Santana (bairro de São Paulo)
Vila Maria (bairro de São Paulo)
Direito
Geografia
Colégio Dante Alighieri
Direito Processual Penal
Faculdade de Direito da Universidade Presbiteriana Mackenzie
André Franco Montoro
Eurico Gaspar Dutra
Partido Comunista - Seção Brasileira da Internacional Comunista
Partido Social Trabalhista (1946)
Estado Novo (Portugal)
Partido Social Progressista (1946)
Partido Social Democrático (1945)
União Democrática Nacional
Partido de Representação Popular
Partido Democrata Cristão (1945-1965)
Partido Socialista Brasileiro (1945)
São Paulo Futebol Clube
Clube Atlético Juventus
Clube Atlético Ypiranga
Associação Atlética Portuguesa
Bonsucesso Futebol Clube
Ademar de Barros
Casa de Detenção de São Paulo
"Varre, varre, vassourinha..."
Vassoura
UDN
Partido Republicano (Brasil)
Partido Libertador
Henrique Lott
Milton Campos
Getúlio Vargas
Estados Unidos
Rússia
Posse do presidente do Brasil
Brasília
Cuba
América
Fidel Castro
Winston Churchill
Maiô
Biquíni
Lança-perfume
Carnaval
Arquivo Nacional (Brasil)
Ordem do Cruzeiro do Sul
Che Guevara
Armando Lombardi
Núncio apostólico
Vaticano
Carlos Lacerda
Estado da Guanabara
Central Intelligence Agency
Toxina botulínica
Política Externa Independente
San Tiago Dantas
Afonso Arinos de Melo Franco (jurista)
João Augusto de Araújo Castro
Afonso Arinos de Melo Franco (sobrinho)
Congresso Nacional do Brasil
Roberto Marinho
Organizações Globo
Júlio de Mesquita Filho
O Estado de S. Paulo
Jaime de Barros Câmara
Arcebispo
Rio de Janeiro (estado)
Comunismo
Espionagem
URSS
KGB
Tchecoslováquia
StB
Relações entre Brasil e Rússia
Carlos Luz
Cruzador Tamandaré
Austeridade
Especulação financeira
Guiana Francesa
Departamento ultramarino
França
Operação Cabralzinho
Porto de Santana
Caiena
Oiapoque
Amapá
Moura Cavalcanti
Governo Jânio Quadros
Invasão da Baía dos Porcos
Ordem Nacional do Cruzeiro do Sul
Parque Indígena do Xingu
Instrução 204 da SUMOC
Superintendência da Moeda e do Crédito
Jornais
Papel de imprensa
Congresso
Antitruste
Royalties
Reforma agrária
Guanabara
Band
Oscar Pedroso Horta
Golpe de estado
Repórter Esso
História do Brasil
Cláudio Lembo
Vice-presidente
China
Ministério do Trabalho e Emprego
Governo Getúlio Vargas (1951-1954)
Charles de Gaulle
Base Aérea de São Paulo
Ranieri Mazzili
Junta Militar Brasileira
Campanha da Legalidade
Leonel Brizola
Rio Grande do Sul
Tancredo Neves
Referendo no Brasil em 1963
Francisco de Paula Brochado da Rocha
Hermes Lima
Ditadura militar no Brasil (1964–1985)
Recife
Exército Brasileiro
Luís Antônio da Gama e Silva
Corumbá
Pantanal
Bolívia
Eleições gerais no Brasil em 1978
Vila Maria (distrito de São Paulo)
Paulo Maluf
PMDB
Franco Montoro
Reynaldo de Barros
João Figueiredo
Tancredo de Almeida Neves
Olavo Setúbal
Herbert Levy
TFP
Opus Dei
Antônio Delfim Netto
Fernando Henrique Cardoso
Eduardo Suplicy
Partido dos Trabalhadores
Redemocratização
Diretas Já
Revista Veja
Inseticida
CMTC
Arquivo Público do Estado de São Paulo
Londres
Parque do Ibirapuera
Diário Oficial
Homossexualismo
Corinthians
A Última Tentação de Cristo
Martin Scorsese
Cristianismo
Avenida Juscelino Kubitschek
Vale do Anhangabaú
Teatro Cacilda Becker
Túnel Presidente Jânio Quadros
Gilberto Kassab
Subprefeituras de São Paulo
MST
Guarda Civil Metropolitana
Walter Feldman
Suíça
João Mellão Neto
Partido Liberal (1985)
Orestes Quércia
Portugal
Ronaldo Caiado
Fernando Collor
Hospital Israelita Albert Einstein
Cemitério da Paz
Fundadores do PSDB
Assembleia Nacional Constituinte de 1987
Constituição brasileira de 1988
Afonso Arinos de Melo Franco
Lista de ministros da Aeronáutica do Brasil
Gabriel Grün Moss
"Ministério da Agricultura, Pecuária e Abastecimento"
Romero Cabral da Costa
Ministério da Educação (Brasil)
Brígido Fernandes Tinoco
Ministério da Fazenda (Brasil)
Clemente Mariani
Hamilton Prisco Paraíso
Ministério da Guerra (Brasil)
Odílio Denys
"Ministério do Desenvolvimento, Indústria e Comércio Exterior"
Artur Bernardes Filho
Ministério da Justiça (Brasil)
Lista de ministros do Interior do Brasil
Lista de ministros da Marinha do Brasil
Sílvio Heck
Ministério de Minas e Energia
João Agripino
Lista de ministros das Relações Exteriores do Brasil
Ministério da Saúde (Brasil)
Edward Catete Pinheiro
Francisco Carlos de Castro Neves
Ministério dos Transportes (Brasil)
Clóvis Pestana
Janiópolis
Itaim Bibi
Morumbi (São Paulo)
International Standard Serial Number
Digital object identifier
Wikimedia
Comissão Nacional de Atividades Espaciais
Eleições estaduais no Paraná em 1958
Eleição municipal de São Paulo em 1953
Eleições estaduais em São Paulo em 1954
Eleições estaduais em São Paulo em 1962
Eleições estaduais em São Paulo em 1982
Eleição presidencial no Brasil em 1960
Tostão contra o milhão
Jânio Vem Aí
Instituto Nacional de Pesquisas Espaciais
Parque Nacional de Sete Cidades
Dia Nacional do Cego
Operação Castelo de Areia
Jânio a 24 Quadros
O Dia Que Durou 21 Anos
Primeira República Brasileira
Antônio da Silva Prado
Raimundo da Silva Duprat
Washington Luís
Álvaro Gomes da Rocha Azevedo
Firmiano de Morais Pinto
José Pires do Rio
Era Vargas
José Joaquim Cardoso de Melo Neto
Luís Inácio de Anhaia Melo
Anhaia Melo
Henrique Jorge Guedes
Gofredo Teixeira da Silva Teles
Artur Saboia
Teodoro Augusto Ramos
Osvaldo Gomes da Costa
Carlos dos Santos Gomes
Fábio da Silva Prado
Paulo Barbosa de Campos Filho
Prestes Maia
Período Populista
Abraão Ribeiro
Cristiano Stockler das Neves
Paulo Lauro
Milton Improta
Asdrúbal da Cunha
Lineu Prestes
Juvenal Lino de Matos
Vladimir de Toledo Piza
Ditadura militar brasileira
José Vicente Faria Lima
José Carlos de Figueiredo Ferraz
Brasil Vita
Miguel Colasuonno
Reinaldo de Barros
Antônio Salim Curiati
Francisco Altino Lima
Nova República
Celso Pitta
Marta Suplicy
José Serra
Fernando Haddad
João Doria
Bruno Covas
Ricardo Nunes (político)
Prudente de Morais
Jorge Tibiriçá Piratininga
Américo Brasiliense (político)
Sérgio Tertuliano Castelo Branco
Cerqueira César (político)
Bernardino José de Campos Júnior
Peixoto Gomide
Campos Sales
Fernando Prestes de Albuquerque
Rodrigues Alves
Domingos de Morais
Manuel Joaquim de Albuquerque Lins
Altino Arantes
Carlos de Campos
Antônio Dino da Costa Bueno
Júlio Prestes
Heitor Teixeira Penteado
Hastínfilo de Moura
José Maria Whitaker
Plínio Barreto
João Alberto Lins de Barros
Laudo de Camargo
Manuel Rabelo
Pedro Manuel de Toledo
Herculano de Carvalho e Silva
Valdomiro Castilho de Lima
Manuel de Cerqueira Daltro Filho
Armando de Sales Oliveira
Henrique Smith Bayma
Francisco José da Silva Júnior
Fernando de Sousa Costa
Sebastião Nogueira de Lima
José Carlos de Macedo Soares
Laudo Natel
Abreu Sodré
Paulo Egydio Martins
José Maria Marin
Luiz Antônio Fleury Filho
Geraldo Alckmin
Alberto Goldman
Márcio França
Rodrigo Garcia
Tarcísio de Freitas
Palácio dos Bandeirantes
Deodoro da Fonseca
Governo Deodoro da Fonseca
Floriano Peixoto
Governo Floriano Peixoto
Governo Prudente de Morais
Governo Campos Sales
Afonso Pena
Nilo Peçanha
Governo Nilo Peçanha
Hermes da Fonseca
Venceslau Brás
Governo Venceslau Brás
Delfim Moreira
Epitácio Pessoa
Governo Epitácio Pessoa
Artur Bernardes
Governo Artur Bernardes
Governo Washington Luís
José Linhares
Governo Eurico Gaspar Dutra
Café Filho
Nereu Ramos
Governo Juscelino Kubitschek
Governo João Goulart
Humberto Castelo Branco
Governo Castelo Branco
Costa e Silva
Emílio Garrastazu Médici
Governo Emílio Médici
Ernesto Geisel
Governo Ernesto Geisel
José Sarney
Governo Sarney
Governo Collor
Itamar Franco
Governo Itamar Franco
Governo Fernando Henrique Cardoso
Luiz Inácio Lula da Silva
Governo Lula (2003–2011)
Dilma Rousseff
Governo Dilma Rousseff
Michel Temer
Governo Michel Temer
Jair Bolsonaro
Governo Jair Bolsonaro
Governo Lula (2023–presente)
Palácio do Planalto
Palácio da Alvorada
Residência Oficial da Granja do Torto
Palácio Rio Negro
Catetinho
Palácio do Catete
Palácio do Itamaraty
Bandeira presidencial do Brasil
Lista de eleições presidenciais no Brasil
Família do presidente do Brasil
Faixa presidencial do Brasil
Gabinete Presidencial (Brasil)
Gabinete de Transição Presidencial do Brasil
Linha de sucessão presidencial do Brasil
Popularidade dos presidentes do Brasil
Livro de Posse Presidencial do Brasil
Presidencialismo no Brasil
Junta militar brasileira de 1969
Conselho de ministros
Vice-presidente do Brasil
Ministério da Aeronáutica
Lista de ministros da Fazenda do Brasil
Ministério da Marinha (Brasil)
Ministério das Relações Exteriores (Brasil)
Leopoldo César de Miranda Lima Filho
Caio Mário da Silva Pereira
Departamento Administrativo do Serviço Público
Moacyr Ribeiro Briggs
Lista de Ministros-Chefes do Estado-Maior das Forças Armadas
João Carlos Barreto
Cordeiro de Farias
Casa Civil (Brasil)
Francisco de Paula Quintanilha Ribeiro
Gabinete de Segurança Institucional da Presidência da República
Pedro Geraldo de Almeida
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
WikiTree
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
Open Library
