BRICS
Brasil
Presidente do Brasil
Luiz Inácio Lula da Silva
Rússia
Presidente da Rússia
Vladimir Putin
Lista de primeiros-ministros da Rússia
Mikhail Mishustin
Índia
Presidente da Índia
Draupadi Murmu
Primeiro-ministro da Índia
Narendra Modi
China
Presidente da República Popular da China
Xi Jinping
Primeiro-ministro da China
Li Qiang
Lista de países por PIB (Paridade do Poder de Compra)
Lista de países por PIB nominal
Lista de países e territórios por área
Lista de países por população
Economia
Sigla
República Popular da China
Países em desenvolvimento
Jim O'Neill
Economia global
Goldman Sachs
México
Coreia do Sul
População mundial
Bloco econômico
União Europeia
Primeira cúpula do BRIC
Ecaterimburgo
Polaridade nas relações internacionais
África do Sul
País
PIB
Paridade do poder de compra
Dólar
Mercados emergentes
Crescimento econômico
ASEAN
Estados Unidos
OCDE
Próximos onze
Turquia
Nigéria
Indonésia
São Paulo (cidade)
Moscou
Bombaim
Xangai
Capitalismo
Manufatura
Serviços
Matérias-primas
Nação
Indústria
Commodity
Estado
Grupo dos Oito
Soja
Minério de ferro
Petróleo
Gás natural
Guerra Fria
Governo
Educação
Investimento
Consumo
Empreendedorismo
Década
Classe média
Renda per capita
US$
Energia
G7
Multinacionais
Luxúria (pecado)
Automóveis
Indústria transformadora
Pesquisa e desenvolvimento
Economia da Índia
Economia dos Estados Unidos
Capitalização
Japão
Forbes
Europa
Bilionário
The Economist
Estatísticas
Política
Lista de países por exportações
Lista de países por importações
Balança comercial
Lista de países por consumo de eletricidade
Lista de países por automóvel per capita
Índice de Liberdade Econômica
Lista de países por produção de petróleo
Lista de países por Índice de Desenvolvimento Humano
G20
Argentina
Austrália
Arábia Saudita
Alemanha
Reino Unido
França
Itália
Canadá
USD
Produto interno bruto
Irã
Irão
Vietname
Filipinas
Egito
Paquistão
Bangladesh
PIB per capita
Recursos naturais
Carvão
Combustíveis fósseis
Urânio
Pico do petróleo
Energias renováveis
Terra
Foreign Policy
Deutsche Bank
Economia da República Popular da China
Exportações
Brasil como superpotência emergente
China como superpotência emergente
Índia como superpotência emergente
Rússia como superpotência emergente
Países recentemente industrializados
G20 maiores economias
Pacto do ABC
Tigres Asiáticos
Organização Mundial do Comércio
Fórum de Diálogo Índia-Brasil-África do Sul
The Times
Financial Times
Lista de participantes das cúpulas do BRICS
Novo Banco de Desenvolvimento
Acordo de Reserva Contingente dos BRICS
Reuniões de cúpula dos BRICS
Segunda cúpula do BRIC
Terceira cúpula do BRICS
Quarta cúpula do BRICS
Quinta cúpula do BRICS
Sexta cúpula do BRICS
Sétima cúpula do BRICS
Oitava cúpula do BRICS
Nona cúpula do BRICS
Décima cúpula do BRICS
Décima primeira cúpula do BRICS
Décima segunda cúpula do BRICS
Décima terceira cúpula do BRICS
Décima quarta cúpula do BRICS
Décima quinta cúpula do BRICS
Relações entre África do Sul e Brasil
Relações entre África do Sul e China
Relações entre África do Sul e Índia
Relações entre África do Sul e Rússia
Relações entre Brasil e China
Relações entre Brasil e Índia
Relações entre Brasil e Rússia
Relações entre China e Índia
Relações entre China e Rússia
Relações entre Índia e Rússia
Cooperação Sul-Sul
Terceiro-mundismo
Sul global
País em desenvolvimento
País subdesenvolvido
Países pobres altamente endividados
Pequenos Estados insulares em desenvolvimento
Economia de transição
Teoria dos Mundos
Primeiro Mundo
Segundo Mundo
Terceiro Mundo
Quarto Mundo
Descolonização
Neocolonialismo
Multipolaridade
Conferência Mundial contra o Racismo
Globalização
BASIC (grupo de países)
Próximos Onze
"Organização dos Estados de África, Caraíbas e Pacífico"
Banco Asiático de Investimento em Infraestrutura
Banco Asiático de Desenvolvimento
Fundo Monetário Árabe
Banco do Sul
Modelo dos gansos voadores
Sistema Global de Preferências Comerciais entre Países em Desenvolvimento
Nova Ordem Econômica Internacional
Nova Ordem Mundial da Informação e Comunicação
Conferência das Nações Unidas sobre Comércio e Desenvolvimento
Programa das Nações Unidas para o Desenvolvimento
Organização das Nações Unidas para o Desenvolvimento Industrial
Medicamento genérico
Biossimilar
Organização Mundial da Saúde
Grupo dos 77
Grupo dos 15
G20 (países em desenvolvimento)
Grupo dos 24
Grupo dos Onze
Movimento dos Países Não Alinhados
União Africana
Associação de Nações do Sudeste Asiático
Plano Colombo
Conferência de Bandungue
Comunidade de Estados Latino-Americanos e Caribenhos
Zona de Paz e Cooperação do Atlântico Sul
Associação Sul-Asiática para a Cooperação Regional
Aliança dos Pequenos Estados Insulares
Divisão norte-sul
Relatório Brandt
Sistema financeiro mundial
Comércio justo
Ciclo econômico
História da economia
Mercantilismo
Capitalismo industrial
Capitalismo financeiro
Capitalismo informacional
Capitalismo monopolista
Crise econômica
Longa Depressão
Grande Depressão
Crise do petróleo
Grande Recessão
Milagre econômico
Era vitoriana
Gilded Age
Expansão econômica do pós-Segunda Guerra Mundial
Milagre econômico grego
Milagre do Reno
Trente Glorieuses
Milagre econômico japonês
Milagre econômico italiano
Milagre mexicano
Milagre econômico brasileiro
Boom econômico dos Estados Unidos na década de 1990
Milagre do rio Han
Economia tigre
Tigres asiáticos
Novos tigres asiáticos
Tigres da Anatólia
Tigres bálticos
Tigre celta
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Número de controle da Biblioteca do Congresso
Enciclopédia Treccani
