Minas Gerais
Coordenadas geográficas
Altitude
Proeminência topográfica
Pico do Sol
Bahia
Brasil
Cadeia montanhosa
Planalto Atlântico
Proterozoico
Ferro
Manganês
Bauxita
Ouro
Quadrilátero Ferrífero
Ouro Preto
Sabará
Serro
São João Del Rei
Geólogo
Alemães
Wilhelm Ludwig von Eschwege
Século XIX
Drenagem
Biodiversidade
Recursos naturais
Diamantina
Cordilheira
Montanha
Pico
Vale
Quilômetro
Lista de mesorregiões e microrregiões de Minas Gerais
Lista de mesorregiões e microrregiões da Bahia
Longitude
Município
Ouro Branco (Minas Gerais)
Catas Altas
Caeté
Botumirim
Grão Mogol
Itacambira
Porteirinha
Mato Verde
Espinosa (Minas Gerais)
Olhos-d'Água
Monte Azul
Metro acima do nível do mar
Parque Natural do Caraça
Pico do Itambé
Pico do Itacolomi
Serra do Caraça
Parque Nacional das Sempre-Vivas
Reserva da Biosfera da Serra do Espinhaço
International Standard Serial Number
Digital object identifier
Wayback Machine
