31 de outubro
1902
Itabira
Minas Gerais
17 de agosto
1987
Rio de Janeiro
Rio de Janeiro (estado)
Brasileiros
Isabelle Drummond
Maria Julieta Drummond de Andrade
Alma mater
Universidade Federal de Minas Gerais
Poeta
Farmacêutico
Crônica (gênero)
Contista
10º Prêmio Jabuti
Troféu APCA
Prêmio Juca Pato
Ordem do Mérito Cultural
Movimento artístico
Modernismo
Magnum opus
A Rosa do Povo
Rio de Janeiro (cidade)
Poesia
Conto
Crônica (literatura e jornalismo)
Brasil
Século XX
Modernismo brasileiro
Dialeto mineiro
Antepassado
Escoceses
Madeira (região autónoma)
Colégio Arnaldo
Belo Horizonte
Colégio Anchieta (Nova Friburgo)
Companhia de Jesus
Nova Friburgo
Farmácia
Emílio Moura
Spoken word
Faculdade de Letras da Universidade de Coimbra
Literatura brasileira
Lista de universidades de Portugal
Partido Comunista Brasileiro
Luis Carlos Prestes
Mundo Literário
Atlântico: revista luso-brasileira
Funcionário público
Literatura infantil
Infarto do miocárdio
Insuficiência respiratória
Manuel Bandeira
Arquivo Nacional (Brasil)
Aníbal Machado
Marques Rebelo
Mário de Andrade
Oswald de Andrade
Poesia lírica
Subjetivismo
Objetividade (filosofia)
Affonso Romano de Sant'ana
Dialética
Ironia
Metafísica
Política
Guerra Fria
Neocapitalismo
Tecnocracia
Ditadura
Marxismo
Espiritualismo
Deus
Década de 1980
Erotismo
Sentimento do Mundo
José (livro)
Claro Enigma
Boitempo
As Impurezas do Branco
Poesia Errante
O Amor Natural
Prosa
Oscar Niemeyer
Monumento a Carlos Drummond Andrade
Praia de Copacabana
Escola de samba
GRES Estação Primeira de Mangueira
Carnaval do Rio de Janeiro
Enredo
Desfile das escolas de samba do Rio de Janeiro
Ordem Militar de Sant'Iago da Espada
Carlos Gregório
Poeta de Sete Faces
JK (minissérie)
Efígie
Cruzado Novo
Porto Alegre
Copacabana
Rio de Janeiro (Cidade)
International Standard Book Number
Hemeroteca Municipal de Lisboa
Veja
Wikimedia
Novos Poemas
Menino Antigo
Esquecer para Lembrar
Crônica da Cidade Amada
O Padre e a Moça
O Amor Natural (filme)
A Opinião Pública
Enigma para Demônios
O Vestido
O Gerente
A Revista
Modernismo no Brasil
Augusto Frederico Schmidt
Érico Veríssimo
Graciliano Ramos
Jorge Amado
Jorge de Lima
José Américo de Almeida
José Lins do Rego
Murilo Mendes
Orígenes Lessa
Rachel de Queiroz
Vinicius de Moraes
Prêmio Jabuti
Prêmio Jabuti - Poesia
José Paulo Moreira da Fonseca
Sosigenes Costa
Cassiano Ricardo
Mário da Silva Brito
Mário Chamie
Cecília Meireles
João Cabral de Melo Neto
Stella Carr Ribeiro
Lupe Cotrim
Dora Ferreira da Silva
Geraldo Pinto Rodrigues
Lêdo Ivo
Mauro Motta
Yone Giannetti Fonseca
Domingos Carvalho da Silva
Adélia Prado
Lélia Coelho Frota
Sebastião Uchoa Leite
Rubens Rodrigues Filho
Francisco Alvim
Orides de Lourdes Teixeira Fontela
Hilda Hilst
Alphonsus de Guimaraens Filho
Armando Freitas Filho
Ilka Brunhilde Laurito
Antonio Fernando de Franceschi
Alice Ruiz
Manoel de Barros
Affonso Ávila
Carlito Azevedo
Arnaldo Antunes
Moacyr Amâncio
Haroldo de Campos
Rubem Braga
Frederico Barbosa
Marina Colasanti
Ivan Junqueira
Bruno Tolentino
Paulo Leminski
Leonardo Fróes
Renata Pallottini
Waly Salomão
Thiago de Mello
A. B. Mendes Cadaxa
Alberto da Costa e Silva
Marly de Oliveira
Gerardo Melo Mourão
Salgado Maranhão
Ferreira Gullar
Anderson Braga Horta
Ivo Barroso
Geraldo Melo Mourão
Marcus Accioly
Alexei Bueno
Marco Lucchesi
Artur Eduardo Benevides
Antonio Risério
Affonso Romano de Sant'Anna
Ruy Espinheira Filho
Domingos Pellegrini
Eucanaã Ferraz
Gilberto Mendonça Teles
Ricardo Aleixo
Maria Lúcia Dal Farra
Zulmira Ribeiro Tavares
Ademir Assunção
Glauco Mattoso
Antonio Cicero
Horácio Costa
Zuca Sardan
Alexandre Guarnieri
Simone Brantes
Luci Collin
Mailson Furtado Viana
Hilda Machado
Cida Pedrosa
Base Virtual Internacional de Autoridade
Bibsys
Museu Britânico
Biblioteca Nacional da República Argentina
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Biblioteca Virtual Miguel de Cervantes
Catálogo de autoridades de nomes e títulos da Catalunha
CiNii
Biblioteca Digital para a Literatura Holandesa
Discogs
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Nacional da Austrália
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Dicionário Cravo Albin da Música Popular Brasileira
Itaú Cultural
Universidade Federal de Santa Catarina
Biblioteca Nacional de Portugal
IMDb
Open Library
Rijksmuseum
