Emblema
Organização das Nações Unidas
França
Audrey Azoulay
16 de novembro
1945
Paris
Acrônimo
Nações Unidas
Educação
Ciências naturais
Ciências sociais
Ciências humanas
Comunicação
Ciência natural
Cultura
Informação
Analfabetismo
Refugiado
"Bandeira da Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Liga das Nações
Segunda Guerra Mundial
Carta do Atlântico
Londres
China
Reino Unido
Estados Unidos
União Soviética
Organização internacional
San Francisco
Julian Huxley
Guerra Fria
Racismo
África do Sul
Nelson Mandela
Haiti
Afeganistão
Tailândia
Dakar
Senegal
Abul-Simbel
Rio Nilo
Moenjodaro
Paquistão
Marrocos
Nepal
Indonésia
Grécia
"Convenção para a Proteção do Patrimônio Mundial, Cultural e Natural"
Seán MacBride
Genebra
Tunis
Estado da Palestina
Israel
Presidência de Donald Trump
Governo de Israel
Brasília
Pobreza
Desenvolvimento sustentável
Ciências
Igualdade de gênero
Educação continuada
Diversidade cultural
Metas de desenvolvimento do milênio
Maya Gabeira
"Estados-membros da Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Independência
Lista de territórios dependentes
Liechtenstein
Ilhas Cook
Niue
Jaime Torres Bodet
México
Luther Evans
Vittorino Veronese
Itália
René Maheu
Amadou-Mahtar M'Bow
Federico Mayor Zaragoza
Espanha
Koichirō Matsuura
Japão
Irina Bokova
Bulgária
Léon Blum
Cidade do México
Beirute
Líbano
Austrália
Florença
Sarvepalli Radhakrishnan
Índia
Montevidéu
Uruguai
Nova Delhi
Abul Kalam Azad
Etiópia
Paulo Carneiro
Brasil
Turquia
Camarões
Argentina
Hungria
Nairobi
Quénia
Canadá
Belgrade
República Socialista Federativa da Iugoslávia
Jordânia
Sófia
Guatemala
Anwar Ibrahim
Malásia
Iémen
Dinamarca
Eduardo Portella
Chéquia
Irã
Nigéria
Omã
Bahamas
Namíbia
"Hey, atualize minha voz"
Património Mundial
Reserva da Biosfera
Ir para cima
Wayback Machine
Wikinotícias
Comité do Património Mundial
Lista de Estados signatários da Convenção do Património Mundial
Critérios de seleção de Património Mundial
Lista do Património Mundial em perigo
Lista de obras-primas do Património Mundial
Regiões da UNESCO
Lista do Património Mundial em África
Lista do Património Mundial na América
Lista do Património Mundial na Ásia e Oceania
Lista do Património Mundial nos Estados Árabes
Lista do Património Mundial na Europa
Lista de sítios Patrimônio Mundial da UNESCO por país
Lista do Patrimônio Mundial na África do Sul
Lista do Patrimônio Mundial na Alemanha
Lista do Patrimônio Mundial em Angola
Lista do Patrimônio Mundial na Áustria
Lista do Patrimônio Mundial na Bélgica
Lista do Patrimônio Mundial na Bósnia e Herzegovina
Lista do Patrimônio Mundial no Brasil
Lista do Patrimônio Mundial na Bulgária
Lista do Patrimônio Mundial em Cabo Verde
Lista do Patrimônio Mundial na Croácia
Lista do Património Mundial em Cuba
Lista do Patrimônio Mundial na França
Lista do Patrimônio Mundial na Macedônia do Norte
Lista do Patrimônio Mundial em Marrocos
Lista do Patrimônio Mundial no México
Lista do Patrimônio Mundial em Moçambique
Lista do Patrimônio Mundial em Omã
Lista do Patrimônio Mundial nos Países Baixos
Lista do Patrimônio Mundial no Estado da Palestina
Lista do Patrimônio Mundial no Panamá
Lista do Patrimônio Mundial no Paquistão
