Dia do Trabalhador
Abril
Maio
Junho
Domingo
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
28 de abril
29 de abril
30 de abril
2 de maio
3 de maio
4 de maio
5 de maio
6 de maio
7 de maio
8 de maio
9 de maio
10 de maio
11 de maio
12 de maio
13 de maio
14 de maio
15 de maio
16 de maio
17 de maio
18 de maio
19 de maio
20 de maio
21 de maio
22 de maio
23 de maio
24 de maio
25 de maio
26 de maio
27 de maio
28 de maio
29 de maio
30 de maio
31 de maio
1 de junho
Ano
2024
Década
Década de 2020
Século
Século XXI
Milênio
Terceiro milénio d.C.
Calendário gregoriano
Ano bissexto
Ilha de Vera Cruz
Jornada dos Vassalos
Empire State Building
Beatificação de João Paulo II
475 a.C.
Cônsul (Roma Antiga)
Públio Valério Publícola (cônsul em 475 e 460 a.C.)
Triunfo romano
Guerras romano-etruscas
Veios
Sabinos
305
Diocleciano
Maximiano
Imperador romano
524
Sigismundo da Borgonha
Reino da Borgonha
Orleães
Gundemaro III
880
Igreja Nova (Constantinopla)
Constantinopla
Igreja em cruz inscrita
Igreja Ortodoxa
1169
Normandos
Leinster
Invasão normanda na Irlanda
1328
Guerras de independência da Escócia
Tratado de Edimburgo-Northampton
Reino da Inglaterra
Reino da Escócia
1486
Cristóvão Colombo
Isabel I de Castela
1500
Pedro Álvares Cabral
Brasil
Manuel II de Portugal
1553
Duarte da Costa
João III de Portugal
Lista de governadores-gerais do Brasil
Tomé de Sousa
1576
Estêvão Báthory da Polônia
Transilvânia
Ana Jagelão da Polônia
Polônia
República das Duas Nações
1625
Salvador (Bahia)
1707
Tratado de União de 1707
União Política
Reino da Grã-Bretanha
1753
Species Plantarum
Carolus Linnaeus
Taxonomia
Código Internacional de Nomenclatura Botânica
1776
Illuminati
Ingolstadt
Alta Baviera
Sacro Império Romano-Germânico
Adam Weishaupt
1807
Ato contra o Comércio de Escravos de 1807
Império Britânico
1840
Selo postal
One Penny Black
Reino Unido da Grã-Bretanha e Irlanda
1851
