Transparência Internacional
País
Corrupção política
Países em desenvolvimento
Dinamarca
Finlândia
Nova Zelândia
Noruega
Singapura
Suécia
Suíça
Países Baixos
Alemanha
Luxemburgo
República da Irlanda
Canadá
Estónia
Austrália
Hong Kong
Bélgica
Japão
Uruguai
Islândia
Áustria
França
Seicheles
Reino Unido
Barbados
Estados Unidos
Butão
Emirados Árabes Unidos
Taiwan
Chile
Bahamas
Cabo Verde
Coreia do Sul
Israel
Lituânia
Portugal
Letónia
São Vicente e Granadinas
Espanha
Botswana
Catar
Chéquia
Domínica
Itália
Eslovénia
Costa Rica
Santa Lúcia
Polónia
Eslováquia
Chipre
Granada (país)
Geórgia
Brunei
Malta
Maurícia
Ruanda
Namíbia
Croácia
Malásia
Hungria
Jordânia
Roménia
Cuba
São Tomé e Príncipe
Arábia Saudita
Montenegro
Omã
Senegal
África do Sul
Suriname
Grécia
Bahrein
Gana
Burquina Fasso
Sérvia
Ilhas Salomão
Bulgária
Kuwait
Tunísia
Turquia
Bielorrússia
Brasil
China
Índia
Albânia
Bósnia e Herzegovina
Jamaica
Lesoto
Mongólia
Panamá
Zâmbia
Colômbia
Indonésia
Libéria
Marrocos
Macedónia do Norte
Argentina
Benim
El Salvador
Kosovo
Maldivas
Sri Lanka
Gabão
Níger
Peru
Filipinas
Tailândia
Timor-Leste
Trindade e Tobago
Argélia
Costa do Marfim
Egito
Etiópia
Guiana
Arménia
Bolívia
Vietname
Mali
Paquistão
Tanzânia
Togo
República Dominicana
Equador
Malawi
Azerbaijão
Djibouti
Honduras
Laos
México
Moldávia
Paraguai
Serra Leoa
Irã
Cazaquistão
Nepal
Rússia
Ucrânia
Guatemala
Quirguistão
Líbano
Myanmar
Nigéria
Papua-Nova Guiné
Guiné
Mauritânia
Moçambique
Bangladesh
Camarões
Gâmbia
Quénia
Madagascar
Nicarágua
Tajiquistão
Uganda
Comores
Turquemenistão
Zimbabwe
Camboja
República Democrática do Congo
Uzbequistão
Burundi
República Centro-Africana
Chade
Haiti
República do Congo
Angola
Eritreia
Iraque
Venezuela
