6 de setembro
1897
Rio de Janeiro
Rio de Janeiro (estado)
26 de outubro
1976
Brasileiros
Pintura
Ilustração
Caricatura
Movimento artístico
Modernismo no Brasil
Desenho
Samba (Di Cavalcanti)
Músicos (pintura)
Cinco moças de Guaratinguetá
Museu de Arte de São Paulo
Anita Malfatti
Tarsila do Amaral
Família Cavalcanti
José do Patrocínio
Fon-Fon (revista)
Pintura de gênero
São Paulo
Faculdade de Direito do Largo de São Francisco
George Fischer Elpons
Mário de Andrade
Oswald de Andrade
Semana de Arte Moderna
Teatro Municipal de São Paulo
Paris
Londres
Berlim
Bruxelas
Amsterdã
Pablo Picasso
Fernand Léger
Henri Matisse
Erik Satie
Jean Cocteau
Partido Comunista Brasileiro
Teatro João Caetano
Dogma
Nova Iorque
Flávio de Carvalho
Antonio Gomide
Revolução Constitucionalista de 1932
Militarismo
Recife
Lisboa
Ilha de Paquetá
Medalha de ouro
Abstracionismo
Uruguai
Argentina
Buenos Aires
Associação Brasileira de Imprensa
Vinícius de Morais
Álvares de Azevedo
Jorge Amado
Lasar Segall
Cidade do México
Brasil
Oscar Niemeyer
Bienal Internacional de Arte de São Paulo
Museu de Arte Moderna de São Paulo
Bienal de Veneza
Alfredo Volpi
Museu de Arte Moderna do Rio de Janeiro
Bacia do Prata
Montevidéu
Trieste
Tapeçaria
Palácio da Alvorada
Via Crúcis
Catedral Metropolitana de Brasília
Brasília
João Goulart
Golpe de 1964
Carioca
Joia
Década de 1940
Academia Brasileira de Letras
Modelo (profissão)
Marina Montini
Catete (bairro do Rio de Janeiro)
Universidade Federal da Bahia
Honoris causa
Selo postal
Ordem do Infante D. Henrique
Portugal
Botafogo
Zona Sul (Rio de Janeiro)
Cemitério de São João Batista
Glauber Rocha
Cinema novo
Di-Glauber
Musa
Centro Cultural Banco do Brasil
Museus de Arte Brasileira da Fundação Armando Álvares Penteado
Revista Fon-Fon
São Paulo (estado)
A Cigarra
Manuel Bandeira
Oscar Wilde
Europa
Correio da Manhã (Brasil)
Teatro João Caetano (Rio de Janeiro)
Chicago
Itália
México
Marina Montini (retrato)
Ir para cima
Cinco Moças de Guaratinguetá
Músicos (tapeçaria)
As Mulatas
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Catálogo de autoridades de nomes e títulos da Catalunha
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Real dos Países Baixos
Rijksbureau voor Kunsthistorische Documentatie
Sistema Universitário de Documentação
Itaú Cultural
Union List of Artist Names
Open Library
