Residência oficial
Montevidéu
Uruguai
Conselho do Mercado Comum
2010
Samuel Pinheiro Guimarães
Dr. Rosinha
2017
Secretaria Geral da Unasul
María Emma Mejía Vélez
Senado Federal do Brasil
Renan Calheiros
Mercado Comum do Sul
Integração sul-americana
Cidadania do Mercosul
Dimensão externa do Mercosul
Organização internacional
Dólares estadunidenses
Paraguai
Grupo Mercado Comum
Daniel Caggiani
Parlamento do Mercosul
Secretaria do Mercosul
Mendoza
Argentina
Embaixador
Ministério das Relações Exteriores (Brasil)
2011
2012
Doutor Rosinha
Brasil
2015
Relações externas do Mercado Comum do Sul
Alto Comissário
Representante permanente
Secretário-geral da União de Nações Sul-Americanas
Alto Representante da União para os Negócios Estrangeiros e a Política de Segurança
Barcelona
La Vanguardia
International Standard Serial Number
Digital object identifier
Twitter
SoundCloud
Flickr
Facebook
YouTube
Cronologia do Mercado Comum do Sul
Bandeira do Mercado Comum do Sul
Direito do Mercado Comum do Sul
Estados-membros do Mercosul
Bolívia
Venezuela
Chile
Colômbia
Equador
Peru
Comissão de Comércio do Mercosul
Comissão de Representantes Permanentes do Mercosul
Fundo para a Convergência Estrutural do Mercosul
Reuniões do Conselho do Mercado Comum
Foro Consultivo Econômico-Social
Presidência Rotativa Pro-tempore do Mercosul
Boletim Oficial do Mercosul
Tribunal Permanente de Revisão do Mercosul
Palacete Villa Rosalba
Comissão Parlamentar Conjunta
Tratado de Assunção
Declaração de Iguaçu
"Tratado de Integração, Cooperação e Desenvolvimento"
Protocolo de Olivos
Protocolo de Ouro Preto
Protocolo Constitutivo do Parlamento do Mercosul
Protocolo de Ushuaia
Associação Mercosul de Normalização
Nomenclatura Comum do Mercosul
Placas de identificação de veículos no Mercosul
Sistema de Pagamentos em Moeda Local
Foro Empresarial União Europeia-Mercosul
Mercocidades
