Bandeira da Costa Rica
Brasão de armas da Costa Rica
Língua espanhola
Hino nacional da Costa Rica
San José (Costa Rica)
Língua inglesa
Patois jamaicano
Religião oficial
Católica romana
Gentílico
República
Constituição
Presidencialismo
Estado unitário
Lista de presidentes da Costa Rica
Rodrigo Chaves
Vice-presidente
Independência
Espanha
15 de setembro
1821
10 de maio
1850
7 de novembro
1949
Quilómetro quadrado
Fronteira
Nicarágua
Panamá
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Colón costa-riquenho
ISO 4217
Fuso horário
Tempo Universal Coordenado
ISO 3166-1
Lista de TLDs
.cr
Lista de códigos telefónicos
Português europeu
Português brasileiro
Língua castelhana
América Central
Mar do Caribe
Oceano Pacífico
Ilha do Coco
Agricultura
Finanças
Ecoturismo
Produto Interno Bruto
Império Espanhol
Primeiro Império Mexicano
Províncias Unidas da América Central
Guerra Civil na Costa Rica em 1948
Lista de países que não possuem forças armadas
América Latina
Programa das Nações Unidas para o Desenvolvimento
Energia hidrelétrica
Energia solar
Energia geotérmica
Biomassa
Índice de Competitividade em Viagens e Turismo
México
História da Costa Rica
Esferas de pedra da Costa Rica
Mesoamericana
Andina
Pré-colombiana
Caçadores-coletores
Cultura Clóvis
Tubérculo
Cerâmica
Cabaça
Colonização espanhola da América
Cartago (província)
Cristóvão Colombo
Ouro
Gil González Dávila
Vice-Reino da Nova Espanha
Capitania-geral
Vice-Reino de Nova Granada
Ameríndios
Encomienda
Coroa espanhola
Guerras de independência na América espanhola
Descolonização
República Federal da América Central
Guerra da Independência do México
Constituição de Cádis
León (Nicarágua)
Cartago (Costa Rica)
Heredia (Costa Rica)
Alajuela
Guerra Civil na Costa Rica em 1823
Cidade da Guatemala
Guatemala
Federico Tinoco Granados
Estados Unidos
José Figueres Ferrer
Otilio Ulate Blanco
Social-democratas
Década de 1980
Dívida externa
Óscar Arias Sánchez
El Salvador
Prêmio Nobel da Paz
Rafael Ángel Calderón Fournier
Mapa topográfico
Imagem de satélite
Classificação climática de Köppen-Geiger
Vulcão Poás
Cordilheira
Rio Tempisque
Vulcão
Cerro Chirripó
Puntarenas
Limón (Costa Rica)
Caribe
Clima
Clima tropical
Floresta tropical
Índice do Planeta Feliz
Agalychnis callidryas
Península de Osa
UNESCO
Suçuarana
Onça-pintada
Cariacu
Macaco-prego-de-cara-branca
Coiote
Tatu
Pirâmide etária
Caucasiano
Castizo
Mestiço
Pretos
Alemães
Ingleses
Holandeses
Franceses
Irlandeses
Portugueses
Colômbia
Imigração clandestina
Chile
Argentina
Honduras
Belize
Catolicismo romano
Evangelicalismo
Sem religião
Cristianismo
Liberdade religiosa
Estado confessional
Microestado
Liechtenstein
Mônaco
Malta
Vaticano
Católicos
Evangélicos
Irreligião
Ásia
Oriente Médio
Budismo
China
Etnia Han
Islamismo
Sinagoga
Judaísmo
Estrela de Davi
Igreja de Jesus Cristo dos Santos dos Últimos Dias
Subdivisões da Costa Rica
San José (província)
Alajuela (província)
Heredia (província)
Puntarenas (província)
Limón (província)
Liberia (Costa Rica)
Guanacaste (província)
Presidente da Costa Rica
Assembleia Legislativa da Costa Rica
Carlos Alvarado Quesada
Parlamento
Unicameral
Índice de Democracia
The Economist
União Europeia
Corte Interamericana de Direitos Humanos
Universidade da Paz
Comunidade das Democracias
Barack Obama
Laura Chinchilla
União Soviética
República da China
Corte Internacional de Justiça
Taiwan
República Popular da China
Estadio Nacional de Costa Rica (2011)
Província de Alajuela
São José (Costa Rica)
Província de Cartago
Província de Guanacaste
Limón (província da Costa Rica)
Limão
Província de Puntarenas
Pacífico
Província de São José
São José
Economia da Costa Rica
Intel
PIB
Economia
Turismo
Recessão
Istmo
Europa
Turismo na Costa Rica
USD
Índice de Desempenho Ambiental
Dólar dos Estados Unidos
Euro
Playa Tamarindo
Bananas
Café
Oceano Atlântico
Proteção ambiental
Desmatamento
Energia renovável
Parque eólico
Educação na Costa Rica
Universidade da Costa Rica
Taxa de alfabetização
Educação pública
Educação primária
Pré-escola
Escola secundária
Ensino médio
Língua portuguesa
Língua chinesa
Língua francesa
Península de Nicoya
Zonas Azuis
Happy Planet Index
Pegada ecológica
National Geographic (revista)
Felicidade
Organização das Nações Unidas
Expectativa de vida
Povos ameríndios
Culinária da Espanha
Estádio Nacional da Costa Rica (2011)
Futebol
Deportivo Saprissa
Liga Deportiva Alajuelense
Club Sport Cartaginés
Claudia Poll
Seul 1988
Copa do Mundo FIFA de 2014
Inglaterra
Uruguai
Itália
Holanda
Federação Internacional de Futebol
1 de Janeiro
Quinta-feira santa
Sexta-feira santa
11 de Abril
1 de Maio
Dia do trabalhador
Dia do Pai
25 de Julho
2 de Agosto
15 de Agosto
Dia da mãe
15 de Setembro
12 de Outubro
25 de Dezembro
Natal
América Central sob domínio mexicano
Força Pública da Costa Rica
Lista de Estados soberanos
Lista de Estados soberanos e territórios dependentes da América
Missões diplomáticas da Costa Rica
República Maior da América Central
Fundo Monetário Internacional
United Nations Development Programme
Banco Mundial
International Standard Book Number
OCLC
Worldwatch Institute
La Nación (Costa Rica)
The Guardian
Google Books
Fórum Econômico Mundial
International Standard Serial Number
PubMed Central
PubMed Identifier
Digital object identifier
Wikivoyage
Culinária da Costa Rica
Cultura da Costa Rica
Demografia da Costa Rica
Geografia da Costa Rica
Política da Costa Rica
Soberania
América Central Insular
Arquipélago das Lucaias
Bahamas
Grandes Antilhas
Cuba
Haiti
Jamaica
República Dominicana
Pequenas Antilhas
Antígua e Barbuda
Barbados
Dominica
Granada (país)
Santa Lúcia
São Cristóvão e Neves
São Vicente e Granadinas
Trindade e Tobago
Estados
"Santo André, Providência e Santa Catarina"
França
Guadalupe
Martinica
Países Baixos
Bonaire
Saba
Santo Eustáquio (Países Baixos)
Venezuela
Nova Esparta
Dependências Federais da Venezuela
Território
Ilhas Virgens Americanas
Ilha de Navassa
Porto Rico
São Bartolomeu (coletividade)
São Martinho (França)
Aruba
Curaçau
São Martinho (Países Baixos)
Reino Unido
Anguila
Monserrate (ilha)
Ilhas Cayman
Ilhas Turcas e Caicos
Ilhas Virgens Britânicas
Organização dos Estados Americanos
Bolívia
Brasil
Canadá
Equador
Guiana
Paraguai
Peru
Suriname
Bandeira da Organização dos Estados Americanos
Carta da Organização dos Estados Americanos
Carta Democrática Interamericana
Estrutura da Organização dos Estados Americanos
Assembleia Geral da Organização dos Estados Americanos
Secretaria-geral da Organização dos Estados Americanos
Organização Pan-Americana da Saúde
Junta Interamericana de Defesa
Tratado Interamericano de Assistência Recíproca
Sistema Interamericano de Proteção aos Direitos Humanos
Convenção Americana sobre Direitos Humanos
Comissão Interamericana de Direitos Humanos
Instituto Interamericano da Criança
Cúpula das Américas
Banco Interamericano de Desenvolvimento
Capital Americana da Cultura
Pan-americanismo
Conferência Ibero-americana
Andorra
Portugal
Cabo Verde
Filipinas
Guiné Equatorial
Moçambique
Timor-Leste
Secretaria-Geral Ibero-Americana
Secretaria de Cooperação Ibero-americana
Associação de Bibliotecas Nacionais Ibero-americanas
Conferência de Autoridades Audiovisuais e Cinematográficas Iberoamericanas
Comunidade Ibero-americana de Nações
"Organização dos Estados Ibero-americanos para Educação, Ciência e Cultura"
União de Cidades Capitais Ibero-americanas
Ibero-América
Dinastia Filipina
Espanhol medieval
Polêmica em torno das denominações espanhol e castelhano
Diferenças entre o castelhano e o português
Hispanofonia
Hispanidade
América espanhola
Antilhas Espanholas
Língua espanhola nos Estados Unidos
Ortografia da língua espanhola
Substantivos da língua espanhola
Pronomes da língua espanhola
Pontos de interrogação e de exclamação invertidos
Tchê
Instituto Cervantes
Congressos Internacionais da Língua Espanhola
Associação de Academias da Língua Espanhola
Academia Argentina de Letras
Academia Chilena da Língua
Academia Costarriquenha da Língua
Academia Cubana da Língua
Academia Dominicana da Língua
Real Academia Espanhola
Academia Filipina da Língua Espanhola
Academia Mexicana da Língua
Academia Norte-Americana da Língua Espanhola
Academia Paraguaia da Língua Espanhola
Academia Peruana da Língua
Academia Nacional de Letras do Uruguai
Academia Venezuelana da Língua
Espanhol amazônico
Língua castelhana na América
Dialeto andaluz
Dialeto canário
Espanhol chileno
Língua estremenha
Espanhol mexicano
Espanhol rioplatense
Espanhol venezuelano
Portunhol
Spanglish
Llanito
Judeu-espanhol
Língua chavacana
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional de Israel
Pontifícia Universidade São Tomás de Aquino
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Medical Subject Headings
