Milão
São Paulo
Brasil
Alma mater
Universidade de São Paulo
Físico
26 de março
1922
São Paulo (cidade)
2 de janeiro
2010
Física nuclear
Ítalo-brasileiro
Instituto de Física da Universidade de São Paulo
Física
"Faculdade de Filosofia, Ciências e Letras da Universidade de São Paulo"
Gleb Wataghin
Giuseppe Occhialini
Raio cósmico
César Lattes
José Leite Lopes
Mário Schenberg
Roberto Salmeron
Marcelo Damy de Souza Santos
Jayme Tiomno
Fundação Rockefeller
Estados Unidos
Universidade de Illinois
Universidade de Wisconsin
Gerador de Van de Graaff
Academia Brasileira de Ciências
Sociedade Brasileira de Física
Sociedade Brasileira para o Progresso da Ciência
Fundação de Amparo à Pesquisa do Estado de São Paulo
Rede ANSP
Universidades estaduais paulistas
Instituto de Pesquisas Tecnológicas
Fermilab
BITNET
DECnet
Comitê Gestor da Internet no Brasil
International Standard Serial Number
International Standard Book Number
Wayback Machine
Maurício Matos Peixoto
José Israel Vargas
Base Virtual Internacional de Autoridade
Gemeinsame Normdatei
International Standard Name Identifier
Biblioteca Nacional de Portugal
