Academia Brasileira de Letras
Arquivo Nacional (Brasil)
27 de junho
1908
Cordisburgo
Minas Gerais
19 de novembro
1967
Rio de Janeiro (cidade)
Guanabara
Brasileiros
Aracy de Carvalho
Alma mater
Universidade Federal de Minas Gerais
Escritor
Médico
Diplomata
Felipe Daudt de Oliveira
Prêmio Carmem Dolores Barbosa
Prêmio Machado de Assis
35º Prêmio Jabuti
Ordem do Mérito Cultural
Gênero literário
Romance
Bildungsroman
Conto
Poesia
Movimento artístico
Modernismo
Pós-modernismo
Magnum opus
Grande Sertão: Veredas
Poeta
Diplomacia
Novelista
Romancista
Contista
Aracy de Carvalho Guimarães Rosa
Sertão
Álvares de Azevedo
Língua portuguesa
Língua alemã
Língua francesa
Língua inglesa
Língua castelhana
Língua italiana
Esperanto
Língua russa
Língua sueca
Língua neerlandesa
Latim
Língua grega
Gramática
Língua húngara
Língua árabe
Sânscrito
Língua lituana
Língua polaca
Língua tupi
Língua hebraica
Língua japonesa
Língua checa
Língua finlandesa
Língua dinamarquesa
Belo Horizonte
Colégio Santo Antônio
São João del-Rei
Colégio Arnaldo
Itaguara
Itaúna
Polícia Militar do Estado de Minas Gerais
Revolução Constitucionalista de 1932
Passa Quatro
Juscelino Kubitschek
Barbacena (Minas Gerais)
Itamaraty
Europa
América Latina
Hamburgo
Alemanha
Ministério das Relações Exteriores (Brasil)
Segunda Guerra Mundial
Judaísmo
Estado de Israel
Yad Vashem
Israel
Holocausto
Bogotá
Paris
Cidade
Infarto
Realismo mágico
Regionalismo (literatura)
Neologismo
Linguagem
Cemitério de São João Batista (Rio de Janeiro)
Dora Ferreira da Silva
Vicente Ferreira da Silva
Cânone Ocidental
Boom Latino-americano
Estados Unidos
Louis-Ferdinand Céline
Thomas Mann
Albert Camus
Ernest Hemingway
William Faulkner
Cem Anos de Solidão
Colômbia
Gabriel García Márquez
Literatura da América Latina
Mario Vargas Llosa
Peru
Carlos Fuentes
México
Julio Cortázar
Argentina
Juan Rulfo
Alejo Carpentier
Cuba
Ángel Rama
Uruguai
Magma (livro)
Sagarana
Com o Vaqueiro Mariano
Corpo de Baile
Noites do Sertão (livro)
Primeiras Estórias
Campo Geral
Tutaméia – Terceiras Estórias
Estas Estórias
"Ave, Palavra"
Antes das Primeiras Estórias
João Neves da Fontoura
Afonso Arinos de Melo Franco (sobrinho)
Universidade Federal de Uberlândia
Wikimedia
Lista de membros da Academia Brasileira de Letras
Mário Palmério
Tutameia – Terceiras Estórias
A Hora e Vez de Augusto Matraga
A Terceira Margem do Rio
Fatalidade (conto)
Grande Sertão (1965)
A Hora e a Vez de Augusto Matraga (1965)
"Sagarana, o Duelo"
Cabaret Mineiro
Noites do Sertão (filme)
A Terceira Margem do Rio (filme)
Outras Estórias
Mutum (filme)
A Hora e a Vez de Augusto Matraga (2011)
Meus Dois Amores
Grande Sertão (2024)
Grande Sertão: Veredas (minissérie)
Lista de presidentes da Academia Brasileira de Letras
Lista de sócios-correspondentes da Academia Brasileira de Letras
Adelino Fontoura
Luís Murat
Afonso d'Escragnolle Taunay
Ivan Monteiro de Barros Lins
Bernardo Élis
Evandro Lins e Silva
Ana Maria Machado
Coelho Neto
Tarcísio Padilha
Eduardo Giannetti
Artur de Oliveira
Filinto de Almeida
Roberto Simonsen
Aníbal Freire da Fonseca
Herberto Sales
Carlos Heitor Cony
Joaquim Falcão
Basílio da Gama
Aluísio Azevedo
Alcides Maia
Vianna Moog
Carlos Nejar
Bernardo Guimarães
Raimundo Correia
Oswaldo Cruz
Aloísio de Castro
Cândido Mota Filho
Rachel de Queiroz
José Murilo de Carvalho
Ailton Krenak
Casimiro de Abreu
Teixeira de Melo
Artur Silveira de Motta
Goulart de Andrade (escritor)
Barbosa Lima Sobrinho
Raimundo Faoro
Cícero Sandroni
Castro Alves
Valentim Magalhães
Euclides da Cunha
Afrânio Peixoto
Afonso Pena Júnior
Hermes Lima
Pontes de Miranda
Dinah Silveira de Queiroz
Sergio Corrêa da Costa
Nelson Pereira dos Santos
Cacá Diegues
Cláudio Manuel da Costa
Alberto de Oliveira
Oliveira Viana
Austregésilo de Athayde
Antônio Calado
Antônio Olinto
Cleonice Berardinelli
Ricardo Cavaliere
Gonçalves de Magalhães
Carlos Magalhães de Azeredo
Marques Rebelo
Carlos Chagas Filho
Alberto da Costa e Silva
Lilia Schwarcz
Evaristo da Veiga
Ruy Barbosa
Laudelino Freire
Osvaldo Orico
Orígenes Lessa
Lêdo Ivo
Rosiska Darcy
Fagundes Varella
Lúcio de Mendonça
Pedro Lessa
Eduardo Ramos
João Luís Alves
Adelmar Tavares
Deolindo Couto
Darcy Ribeiro
Celso Furtado
Hélio Jaguaribe
