Organização internacional
Caracas
1989
Ibero-América
Argentina
Bolívia
Brasil
Chile
Colômbia
Cuba
Espanha
México
Peru
Portugal
Porto Rico
Uruguai
Venezuela
Canadá
Costa Rica
Conferência Ibero-americana
Bariloche
1995
1997
Ilha de Margarita
Ministério da Cultura do Brasil
Documentários
Ir para cima
Wayback Machine
Andorra
El Salvador
Equador
Guatemala
Honduras
Nicarágua
Panamá
Paraguai
República Dominicana
Cabo Verde
Filipinas
Guiné Equatorial
Moçambique
Belize
Timor-Leste
Secretaria-Geral Ibero-Americana
Secretaria de Cooperação Ibero-americana
Associação de Bibliotecas Nacionais Ibero-americanas
Conferência de Autoridades Audiovisuais e Cinematográficas Iberoamericanas
Comunidade Ibero-americana de Nações
"Organização dos Estados Ibero-americanos para Educação, Ciência e Cultura"
União de Cidades Capitais Ibero-americanas
Dinastia Filipina
