Bandeira da Namíbia
Brasão de armas da Namíbia
Língua portuguesa
"Namibia, Land of the Brave"
Vinduque
Língua inglesa
Língua africâner
Língua alemã
Língua nama
Língua hereró
Língua kwangali
Ovambo (língua)
Língua tswana
Língua lozi
Gentílico
Presidencialismo
Lista de presidentes da Namíbia
Nangolo Mbumba
Lista de primeiros-ministros da Namíbia
Saara Kuugongelwa
Independência
África do Sul
21 de Março
1990
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Angola
Botsuana
Zâmbia
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Dólar namibiano
ISO 4217
Rand
Fuso horário
Tempo Universal Coordenado
Lista de TLDs
.na
Lista de códigos telefónicos
País
África Austral
Oceano Atlântico
Zimbábue
Guerra de Independência da Namíbia
Organização das Nações Unidas
Comunidade para o Desenvolvimento da África Austral
União Africana
Commonwealth
Khoisan
Damaras
Namaqua
Bantos
Século XIV
Expansão Banta
Império Alemão
Primeira Guerra Mundial
Sociedade das Nações
Apartheid
Walvis Bay
Colónia do Cabo
União Sul-Africana
Organização do Povo do Sudoeste Africano
Democracia
Parlamentarismo
Pluripartidarismo
Agricultura
Turismo
Mineração
Diamante
Urânio
Ouro
Prata
Assembleia Geral da ONU
Sudoeste Africano
Deserto do Namibe
História da Namíbia
Genocídio dos Hererós e Namaquas
Colonização
Europa
Língua banta
Navegação
Portugal
Cabo Cross
Lüderitz
Exploração
Reino Unido
Países Baixos
Alemanha
Protetorado
Genocídio dos hererós e namaquas
Hererós
Namaquas
Inanição
Alemanha Nazista
Holocausto
Liga das Nações
Guerra sul-africana na fronteira
Organização internacional
Conselho de Segurança da ONU
Tribunal Internacional de Justiça da ONU
Poder executivo
Assembleia constituinte
Hifikepunye Pohamba
Brancos
Fazenda
Terra arável
Poder legislativo
Antepassado
Namas
Racismo
Evasão fiscal
Aquífero
África Subsaariana
Estiagem
Imagem de satélite
Desfiladeiro do rio Fish
Geografia da Namíbia
Quilômetros quadrados
Venezuela
Deserto
Kalahari
Índice pluviométrico
África subsariana
Cascalho
Duna
Endemismo
Suculentas
Deserto da Namíbia
Nevoeiro
Classificação climática de Köppen
