Registro CAS
Densidade
Frases de risco
Frases de segurança
Índice de refracção
Constante dieléctrica
Espectroscopia UV/visível
Espectroscopia de infravermelho
Espectroscopia de ressonância magnética nuclear
Espectroscopia de massa
Condições normais de temperatura e pressão
Combustível
Hidrocarboneto
Óleo
Diesel
Molécula
Cadeia carbônica
Átomo
Carbono
Hidrocarbonetos
Oxigenação
Enxofre
Nitrogênio
Destilação
Grau Celsius
Petróleo
Nafta (combustível)
Craqueamento
Gasóleo
Coque
Parafina
Octanagem
Butano
Olefina
Isopentano
Reforma catalítica
Petrobras
Brasil
Tecnologia
Aditivo
Galp
Indice de octanas
BP
Detergente
Combustão
Solvente
Temperatura
Indústria automobilística
Gás natural
Biocombustível
Biodiesel
Biogasolina
Bioquerosene
Combustíveis alternativos
Combustível sintético
Destilação fracionada
Gasogênio
Gasolina de pirólise
Institut für Arbeitschutz der Deutschen Gesetzlichen Unfallversicherung
Biomassa
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
Enciclopédia Treccani
Número CAS
Medical Subject Headings
National Institute for Occupational Safety and Health
