Mário de Andrade
Rubens Borba de Moraes
Tácito de Almeida
António de Alcântara Machado
Guilherme de Almeida
Yan de Almeida Prado
Brasil
Século XX
Literatura
Artes plásticas
Europa
Primeira Guerra Mundial
Semana de Arte Moderna
São Paulo
1922
Recife
Vicente do Rego Monteiro
Manuel Bandeira
Gilberto Freyre
Frevo
Cordel
Paulo Herkenhoff
Maranhão
Graça Aranha
Pré-modernismo
Romantismo no Brasil
Realismo no Brasil
Parnasianismo no Brasil
Regionalismo (literatura)
Gênero literário
Grupo dos Cinco (Brasil)
Anita Malfatti
Menotti del Picchia
Oswald de Andrade
Tarsila do Amaral
Anarquismo
Ufanismo
Partido Comunista Brasileiro
Niterói
1926
Partido Democrático (1930)
Ação Integralista Brasileira
Plínio Salgado
Revista Klaxon
Correio da Manhã
1924
Pau-Brasil (livro)
Verde Amarelismo
Cassiano Ricardo
Integralismo Brasileiro
Línguas tupi-guaranis
Anta
1929
Fascismo
Universidade Federal de São João del-Rei
Benito Mussolini
Anti-intelectualismo
Região Nordeste do Brasil
Graciliano Ramos
José Lins do Rego
José Américo de Almeida
João Cabral
Revista de Antropofagia
Abaporu
Movimento antropofágico
Primitiva
1928
Raul Bopp
Diário de São Paulo (Diários Associados)
Antônio de Alcântara Machado
Macunaíma
1930
1945
Verso livre
Vinicius de Moraes
Jorge de Lima
Augusto Frederico Schmidt
Murilo Mendes
Carlos Drummond de Andrade
A Bagaceira
Romance de 30
Rachel de Queiroz
Jorge Amado
Érico Verissimo
Orígenes Lessa
Há uma Gota de Sangue em Cada Poema
1917
João Cabral de Melo Neto
Era Vargas
Populismo
Regime Militar no Brasil
Guerra Fria
Clarice Lispector
Guimarães Rosa
Jagunço
Região Centro-Oeste do Brasil
Tristão de Athayde
Ivan Junqueira
Pós-modernismo
Orpheu (revista)
1947
Sátira
Lêdo Ivo
Domingos Carvalho da Silva
Fim da Segunda Guerra Mundial na Europa
Bueno de Rivera
Geraldo Vidigal
Péricles Eugênio da Silva Ramos
Cyro Pimentel
Geraldo Pinto Rodrigues
José Paulo Moreira da Fonseca
Geir Campos
Arquitetura do Brasil
Literatura do Brasil
Pintura do Brasil
International Standard Serial Number
Digital object identifier
USP
Artes do Brasil
Cultura do Brasil
Arquitetura colonial do Brasil
Arquitetura moderna no Brasil
Paisagismo do Brasil
Cinema do Brasil
História da animação no Brasil
Televisão no Brasil
Dança do Brasil
Design no Brasil
Escultura do Brasil
Fotografia no Brasil
Quinhentismo
Literatura barroca no Brasil
Prosa Romântica no Brasil
Poesia do Brasil
Música do Brasil
Pintura no Brasil
Pintura do Romantismo brasileiro
História em quadrinhos no Brasil
Teatro do Brasil
História do teatro musical no Brasil
Academismo no Brasil
Arcadismo no Brasil
Barroco no Brasil
Arte colonial do Brasil
Ecletismo no Brasil
Maneirismo no Brasil
Naturalismo no Brasil
Neoclassicismo no Brasil
Simbolismo no Brasil
Belle Époque brasileira
Ciclo das Secas
Escola Paulista
Geração 65
Geração 80
Geração mimeógrafo
Movimento Armorial
Nova Figuração brasileira
Tropicália
Vanguarda Paulistana
Literatura afro-brasileira
Arte indígena brasileira
Arte marajoara
Música indígena brasileira
Arte plumária dos índios brasileiros
Carnaval do Brasil
Folclore brasileiro
Arte pré-histórica no Brasil
Censura no Brasil
Ficção científica do Brasil
