Seleção Brasileira de Futebol
1970
Ballon d'Or
Pelé
Marta (futebolista)
Seleção Brasileira de Futebol Feminino
2023
Ronaldo Nazário
Melhor jogador do mundo pela FIFA
Lothar Matthäus
1991
Cristiano Ronaldo
Lionel Messi
2008
Diego Maradona
Taça
Copa do Mundo de 1986
Jürgen Klinsmann
Seleção Alemã de Futebol
Profissional
Futebol
Desporto
Clube esportivo
Atividade física
Relação de emprego
Homem
Mulher
Futebol feminino
Organização Mundial da Saúde
Quadra esportiva
Praia
Professor
Função social
Crime
Pré-adolescência
Brasil
FIFA
Salário
Direito do trabalho
Imposto
Encargos
Carteira de trabalho
Direito à imagem
Lei Pelé
Treinador
Viagem
Regras do futebol
Doping
Gol
Seleção de futebol
Partida amistosa
País
Naturalização
Tornozelo
Músculos
Perna
Fratura óssea
Osso
Joelho
Cabeça
Alongamento
Cirurgia
Fisioterapia
Lesão
Celebridade
Marketing
Década de 1990
Campanha publicitária
Negócios
Boate
Restaurante
Roupa
Salário mínimo
Transferências mais caras do futebol
Dunga
Emerson Leão
Clemer
Sport Club Internacional
Denílson de Oliveira Araújo
José Ferreira Neto
Político
Romário
Danrlei
Lista de futebolistas que morreram em campo
Pavão (futebolista)
Andrés Escobar
Marc-Vivien Foé
Paulo Sérgio de Oliveira Silva
Miklós Fehér
Carlos Adriano de Jesus Soares
Antonio Puerta
François Sterchele
Fernando Cornejo
Cláudio Milar
Robert Enke
Daniel Jarque
Paulo Ramos (futebolista)
Piermario Morosini
Christian Benítez
Ivan Turina
Posições no futebol
Time
Bola
Goleiro
Esquema tático
Lateral (futebol)
Zagueiro
Líbero (futebol)
Volante (futebol)
Ala (futebol)
Meia-armador
Atacante (futebol)
Centroavante
Ponta-de-lança
Sindicato
Rio de Janeiro (cidade)
Portugal
23 de fevereiro
1972
FIFPro
1965
Hoofddorp
Países Baixos
2009
Poder
Contrato
Clube de futebol
Samy Dana
