Mapa-múndi
Índice de Desenvolvimento Humano
Programa das Nações Unidas para o Desenvolvimento
Relatório de Desenvolvimento Humano
Saúde
Educação
Renda
Desenvolvimento humano
Produto interno bruto
Expectativa de vida ao nascer
Escolaridade
Renda nacional bruta
Média geométrica
Nações Unidas
"Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Departamento de Assuntos Econômicos e Sociais das Nações Unidas
Banco Mundial
Fundo Monetário Internacional
Organização para a Cooperação e Desenvolvimento Econômico
Expectativa de vida
Desigualdade social
Desigualdade de gênero
Lista de países por IDH ajustado à desigualdade
Índice de Desenvolvimento de Gênero
Universidade Radboud de Nimega
Países Baixos
Pegada ecológica
Suíça
Noruega
Islândia
Hong Kong
Dinamarca
Suécia
Alemanha
Irlanda
Singapura
Austrália
Bélgica
Finlândia
Liechtenstein
Reino Unido
Nova Zelândia
Emirados Árabes Unidos
Canadá
Coreia do Sul
Luxemburgo
Estados Unidos
Áustria
Eslovénia
Japão
Israel
Malta
Espanha
França
Chipre
Itália
Estónia
Chéquia
Grécia
Bahrein
Andorra
Polónia
Letónia
Lituânia
Croácia
Catar
Arábia Saudita
Portugal
San Marino
Chile
Eslováquia
Turquia
Hungria
Argentina
Kuwait
Montenegro
São Cristóvão e Nevis
Uruguai
Romênia
Antígua e Barbuda
Brunei
Rússia
Bahamas
Panamá
Omã
Geórgia
Trindade e Tobago
Barbados
Malásia
Costa Rica
Sérvia
Tailândia
Cazaquistão
Seicheles
Bielorrússia
Bulgária
Palau
Maurícia
Granada (país)
Albânia
China
Arménia
México
Irã
Irão
Sri Lanka
Bósnia e Herzegovina
São Vicente e Granadinas
República Dominicana
Equador
Macedónia do Norte
Cuba
Moldávia
Maldivas
Peru
Azerbaijão
Brasil
Colômbia
Líbia
Argélia
Turquemenistão
Guiana
Mongólia
Dominica
Tonga
Jordânia
Ucrânia
Tunísia
Ilhas Marshall
Paraguai
Fiji
Egito
Uzbequistão
Vietname
Santa Lúcia
Líbano
África do Sul
Estado da Palestina
Indonésia
Filipinas
Botswana
Jamaica
Samoa
Quirguistão
Belize
Venezuela
Bolívia
Marrocos
Nauru
Gabão
Suriname
Butão
Tajiquistão
El Salvador
Iraque
Bangladesh
Nicarágua
Cabo Verde
Tuvalu
Guiné Equatorial
Índia
Estados Federados da Micronésia
Guatemala
Kiribati
Honduras
Laos
Vanuatu
São Tomé e Príncipe
Essuatíni
Namíbia
Myanmar
Gana
Quénia
Nepal
Camboja
República do Congo
Angola
Camarões
Comores
Zâmbia
Papua-Nova Guiné
Timor-Leste
Ilhas Salomão
Síria
Haiti
Uganda
Zimbabwe
Nigéria
Ruanda
Togo
Mauritânia
Paquistão
Costa do Marfim
Tanzânia
Lesoto
Senegal
Sudão
Djibuti
Malawi
Benim
Gâmbia
Eritreia
Etiópia
Libéria
Madagáscar
Guiné-Bissau
República Democrática do Congo
Guiné
Afeganistão
Moçambique
Serra Leoa
Burquina Fasso
Iémen
Burundi
Mali
Chade
Níger
República Centro-Africana
Sudão do Sul
Somália
OCDE
Europa
Ásia Central
América Latina
Caribe
Ásia-Pacífico
Mundo
Pequenos países insulares em desenvolvimento
Mundo árabe
Países em desenvolvimento
Ásia meridional
África subsaariana
Países subdesenvolvidos
Mónaco
Coreia do Norte
Kosovo
Macau
Taiwan
Porto Rico
Jersey
Ilhas Caimã
Bermudas
Guernsey
Gibraltar
Ilhas Faroe
Ilha de Man
Ilhas Virgens Britânicas
Ilhas Malvinas
Aruba
Guam
Ilhas Virgens Americanas
Marianas Setentrionais
Ilhas Turks e Caicos
República Turca de Chipre do Norte
Gronelândia
Anguila
Ilhas Cook
Samoa Americana
Monserrate (ilha)
Nova Caledônia
Wallis e Futuna
São Pedro e Miquelão
Polinésia Francesa
Coletividade de São Martinho
Santa Helena (território)
Niue
Toquelau
São Bartolomeu (Antilhas francesas)
Estado de bem-estar social
Concentração de renda
Lista de países por Índice de Desenvolvimento Humano (2004)
Lista de países por Índice de Desenvolvimento Humano (2005)
Lista de países por Índice de Desenvolvimento Humano (2006)
Lista de países por Índice de Desenvolvimento Humano (2007)
Lista de países por Índice de Desenvolvimento Humano (2008)
Lista de países por Índice de Desenvolvimento Humano (2009)
País desenvolvido
País em desenvolvimento
País subdesenvolvido
Qualidade de vida
População mundial
China e as Nações Unidas
República da China
Estado soberano
República Popular da China
PNUD
International Standard Book Number
International Standard Serial Number
JSTOR
Digital object identifier
PubMed Identifier
Programa de Desenvolvimento das Nações Unidas
Lista de Estados soberanos
Happy Planet Index
Índice de Desempenho Ambiental
Lista de países por emissões de dióxido de carbono per capita
Lista de países por risco de desastre natural
Lista de países por código do COI
Lista de códigos de país da FIFA
Lista de códigos de país FIPS
ISO 3166-1
Prefixo naval
Lista de códigos telefónicos
Lista de TLDs
Lista de países por esperança média de vida à nascença
Lista de Estados soberanos e territórios dependentes por taxa de fecundidade
Lista de países por população imigrante
Lista de países por índice de mortalidade
Lista de países por índice de mortalidade infantil
Lista de países por taxa de natalidade
Lista de países por população
Lista de países por crescimento populacional
Lista de países por densidade populacional
Lista de países por principais grupos religiosos
Lista de países por população budista
Igreja Católica no mundo
Lista de países por população muçulmana
Protestantes por país
Lista de países por irreligião
Lista de países e territórios por índice de urbanização
Índice Composto de Capacidade Nacional
Índice de Capital Humano
Índice de Competitividade Mundial
Índice Internacional de Direitos de Propriedade
Lista de países por igualdade de riqueza
Lista de países por dívida externa
Lista de países por dívida pública
Lista de países por exportações
Lista de países por importações
Lista de países por índice de inflação
Índice de Inovação Global
Índice de Liberdade Econômica
Lista de países pelo número de milionários
Lista de países por número de bilionários
Lista de moedas
Lista das maiores perdas financeiras mundiais
Índice de Prosperidade Legatum
Lista de países por riqueza total
Lista de países por salário mínimo
Lista dos países que mais utilizam a tecnologia
Lista de países por carga tributária
Lista de países por consumo de álcool
Lista de países por consumo de cerveja por pessoa
Idade legal para consumo de bebidas alcoólicas
Consumo anual de cannabis por país
Lista de países por uso de canábis na vida adulta
Lista de países por número de celulares em uso
Lista de países por penetração de smartphones
Lista de países por número de assinaturas de Internet de banda larga
Lista de países por número de usuários de Internet
Lista de países por velocidades de conexão de Internet
Lista de países pelo consumo total de energia per capita
Lista de países por consumo de eletricidade
Lista de países por produção de eletricidade
Lista de países por produção de eletricidade renovável
Lista de países por exportação de gás natural
Lista de países por produção de gás natural
Lista de países por reservas comprovadas de gás natural
Lista de países por exportação de petróleo
Lista de países por produção de petróleo
Lista de países por reservas de petróleo
Lista de países por crescimento do PIB
Lista de países por taxa de crescimento real de PIB
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Lista de países por PIB (Paridade do Poder de Compra)
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por produção de alumínio
Lista de países por produção de antimônio
Lista de países por produção de bauxita
Lista de países por produção de bismuto
Lista de países por produção de carvão
Lista de países por reservas de carvão
Lista de países por produção de chumbo
Lista de países por produção de cobre
Lista de países por produção de crômio
Lista de países por produção de diamante
Lista de países por produção de estanho
Lista de países por produção de ferro
Lista de países por produção de lítio
Lista de países por produção de magnésio
Lista de países por produção de manganês
Lista de países por produção de mercúrio
Lista de países por produção de níquel
Lista de países por produção de ouro
Lista de países por produção de platina
Lista de países por produção de prata
Lista de países por produção de urânio
Lista de países por produção de zinco
Lista de países por número de aeroportos
Lista de países por mercados automotivos
Lista de países por veículos per capita
Lista de países por produção de veículos automóveis
Lista de países por número de heliportos
Lista de países por dimensão da malha ferroviária
Estatísticas totais de metropolitanos por país
Lista de países e territórios por área
Lista de capitais nacionais
Lista de Estados soberanos e territórios dependentes por continente
Lista de países por extensão total de contorno
Lista de fronteiras terrestres internacionais por comprimento
