Online Computer Library Center
Controle de autoridade
Federação Internacional de Associações e Instituições Bibliotecárias
Biblioteca do Congresso
Biblioteca Nacional da Alemanha
Biblioteca Nacional da França
OAI-PMH
Wikipédia
Wikidata
International Standard Name Identifier
ORCID
Dados
Bibliotheca Alexandrina
Língua árabe
Alexandria
Egipto
Biblioteca Nacional do Chile
Língua castelhana
Santiago (Chile)
Chile
Biblioteca Nacional de España
Madrid
Espanha
Biblioteca Nacional de Portugal
Língua portuguesa
Lisboa
Portugal
Língua francesa
Quebec
Canada
Bibliothèque nationale de France
Paris
França
Rabat
Morocco
Biografisch Portaal
Língua neerlandesa
Haia
Países Baixos
Biblioteca Britânica
Londres
Inglaterra
Língua dinamarquesa
Copenhaga
Dinamarca
Ballerup
Língua alemã
Frankfurt am Main
Alemanha
Reino Unido
Museu de Israel
Língua hebraica
Jerusalém
Israel
Istituto Centrale per il Catalogo Unico
Língua italiana
Roma
Itália
Beirut
Líbano
Library and Archives Canada
Ottawa
Ontário
Canadá
Library of Congress
"Washington, D.C."
Estados Unidos
Língua croata
Zagreb
Croácia
Língua eslovena
Liubliana
Eslovénia
National Central Library
Taipé
Taiwan
Biblioteca Nacional da Dieta
Língua japonesa
Tóquio
Quioto
Japão
National Institute of Informatics
Singapura
National Library of Australia
Camberra
Austrália
Biblioteca Nacional do Brasil
Rio de Janeiro
Brazil
Língua catalã
Barcelona
Biblioteca Nacional da Estônia
Língua estoniana
Tallinn
Estónia
Língua islandesa
Reiquiavique
Islândia
Língua irlandesa
Dublin
República da Irlanda
Biblioteca Nacional da Coreia
Língua coreana
Seul
Coreia do Sul
Língua letã
Riga
Letónia
Língua luxemburguesa
Luxemburgo (cidade)
Luxemburgo
Biblioteca Nacional do México
Cidade do México
México
Wellington
Nova Zelândia
Biblioteca Nacional da Noruega
BIBSYS
Língua norueguesa
Trondheim
Noruega
Biblioteca Nacional da Polónia
Língua polaca
Varsóvia
Polónia
Biblioteca Nacional da Rússia
Língua russa
São Petersburgo
Rússia
Língua gaélica escocesa
Scots
Edimburgo
Escócia
Língua africâner
Cidade do Cabo
Pretória
África do Sul
Biblioteca Nacional da Suécia
Língua sueca
Estocolmo
Suécia
Língua galesa
Aberystwyth
País de Gales
Biblioteca Nacional da Chéquia
Língua tcheca
Praga
Republica checa
Biblioteca Nacional da Hungria
Língua húngara
Budapeste
Hungria
Perseus Project
Medford (Massachusetts)
Martigny
Suíça
Sistema Universitário de Documentação
Nashville
Língua romanche
Berna
Union List of Artist Names
Los Angeles
Califórnia
United States
Beltsville
United States National Library of Medicine
Bethesda (Maryland)
Latim
Vaticano
Nl
Bruxelas
Bélgica
Berlin
Biblioteca Nacional Martynas Mažvydas da Lituânia
Língua lituana
Vilnius
Lituânia
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Publicação de acesso restrito – talvez seja necessário pagamento
International Federation of Library Associations and Institutions
OCLC
International Standard Serial Number
Digital object identifier
International Standard Book Number
MIT Press
