Memorial da Balaiada
1838
1841
Província do Maranhão
Império do Brasil
Manuel Francisco dos Anjos Ferreira
Raimundo Gomes
Cosme Bento das Chagas
Luís Alves de Lima e Silva
Rebelião
Maranhão
13 de dezembro
Nina Rodrigues (Maranhão)
Lei dos Prefeitos
Imperador do Brasil
Anistia
Balaio
Plantation
Violência policial
Ricardo Leão Sabino
Cerco
São Luís (Maranhão)
Gangrena
Regência (governo)
Caxias (Maranhão)
Rio Itapecuru
Baía de São José
Guerra de Independência do Brasil
Guerra da Cisplatina
7 de fevereiro
Sérgio de Oliveira
Rio Mearim
23 de agosto
Pedro II do Brasil
Guerra civil
Exército Brasileiro
História militar do Brasil
Guerra da Independência do Brasil
Guerra do Prata
Guerra do Uruguai
Guerra do Paraguai
Confederação do Equador
Revolta do Ano da Fumaça
Revolta de Carrancas
Sabinada
Cabanada
Cabanagem
Revolta dos Malês
Guerra dos Farrapos
Revoltas liberais de 1842
Revolução dos Ganhadores
Revolução Praieira
Revolta do Ronco da Abelha
Revolta dos Muckers
Rasga-listas
Revolta do Quebra-Quilos
Proclamação da República do Brasil
Tratado do Rio de Janeiro (1825)
Tratado do Rio de Janeiro (1828)
Tratado da Tríplice Aliança
Tratado de Ayacucho
Número de controle da Biblioteca do Congresso
