Tordesilhas
Espanha
João II de Portugal
Fernando II de Aragão
Coroa de Castela
Reino de Portugal
Ratificação
2 de julho
5 de Setembro
Arquivo Nacional da Torre do Tombo
Archivo General de Indias
Tratado
Região histórica de Castela
7 de junho
1494
Europa
Cristóvão Colombo
Novo Mundo
Isabel I de Castela
Meridiano (geografia)
Léguas
Cabo Verde
Caribe
Antília
Tratado de Saragoça (1529)
Terra
Antimeridiano
Meridiano de Tordesilhas
Tratado de Saragoça
Almotacé
Aires de Almada
Duarte Pacheco Pereira
Relações Internacionais
Papa
Idade Média
Idade Moderna
Arquivo Geral das Índias
1750
Tratado de Madrid (1750)
Santa Sé
Roma
Irlanda
Inglaterra
Canárias
Papa Silvestre I
Ilha
Infante D. Henrique
Caravela
Oceano Atlântico
África
Costa da Mina
Marfim
Escravatura
Tratado de Alcáçovas
Papa Sisto IV
Paralelo
Hemisfério (geografia)
Lista de reis de Castela
Lista de reis de Portugal
Dum Diversas
Romanus Pontifex
Papa Nicolau V
Ordem de Cristo
Cabo Bojador
Gran Canária
Cosmografia
Papa Alexandre VI
Bula Inter Coetera
Légua
Estado cristão
Reis Católicos
Ásia
Diplomacia
Manuel I de Portugal
Planisfério de Cantino
Vasco da Gama
Gaspar Corte-Real
Pedro Álvares Cabral
Papa Júlio II
Rodrigo Otávio
Bartolomé de las Casas
"João Teixeira Albernaz, o velho"
Santana do Parnaíba
Cabo da Boa Esperança
França
Países Baixos
Francisco I de França
Adão e Eva
Indígena
Corsário
Pirata
Contrabando
Honfleur
Ruão
La Rochelle
Dieppe
Jean Ango
Dinastia Filipina
América do Sul
Rio da Prata
Andes
Buenos Aires
Colônia do Sacramento
Tratado de Sintra (1509)
Ilhas Molucas
Especiarias
Fernão de Magalhães
Indonésia
João III de Portugal
Carlos I de Espanha
Astronomia
Matemática
Badajoz
Elvas
Longitude
Junta de Badajoz-Elvas
Filipinas
Brasil
Ducado
Ouro
Liga de Cognac
América
Mapa das Cortes
Wikisource
Capitanias do Brasil
Casas do Tratado de Tordesilhas
Descobrimentos portugueses
Evolução territorial do Brasil
Guerra de Iguape
Império Português
Lista de bulas
Lista de tratados
Japão
Cuba
Ilha de São Domingos
OCLC
Afonso de Albuquerque
Malaca
Ilhas Banda
António de Abreu
Java
Pequenas Ilhas de Sunda
Amboina
Noz moscada
Cravo-da-índia
Francisco Serrão
Ternate
International Standard Book Number
Carlos Malheiro Dias
Delgado de Carvalho
Oliveira Lima
Demetrio Magnoli
