Sua Excelência
Lista de presidentes da Câmara dos Deputados do Brasil
Presidente da Câmara dos Deputados do Brasil
Incumbente
Rodrigo Maia
Deputado federal
Alagoas
Lista de deputados federais do Brasil da 54.ª legislatura
Lista de deputados federais do Brasil da 55.ª legislatura
Lista de deputados federais do Brasil da 56.ª legislatura
Lista de deputados federais do Brasil da 57.ª legislatura
Deputado estadual
Lista de deputados estaduais de Alagoas da 14.ª legislatura
Lista de deputados estaduais de Alagoas da 15.ª legislatura
Lista de deputados estaduais de Alagoas da 16.ª legislatura
Vereador
Maceió
25 de junho
1969
Benedito de Lira
Alma mater
Universidade Federal de Alagoas
Ordem de Rio Branco
Democratas (Brasil)
Partido da Social Democracia Brasileira
Partido Trabalhista Brasileiro (1979)
Progressistas
Mobilização Nacional
Empresário
Pecuarista
Advogado
Agropecuária
Político
Brasileiros
Centrão
Direito
Agropecuarista
Roraima
Antonio Denarium
Distrito Federal (Brasil)
Real (moeda brasileira)
Caso Jullyene Lins
Violência doméstica
Foro especial por prerrogativa de função
Procurador-Geral da República (Brasil)
Supremo Tribunal Federal
Teori Zavascki
Agência Pública
Estupro
Tribunal de Justiça do Distrito Federal e dos Territórios
Partido Trabalhista Brasileiro (1981)
Partido da Mobilização Nacional
Eduardo Cunha
Comissão de Constituição e Justiça e de Cidadania
Afastamento e cassação de Eduardo Cunha
Waldir Maranhão
Cassação
Reforma trabalhista no Brasil em 2017
Michel Temer
Eleição para mesa diretora da Câmara dos Deputados do Brasil em 2021
Presidência da Câmara dos Deputados do Brasil
Jair Bolsonaro
Baleia Rossi
Movimento Democrático Brasileiro (1980)
Regimento Interno da Câmara dos Deputados
Rodrigo Pacheco
Palácio do Planalto
Orçamento secreto
Simone Tebet
Eleição presidencial no Brasil em 2022
Bolsonarismo
Eleição para mesa diretora da Câmara dos Deputados do Brasil em 2023
Campanha de conscientização
Agosto Lilás
Liberdade de expressão
Governo Lula (2023–presente)
Câmara dos Deputados do Brasil
Semipresidencialismo
Roteiro (Alagoas)
Canapi
Tribunal de Justiça de Alagoas
Improbidade administrativa
Assembleia Legislativa de Alagoas
Obstrução de justiça
Isnaldo Bulhões
Jornalista
O Globo
João Henrique Caldas
Wilson Santiago Filho
2010
2007
Rodrigo Janot
Corrupção
Petrobras
Operação Lava Jato
Lavagem de dinheiro
Paulo Roberto Costa
Delação premiada
Doleiro
Alberto Youssef
Eleições gerais no Brasil em 2010
Partido Progressista (Brasil)
Dinheiro
Aeroporto de Congonhas
São Paulo (cidade)
Polícia Federal
Ricardo Pessoa
UTC Engenharia
Corrupção passiva
Fotografia
Prédio
José Janene
Tesoureiro
Renan Calheiros
Heloísa Helena
Construtora Constran
Mário Negromonte
Aline Corrêa
Nelson Meurer
João Pizzolatti
Luiz Argôlo
Solidariedade (partido político)
André Luiz Vargas Ilário
Partido dos Trabalhadores
Ministério Público Federal
Erário
Procuradoria-Geral da República
Pierpaolo Bottini
Folha de S.Paulo
Eleição municipal de Maceió em 1992
Eleição municipal de Maceió em 1996
Eleições estaduais em Alagoas em 1998
Eleições estaduais em Alagoas em 2002
Eleições estaduais em Alagoas em 2006
Eleições estaduais em Alagoas em 2010
Eleições estaduais em Alagoas em 2014
Eleições estaduais em Alagoas em 2018
Eleições estaduais em Alagoas em 2022
Câmara dos deputados
Câmara dos Deputados
UOL
CartaCapital
Revista Veja
Portal Terra
Revista Fórum
BBC Brasil
Primeiro reinado
Pedro I do Brasil
Luís Pereira da Nóbrega de Sousa Coutinho
Francisco de Paula Sousa e Melo
Pedro de Araújo Lima
José da Costa Carvalho
Romualdo Antônio de Seixas
José Ribeiro Soares da Rocha
Período regencial (Brasil)
Martim Francisco Ribeiro de Andrada
José Martiniano Pereira de Alencar
Antônio Paulino Limpo de Abreu
Bento de Oliveira Braga
Venâncio Henriques de Resende
Antônio Maria de Moura
Cândido José de Araújo Viana
Joaquim Marcelino de Brito
Segundo reinado
Pedro II do Brasil
Manuel Inácio Cavalcanti de Lacerda
José Joaquim Fernandes Torres
Francisco Muniz Tavares
Dias de Carvalho
Antônio Pinto Chichorro da Gama
Gabriel Mendes dos Santos
José Ildefonso de Sousa Ramos
Maciel Monteiro
Brás Carneiro Nogueira da Costa e Gama
Pedro Francisco de Paula Cavalcanti e Albuquerque
Zacarias de Góis e Vasconcelos
Francisco José Furtado
Camilo Maria Ferreira Armond
Saldanha Marinho
Francisco de Paula da Silveira Lobo
Joaquim Otávio Nébias
Inocêncio Marques de Araújo Góis
Manuel Francisco Correia
Paulino José Soares de Sousa
Martinho Álvares da Silva Campos
Martim Francisco Ribeiro de Andrada (filho)
João Ferreira de Moura
José Rodrigues de Lima Duarte
Antônio Moreira de Barros
Manuel Alves de Araújo
Franklin Dória
André Augusto de Pádua Fleury
Domingos de Andrade Figueira
Gomes de Castro
Henrique Pereira de Lucena
Primeira República Brasileira
Cronologia da Primeira República Brasileira
João da Mata Machado
Bernardino de Campos (político)
João Lopes Ferreira Filho
Francisco de Assis Rosa e Silva
Artur César Rios
Carlos Vaz de Melo
Francisco de Paula Oliveira Guimarães
Carlos Peixoto
Sabino Barroso
Astolfo Dutra Nicácio
Bueno Brandão (político)
Arnolfo Azevedo
Sebastião do Rêgo Barros
Antônio Carlos Ribeiro de Andrada (IV)
Cronologia da Segunda República Brasileira
Cronologia da Terceira República Brasileira
Cronologia da Quarta República Brasileira
Pedro Aleixo
Honório Fernandes Monteiro
Samuel Duarte
Cirilo Júnior
Nereu Ramos
Carlos Luz
José Antônio Flores da Cunha
Ulysses Guimarães
Ranieri Mazzilli
Ditadura militar brasileira
Cronologia da ditadura militar brasileira
Olavo Bilac Pinto
Adauto Lúcio Cardoso
João Batista Ramos
José Bonifácio Lafayette de Andrada
Geraldo Freire
Ernesto Pereira Lopes
Flávio Marcílio
Célio Borja
Marco Maciel
Nelson Marchezan
Nova República
Cronologia da Sexta República Brasileira
Antonio Paes de Andrade
Ibsen Pinheiro
Inocêncio de Oliveira
Luís Eduardo Magalhães
Aécio Neves
Efraim Morais
João Paulo Cunha
Severino Cavalcanti
José Thomaz Nonô
Aldo Rebelo
Arlindo Chinaglia
Marco Maia
Henrique Eduardo Alves
Parlamentar
Congresso Nacional do Brasil
Lista de senadores do Brasil da 56.ª legislatura
Fernando Collor
Rodrigo Cunha
Marx Beltrão
Nivaldo Albuquerque
Paulo Fernando dos Santos
Pedro Vilela
Sérgio Toledo de Albuquerque
Severino Pessôa
Tereza Nelma
Senado Federal do Brasil
Partido Republicano da Ordem Social
Partido Liberal (2006)
Partido Social Democrático (2011)
Partido Trabalhista Brasileiro
Republicanos (partido político)
Brasil
Conselho de Altos Estudos e Avaliação Tecnológica
Conselho de Ética e Decoro Parlamentar da Câmara dos Deputados do Brasil
Corregedoria Parlamentar da Câmara dos Deputados do Brasil
Departamento de Polícia Legislativa
Mesa da Câmara dos Deputados do Brasil
Linha de sucessão presidencial da Câmara dos Deputados do Brasil
Parlamento Jovem Brasileiro
Plenarinho
Procuradoria Parlamentar da Câmara dos Deputados do Brasil
Regimento Interno da Câmara dos Deputados do Brasil
Plenário Ulysses Guimarães
Cadeia Velha
Quinta da Boa Vista
Palácio Monroe
Biblioteca Nacional do Brasil
Palácio Tiradentes
Palácio do Congresso Nacional
Agência Câmara (Brasil)
Portal E-Democracia
Rádio Câmara
TV Câmara
Eleição para mesa diretora da Câmara dos Deputados do Brasil em 2005
Eleição especial para presidente da Câmara dos Deputados do Brasil em 2005
Eleição para mesa diretora da Câmara dos Deputados do Brasil em 2007
Eleição para mesa diretora da Câmara dos Deputados do Brasil em 2011
Eleição para mesa diretora da Câmara dos Deputados do Brasil em 2013
Eleição especial para presidente da Câmara dos Deputados do Brasil em 2016
Eleição para mesa diretora da Câmara dos Deputados do Brasil em 2015
Eleição para mesa diretora da Câmara dos Deputados do Brasil em 2017
Eleição para mesa diretora da Câmara dos Deputados do Brasil em 2019
Lista de deputados do Império do Brasil da 1.ª legislatura
Lista de deputados do Império do Brasil da 2.ª legislatura
Lista de deputados do Império do Brasil da 3.ª legislatura
Lista de deputados do Império do Brasil da 4.ª legislatura
Lista de deputados do Império do Brasil da 5.ª legislatura
Lista de deputados do Império do Brasil da 6.ª legislatura
Lista de deputados do Império do Brasil da 7.ª legislatura
Lista de deputados do Império do Brasil da 8.ª legislatura
Lista de deputados federais do Brasil da 28.ª legislatura
Lista de deputados federais do Brasil da 36.ª legislatura
Lista de deputados federais do Brasil da 38.ª legislatura
Lista de deputados federais do Brasil da 39.ª legislatura
Lista de deputados federais do Brasil da 40.ª legislatura
Lista de deputados federais do Brasil da 41.ª legislatura
Lista de deputados federais do Brasil da 42.ª legislatura
Lista de deputados federais do Brasil da 43.ª legislatura
Lista de deputados federais do Brasil da 44.ª legislatura
Lista de deputados federais do Brasil da 45.ª legislatura
Lista de deputados federais do Brasil da 46.ª legislatura
Lista de deputados federais do Brasil da 47.ª legislatura
Lista de deputados federais do Brasil da 48.ª legislatura
Lista de deputados federais do Brasil da 49.ª legislatura
