Fotografia panorâmica
Laboratório Nacional de Luz Síncrotron
Campinas
Unidades federativas do Brasil
São Paulo (estado)
Acelerador de partículas
Hemisfério sul
Português brasileiro
Português europeu
Física de partículas
Cíclotron
Campo magnético
Energia cinética
Grande Colisor de Hádrons
Genebra
Organização Europeia para a Pesquisa Nuclear
Próton
Energia
Vladimir Veksler
Edwin Mattison McMillan
Elétron
Marcus Oliphant
Anel de armazenamento
Radiação eletromagnética
LINAC (acelerador)
Frequência
Massa
Velocidade da luz
Ernest Courant
Fotão
Pósitron
Íon
Íman
Elétron-volt
Teoria da relatividade
Tesla (unidade)
Raio (geometria)
Quilômetro
Fermilab
Illinois
Grenoble
Campo elétrico
European Synchrotron Radiation Facility
Saclay
Commissariat à l’énergie atomique et aux énergies alternatives
Saint-Aubin (Essonne)
Cluster
Paris
Ímã
Raios-X
Radiação
Sincrocíclotron
Sirius (acelerador de partículas)
Universidade de Coimbra
