Organização internacional
16 de março
1948
Paris
França
Alemanha
Austrália
Áustria
Bélgica
Canadá
Chéquia
Chile
Colômbia
Costa Rica
Coreia do Sul
Dinamarca
Eslováquia
Eslovénia
Espanha
Estados Unidos
Estónia
Finlândia
Grécia
Hungria
Irlanda
Islândia
Israel
Itália
Japão
Letónia
Lituânia
Luxemburgo
México
Nova Zelândia
Noruega
Países Baixos
Polónia
Portugal
Reino Unido
Suécia
Suíça
Turquia
Língua inglesa
Língua francesa
Português brasileiro
Português europeu
Organização intergovernamental
Comércio mundial
Democracia
Economia de mercado
Índice de Desenvolvimento Humano
Países desenvolvidos
Dólares internacionais
Paridade de poder de compra
Nações Unidas
Plano Marshall
União Soviética
Bloco soviético
Segunda Guerra Mundial
República da China (1912–1949)
Coreia
Château de la Muette
Euros
Europa
Área de livre comércio
Comunidade Econômica Europeia
Tratado de Roma (1957)
Alemanha Ocidental
Iugoslávia
Dissolução da Iugoslávia
Agência Internacional de Energia
Grupo de Ação Financeira Internacional
Revoluções de 1989
Europa Central
Grupo de Visegrado
Tchecoslováquia
Polônia
República Tcheca
União Europeia
Chipre
Estônia
Letônia
Eslovênia
Malta
Lobby
Romênia
Victor Ponta
Bulgária
Rússia
Brasil
China
Índia
Indonésia
África do Sul
Anexação da Crimeia à Federação Russa
Argentina
Peru
Malásia
Croácia
Invasão da Ucrânia pela Rússia em 2022
Banco Mundial
Lista de países e territórios por área
Lista de países por população
Lista de países por PIB (Paridade do Poder de Compra)
Dólar Geary-Khamis
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por igualdade de riqueza
Lista de países por Índice de Desenvolvimento Humano
Estado falido
Estado de Direito
Índice de Percepção de Corrupção
Índice de Liberdade Econômica
Índice Global da Paz
Índice de Liberdade de Imprensa
Índice de Democracia
República da Irlanda
Estados frágeis
Cisjordânia
Quartil
Roménia
Preço de transferência
Fundo Monetário Internacional
International Standard Book Number
Fortune (revista)
World Bank
Transparency International
Heritage Foundation
Reporters Without Borders
Economist Intelligence Unit
Wikimedia
Integração econômica
Barreira alfandegária
Comércio internacional
Economia internacional
Integração regional
Livre-comércio
Nação mais favorecida
Organização regional
Protecionismo
Regionalismo (relações internacionais)
Tarifa externa comum
Área de livre-comércio
Integração econômica total
Mercado comum
União aduaneira
União monetária
União económica e monetária
União fiscal
Zona preferencial de comércio
Acordo comercial
Acordo de comércio preferencial
Tratado de livre-comércio
Bloco econômico
União Econômica Eurasiática
Zona de Comércio Livre Continental Africana
Zona Tripartida de Livre-Comércio
Comunidade da África Oriental
Comunidade Económica dos Estados da África Ocidental
Comunidade Económica e Monetária da África Central
Comunidade Econômica dos Estados da África Central
União Aduaneira da África Austral
União Econômica e Monetária do Oeste Africano
Associação Latino-Americana de Integração
Comunidade Andina
Comunidade do Caribe
Mercado Comum Centro-Americano
Mercado Comum do Sul
Tratado Norte-Americano de Livre-Comércio
Organização dos Estados do Caribe Oriental
"Tratado de Livre-Comércio entre Estados Unidos, América Central e República Dominicana"
ANSA+3
Associação Sul-Asiática para a Cooperação Regional
Conselho de Cooperação do Golfo
Comunidade Econômica Eurasiática
Acordo Centro-Europeu de Livre-Comércio
Espaço Económico Europeu
União Aduaneira da União Europeia
Aliança do Pacífico
Franco CFP
Acordo Estratégico Trans-Pacífico de Associação Econômica
Base Virtual Internacional de Autoridade
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Catálogo de autoridades de nomes e títulos da Catalunha
CiNii
Encyclopædia Britannica
Gemeinsame Normdatei
Global Research Identifier Database
Dicionário Histórico da Suíça
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da Grécia
OpenCorporates
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Union List of Artist Names
Pontifícia Universidade São Tomás de Aquino
Medical Subject Headings
Sistema Unificado de Linguagem Médica
