Pleistoceno
Pré-Cambriano
Câmbrico
Ordovícico
Silúrico
Devónico
Carbónico
Pérmico
Triássico
Jurássico
Cretácico
Paleogénico
Neogénico
Puma concolor couguar
Parque Nacional Glacier (Estados Unidos)
Estado de conservação
Espécie pouco preocupante
Lista Vermelha da IUCN
Classificação científica
Domínio (biologia)
Eukaryota
Reino (biologia)
Animalia
Filo
Chordata
Classe (biologia)
Mammalia
Ordem (biologia)
Carnivora
Família (biologia)
Felídeos
Felíneos
Género (biologia)
Puma (género)
Espécie
Nomenclatura binomial
Carlos Lineu
Sinonímia (taxonomia)
Português brasileiro
Português europeu
Mamífero
Familia (biologia)
América
Felis
Acinonyx jubatus
Gato-mourisco
Ocidente
Columbia Britânica
Canadá
Chile
Clima tropical
Clima subártico
Tundra
Leopardo
Américas
Focinho
Cervídeos
Estro
União Internacional para a Conservação da Natureza e dos Recursos Naturais
América do Norte
América Central
América do Sul
Caça
Gado
Estados Unidos
Flórida
Mitologia
Povos ameríndios
Língua tupi
Veado
Onça-pintada
Região Sudeste do Brasil
Região Sul (Brasil)
Região Centro-Oeste do Brasil
Brasil
Nordeste Brasileiro
Rio Grande do Sul
Paraná
Santa Catarina
Mato Grosso do Sul
Língua quíchua
Língua grega
Latim
Língua italiana
Nome científico
Filogenia
Leopardus
Lince
Puma yagouaroundi
Otocolobus manul
Prionailurus
Citogenética
DNA
William Jardine
Pantherinae
Novo Mundo
Panthera
Onça-parda
África
Ásia
Velho Mundo
Miracinonyx
México
Grande Intercâmbio Americano
Vertebrado
Subespécie
Morfologia (biologia)
DNA mitocondrial
Haplótipo
Microssatélite (genética)
Arizona
Novo México
Baja California
Califórnia
Puma concolor coryi
Nevada
Utah
El Salvador
Idaho
Montana
Oregon
Washington
Texas
Nicarágua
Panamá
Andes
Colômbia
Venezuela
Guianas
Amazônia
Peru
Bolívia
Equador
Argentina
Mato Grosso
Chaco
Paraguai
Puma concolor greeni
Patagônia
Mammal Species of the World
Pampas
Rio Paraná
Rio Paraguai
Localidade tipo
Caribe
Yukon
Everglades
Honduras
Uruguai
Maranhão
Sergipe
Bahia
Tropical
Subártico
Cervídeo
São Paulo (estado)
Hectare
Mata Atlântica
Cana-de-açúcar
Eucalyptus
Felídeo
Cernelha
Latitude
Garra
Pegada
Cão
Calcanhar
Melanismo
Albinismo
Pupila
Orelha
Mamilo
Ventre
Língua
Papila gustativa
Pênis
Testículo
Escroto
Crânio
Osso nasal
Convexo
Côncavo
Arco zigomático
Mandíbula
Dentição
Caninos
Cone
Pré-molar
Molar (dente)
Clavícula
Carniceiro
Mastigação
Dentição decídua
Estômago
Ceco
Rugido
Laringe
Osso hioide
Músculo
Acrocêntrico
Metacêntrico
Híbrido (biologia)
Jaguatirica
Crepúsculo
Coiote
Superpredador
Mesopredadores
Alce
Uapiti
Inverno
Lobo
Lince-pardo
Cariacu
Urso-pardo
Carnívoro
Predação
Odocoileus
Blastocerus
Hippocamelus
Mazama
Répteis
Ave
Peixe
Inseto
Guanaco
Capivara
Ema
Cavalo
Gado bovino
Grande felino
Caprino
Ovino
Suíno
Tapirus terrestris
Queixada
Roedor
Paca
Cutia
Ungulado
Arborícola
Primata
Bugio
Ateles
Quati
Mão-pelada
Lobo-guará
Lynx rufus
Raposa-vermelha
Urso-cinzento
Visão
Audição
Emboscada
Garganta
Carneiro-selvagem
Vértebra
Costela
Intestino
Víscera
Pulmão
Coração
