Habitat humano
Lagoa
Laguna
Ecossistema
Espécie
Ecologia
Meio ambiente
Animal
Planta
Organismo
População
Peixe
Solo
Umidade
Temperatura
Luz
Alimento
Predador
Musgo
Parasitismo
Hospedeiro
Célula
Região polar
Clima temperado
Clima subtropical
Clima tropical
Floresta
Estepe
Campo (bioma)
Semiárido
Deserto
Água doce
Marisma
Córrego
Rio
Lago
Estuário
Zona entremarés
Recife
Baía
Fonte hidrotermal
Vulcão
Terremoto
Tsunami
Clima
Manto de gelo
Geleira
Precipitação (meteorologia)
Radiação solar
Desmatamento
Espécie introduzida
Predação
Girafa
Zebra
Zebras
Árvore
Papagaio-de-cara-roxa
Mata Atlântica
Nicho ecológico
Tartaruga-verde
Recife de coral
Área Protegida das Ilhas Fénix
Biocenose
Rio Maipo
Andes
Biodiversidade
Calcário
Universidade Federal de Pernambuco
Protozoário
Moluscos
Parasitoide
Universidade de Illinois em Urbana-Champaign
Plataforma de gelo
Antártica
Cactaceae
Restinga
Extremófilo
Geomorfologia
Placa tectónica
Deslizamento de terra
Ilha
Cerrado
Bioma
América do Sul
Desflorestação
Poluição
Clima global
Canoagem
Mergulho
Coral
Chile
Conselho Nacional do Meio Ambiente
Aborígenes australianos
Megafauna
Robert MacArthur
Edward O. Wilson
Língua inglesa
Biótopo
Truta
Ribeira das Casas
Ilha das Flores (Açores)
Flora
Fauna
Academia Brasileira de Letras
Latim
Michaelis
International Standard Serial Number
Digital object identifier
Tesauro de Arte e Arquitetura
Biblioteca Nacional da França
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
