Per capita
Produto interno bruto
Valor nominal
Taxa de câmbio
Dólar dos Estados Unidos
Custo de vida
País
Moeda
Paridade do poder de compra
Lista de países por PIB (Paridade do Poder de Compra) per capita
Comércio internacional
Fundo Monetário Internacional
Banco Mundial
Organização das Nações Unidas
Luxemburgo
Irlanda
Suíça
Noruega
Singapura
Estados Unidos
Islândia
Catar
Macau
Dinamarca
Austrália
Países Baixos
San Marino
Áustria
Suécia
Bélgica
Finlândia
Canadá
Alemanha
Emirados Árabes Unidos
Hong Kong
Israel
Reino Unido
Nova Zelândia
França
Malta
Itália
Aruba
Porto Rico
Chipre
Bahamas
Brunei
Taiwan
Coreia do Sul
Espanha
Eslovénia
Japão
Arábia Saudita
Estónia
Kuwait
Chéquia
Portugal
Bahrein
Lituânia
Guiana
Eslováquia
Letónia
Grécia
São Cristóvão e Neves
Barbados
Hungria
Uruguai
Polónia
Croácia
Seicheles
Omã
Antígua e Barbuda
Trindade e Tobago
Romênia
Panamá
Costa Rica
Maldivas
Palau
Bulgária
Chile
México
Cazaquistão
Rússia
Santa Lúcia
Mundo
Malásia
China
Maurícia
Argentina
Turquia
Montenegro
Turquemenistão
Sérvia
Nauru
Granada (país)
República Dominicana
Brasil
São Vicente e Granadinas
Dominica
Gabão
Albânia
Geórgia
Arménia
Bósnia e Herzegovina
Peru
Botswana
Tailândia
Macedónia do Norte
Azerbaijão
Bielorrússia
Moldávia
Colômbia
Jamaica
Belize
Líbia
Guiné Equatorial
Ilhas Marshall
Suriname
Equador
Kosovo
Fiji
Mongólia
Tuvalu
Paraguai
Iraque
África do Sul
Tonga
Argélia
Guatemala
Ucrânia
El Salvador
Indonésia
Estados Federados da Micronésia
Samoa
Namíbia
Jordânia
Cabo Verde
Vietname
Tunísia
Essuatíni
Djibuti
Filipinas
Marrocos
Bolívia
Butão
Venezuela
Vanuatu
Honduras
Sri Lanka
Líbano
Egito
São Tomé e Príncipe
Nicarágua
Índia
Costa do Marfim
Uzbequistão
Bangladesh
Camboja
Papua-Nova Guiné
República do Congo
Kiribati
Angola
Mauritânia
Ilhas Salomão
Gana
Zimbabwe
Quénia
Laos
Haiti
Quirguistão
Etiópia
Senegal
Camarões
Guiné
Benim
Paquistão
Timor-Leste
Zâmbia
Nepal
Comores
Tajiquistão
Myanmar
Tanzânia
Uganda
Nigéria
Lesoto
Guiné-Bissau
Togo
Chade
Ruanda
Gâmbia
Burquina Fasso
Mali
Libéria
República Democrática do Congo
Níger
Moçambique
Sudão
Madagáscar
República Centro-Africana
Serra Leoa
Irã
Irão
Iémen
Malawi
Afeganistão
Sudão do Sul
Burundi
Mónaco
Liechtenstein
Andorra
União Europeia
Cuba
Autoridade Nacional Palestiniana
Territórios palestinianos
Síria
Bermudas
Ilhas Caimã
Gronelândia
Ilhas Virgens Britânicas
Nova Caledônia
Europa
América
Turcas e Caicos
Polinésia Francesa
Ilhas Cook
Anguila
Curaçau
Monserrate (ilha)
América do Sul
América Central
Estado da Palestina
Eritreia
África
Coreia do Norte
Somália
The Guardian
Portable document format
Divisão Estatística das Nações Unidas
Lista de países por PIB nominal
Lista de países por PIB (Paridade do Poder de Compra)
Lista de países por PIB (nominal) passado e futuro
Lista de países por PIB (nominal) per capita passado e futuro
Lista de países por PIB (PPC) passado e futuro
Lista de países por PIB (PPC) per capita passado e futuro
Listas de países e territórios
Lista de países por estimativas do produto interno bruto nominal
Lista de países por estimativas do produto interno bruto nominal per capita
Lista de regiões por PIB passado
Lista de países por estimativas do produto interno bruto em paridade de poder de compra
Lista de países por estimativas do produto interno bruto em paridade de poder de compra e per capita
Lista de países por crescimento do PIB
