VFRGS
29 de setembro
1895
28 de novembro
1934
Universidade pública
Ministério da Educação (Brasil)
Governo do Brasil
Localização geográfica
Porto Alegre
Reitor
Márcia Barbosa
Aluno
Vermelho
Conselho de Reitores das Universidades Brasileiras
Rede Nacional de Extensão
Orçamento
Brasil
Ensino superior
União (Brasil)
Capital
Rio Grande do Sul
Campus
Graduação
Pós-graduação
Ciências exatas
Ciências humanas
Ciências biológicas
Ciências da saúde
IPHAN
Analfabetismo
Escola Normal
Positivismo
Cientificismo
Modernidade
Faculdade de Farmácia da Universidade Federal do Rio Grande do Sul
Escola de Engenharia da Universidade Federal do Rio Grande do Sul
Faculdade de Medicina da Universidade Federal do Rio Grande do Sul
Santa Casa de Misericórdia de Porto Alegre
Faculdade de Direito da Universidade Federal do Rio Grande do Sul
Instituto de Artes da Universidade Federal do Rio Grande do Sul
Colégio Militar de Porto Alegre
Instituto politécnico
Colégio Júlio de Castilhos
Observatório Astronômico da Universidade Federal do Rio Grande do Sul
Escola Técnica Estadual Parobé
Instituto de Química da Universidade Federal do Rio Grande do Sul
Faculdade de Odontologia da Universidade Federal do Rio Grande do Sul
Parque Farroupilha
Patrimônio histórico
Industrialização
Getúlio Vargas
Manuel André da Rocha
Estado Novo (Brasil)
José Loureiro da Silva
Hospital de Clínicas de Porto Alegre
Insolvência
Eliseu Paglioli
Colégio de Aplicação da Universidade Federal do Rio Grande do Sul
Rádio da Universidade
Arquitetura modernista
Planetário Professor José Baptista Pereira
Escola de Enfermagem da Universidade Federal do Rio Grande do Sul
Instituto de Ciências Básicas da Saúde da Universidade Federal do Rio Grande do Sul
Ditadura militar no Brasil
Censura
Sandra Pesavento
"Escola de Educação Física, Fisioterapia e Dança da Universidade Federal do Rio Grande do Sul"
Instituto de Ciências e Tecnologia de Alimentos da Universidade Federal do Rio Grande do Sul
Instituto de Pesquisas Hidráulicas da Universidade Federal do Rio Grande do Sul
Milagre brasileiro
Prédios históricos da Universidade Federal do Rio Grande do Sul
Educação à Distância
Museu da UFRGS
UNESCO
Lista de reitores da Universidade Federal do Rio Grande do Sul
Presidente do Brasil
Jane Tutikian
Jair Bolsonaro
Patricia Pranke
Bibo Nunes
Ubiratan Sanderson
Ruy Irigaray
Luis Carlos Heinze
Progressistas
CAPES
Escola de Engenharia da UFRGS
Faculdade de Direito da UFRGS
Instituto de Artes da UFRGS
Escola de Enfermagem da UFRGS
Faculdade de Farmácia da UFRGS
Faculdade de Medicina da UFRGS
Faculdade de Odontologia da UFRGS
Instituto de Ciências Básicas da Saúde da UFRGS
Instituto de Ciências e Tecnologia de Alimentos da UFRGS
Instituto de Física da UFRGS
Instituto de Informática da UFRGS
