Guerras Liberais
História de Portugal
Pré-história da Península Ibérica
Povos ibéricos pré-romanos
Romanização
Lusitânia
Galécia
Reino Suevo
Reino Visigótico
Alandalus
Reconquista
Condado Portucalense
Reino de Portugal
Independência de Portugal
Dinastia de Borgonha
Crise de 1383–1385 em Portugal
Dinastia de Avis
Descobrimentos portugueses
Império Português
Crise de sucessão de 1580
União Ibérica
Dinastia filipina
Restauração da Independência
Dinastia de Bragança
Guerra Peninsular
Transferência da corte portuguesa para o Brasil
Monarquia constitucional (Portugal)
Vintismo
Guerra Civil Portuguesa
Miguelista
Regeneração (história)
Regicídio de 1908
Implantação da República Portuguesa
Primeira República Portuguesa
Sidonismo
Revolução de 28 de Maio de 1926
Ditadura Militar (Portugal)
Ditadura Nacional
Estado Novo (Portugal)
Guerra Colonial Portuguesa
Revolução de 25 de Abril de 1974
Processo Revolucionário em Curso
Terceira República Portuguesa
Liberalismo
24 de agosto
1820
Porto
História do Brasil
1821
Absolutismo
Portugal
Constituição portuguesa de 1822
1822
Decreto de Abertura dos Portos às Nações Amigas
Pacto colonial
Tratados de 1810
Comércio
Lisboa
Exército Português
Napoleão Bonaparte
Gomes Freire de Andrade
Grande Oriente Lusitano
Monarquia
João VI de Portugal
William Carr Beresford
José Joaquim Pinto da Silva
Forte de São Julião da Barra
Reino Unido
Exército português
De facto
Jacobinismo
Sinédrio (Portugal)
Manuel Fernandes Tomás
Espanha
Constituição de Cádis
Praça da República (Porto)
Missa
António da Silveira Pinto da Fonseca
Sebastião Drago Valente de Brito Cabreira
Francisco de São Luís
João da Cunha Sotto-Mayor
José Maria Xavier de Araújo
Roque Ribeiro de Abranches Castelo Branco
Bernardo Correia de Castro e Sepúlveda
José Ferreira Borges
José da Silva Carvalho
Francisco Gomes da Silva
Clero
Nobreza
Constituição
Pacto Colonial
Palácio das Necessidades
Antônio Carlos Ribeiro de Andrada Machado e Silva
Cortes Gerais e Extraordinárias da Nação Portuguesa
Pedro I do Brasil
Colonização
Independência do Brasil
23 de setembro
Rocha Pombo
International Standard Book Number
Revolução Pernambucana
Revolução
Revolução neolítica
Revolução Comercial
Johannes Gutenberg
Revolução dos preços
Revolução Científica
Revolução Gloriosa
Guerra Civil Inglesa
Revolução Americana
Revoluções do Atlântico
Revolução Francesa
Revolução Haitiana
Revolução Industrial
Revolução Belga
Comuna de Paris
Independência da América Espanhola
Revoluções de 1820
Revoluções de 1830
Revoluções de 1848
Revolução de 1868
Revolução de Cádis
Revolução de Maio
Guerra de independência da Grécia
Restauração Meiji
Monarquia de Julho
Revolução Oriental
Triênio liberal
Revolução Bolivariana
Revolução Boliviana de 1952
Revolução Cantada
Revolução Chinesa
Revolução Constitucional Persa
Revolução Cubana
Revolução Cultural Chinesa
Contracultura
Revolução Nacional da Indonésia
Dissolução da União Soviética
Revoluções de 1905-1911
Revoluções de 1917–1923
Revoluções de 1989
Revolução de Agosto
Revolução de Fevereiro
Revolução de Veludo
Revolução de Zanzibar
Revolução Democrática da Mongólia
Revolução digital
Divisão da Coreia
Revolução dos Jovens Turcos
Revolução Egípcia de 1952
Revolução Espanhola
Feminismo
Revolução do Poder Popular
Revolução Guatemalteca
Guerra Civil do Camboja
Revolução Húngara de 1956
Revolução Iraniana
Revolução de 14 de Julho
Kampuchea Democrático
Liga Espartaquista
Maio de 1968
Revolução Mexicana
Golpe de Estado de 28 de Maio de 1926
Invasão da República Dominicana pelos Estados Unidos em 1965
Protestos de 1968
República de Weimar
Revolução Romena de 1989
Revolução Russa de 1905
Revolução Russa de 1917
Revolução Sandinista
Revolução Siamesa de 1932
Revolução Tranquila
Revolução Ucraniana
Revolução verde
Revolução Xinhai
Protestos antigovernamentais de 2007 em Myanmar
Queda do regime de Slobodan Milošević
Revolução das Tulipas
Revolução Arménia em 2018
Revolução dos Cedros
Revolução Laranja
Primavera Árabe
Revolução Rosa
Revolução Roxa
Protestos em Quixinau em 2009
Protestos eleitorais no Irã em 2009
Lutas e revoluções no Brasil
Coluna Prestes
Revolução Constitucionalista de 1932
Revolução de 1930
Guerra dos Farrapos
Revolução Federalista
Intentona Comunista
Levante Integralista
Revolução de 1923
Revolução Praieira
Revolta Paulista de 1924
Revoltas liberais de 1842
Sedição de Juazeiro
História militar de Portugal
Crise dinástica de 1383–1385
Lista de revoluções
Al-Andalus
Presúria do Porto
Conquista de Coimbra
Condado de Coimbra
Portugal na Reconquista
Cerco de Coimbra
Condado de Santarém
Templários em Portugal
Portugal na Idade Média
Conquista de Ceuta
Inquisição portuguesa
Conselho de Governadores do Reino de Portugal
Conselho de Portugal
Conselho da Fazenda
Guerra da Restauração
Período pombalino
Expulsão dos jesuítas de Portugal
Processo dos Távoras
Sismo de Lisboa de 1755
Guerra das Laranjas
"Reino Unido de Portugal, Brasil e Algarves"
História de Portugal (1834–1910)
Portugal na Primeira Guerra Mundial
História da arquitetura em Portugal
História da arte em Portugal
História do direito português
História económica de Portugal
Historiografia de Portugal
História da literatura em Portugal
