Ulisses Guimarães (Itumbiara)
Lista de presidentes da Câmara dos Deputados do Brasil
Flávio Portela Marcílio
Antonio Paes de Andrade
José Antônio Flores da Cunha
Ranieri Mazzilli
"Lista de ministros do Desenvolvimento, Indústria e Comércio Exterior do Brasil"
Brasil
João Goulart
Tancredo Neves
Francisco de Paula Brochado da Rocha
Artur Bernardes Filho
Otávio Augusto Dias Carneiro
Deputado federal
São Paulo (estado)
Deputado estadual
6 de outubro
1916
Rio Claro (São Paulo)
12 de outubro
1992
Angra dos Reis
Rio de Janeiro (estado)
Brasileiros
Alma mater
Faculdade de Direito da Universidade de São Paulo
Partido Social Democrático (1945)
Movimento Democrático Brasileiro (1966)
Movimento Democrático Brasileiro (1980)
Advogado
Professor
Ordem Militar de Cristo
Ordem do Infante D. Henrique
Político
Ditadura militar no Brasil
Assembleia Nacional Constituinte de 1987
Itaqueri da Serra
Itirapina
Interior de São Paulo
Câmara dos Deputados do Brasil
Eleição presidencial no Brasil em 1989
Democracia
Bipartidarismo
Anistia
Partido do Movimento Democrático Brasileiro
Orestes Quércia
Leonel Brizola
Mario Covas
Fernando Henrique Cardoso
Luiz Inácio Lula da Silva
Franco Montoro
Redemocratização
Diretas Já
Helicóptero
Centro Acadêmico XI de Agosto
União Nacional de Estudantes
Universidade de São Paulo
Faculdade de Direito da Universidade Presbiteriana Mackenzie
Universidade Mackenzie
Direito Internacional Público
Direito Municipal
Faculdade de Direito de Itu
Direito Constitucional
Instituição Toledo de Ensino
Bauru
Advocacia
Direito Tributário
Santos Futebol Clube
Partido Social Democrático (1945-2003)
Figueira
Estado Novo (Portugal)
Marcha da Família com Deus pela Liberdade
Movimento Democrático Brasileiro
Pernambuco
Barbosa Lima Sobrinho
Assembleia Legislativa de São Paulo
Constituição brasileira de 1988
Colégio eleitoral
José Sarney
Partido da Frente Liberal
São Pedro
Sarney
Paulista
Portugal
Serviço Nacional de Informações
PMDB
Mário Covas
Presidente do Brasil
Orestes Quercia
Fernando Collor
Impeachment de Fernando Collor
Praça Ulysses Guimarães
Campinas
Severo Gomes
Panteão da Pátria e da Liberdade Tancredo Neves
Folha de S.Paulo
Wikimedia
"Lista de ministros do Desenvolvimento, Indústria, Comércio e Serviços do Brasil"
Período Populista
Cronologia da Quarta República Brasileira
Antônio Balbino
Egídio Michaelsen
Ditadura militar brasileira
Cronologia da ditadura militar brasileira
Otávio Gouveia de Bulhões
Daniel Agostinho Faraco
Paulo Egydio Martins
Macedo Soares (militar)
Fábio Yassuda
Pratini de Moraes
Ângelo Calmon de Sá
João Camilo Penna
Murilo Badaró
Nova República
Cronologia da Sexta República Brasileira
Roberto Herbster Gusmão
José Hugo Castelo Branco
Luiz André Rico Vicente
Roberto Cardoso Alves
José Eduardo (político)
Ailton Barcelos Fernandes
Élcio Álvares
Dorothea Werneck
Francisco Dornelles
José Botafogo Gonçalves
Celso Lafer
Clóvis Carvalho
Alcides Tápias
Sérgio Amaral
Luiz Fernando Furlan
Miguel Jorge
Fernando Pimentel
Mauro Borges Lemos
Armando Monteiro
Marcos Pereira
Marcos Jorge de Lima
Geraldo Alckmin
Presidente da Câmara dos Deputados do Brasil
Primeiro reinado
Pedro I do Brasil
Luís Pereira da Nóbrega de Sousa Coutinho
Francisco de Paula Sousa e Melo
Pedro de Araújo Lima
José da Costa Carvalho
Romualdo Antônio de Seixas
José Ribeiro Soares da Rocha
Período regencial (Brasil)
Martim Francisco Ribeiro de Andrada
