Taiwan
Bandeira da China
Brasão de armas da China
Marcha dos Voluntários
Ilha de Taiwan
Estatuto da República da China
República da China
Disputa de fronteira sino-indiana
Pequim
Xangai
Mandarim padrão
Gentílico
República popular
Estado socialista
Unipartidarismo
Secretário-Geral do Partido Comunista da China
Lista de presidentes da República Popular da China
Xi Jinping
Vice-presidente da República Popular da China
Han Zheng
Primeiro-ministro da República Popular da China
Li Qiang
Vice-primeiro-ministro da República Popular da China
Congresso Nacional do Povo
Zhao Leji
Conferência Consultiva Política do Povo Chinês
Wang Huning
História da China
Revolução Xinhai
Proclamação da República Popular da China
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Mongólia
Rússia
Coreia do Norte
Vietnã
Laos
Mianmar
Índia
Butão
Nepal
Paquistão
Afeganistão
Tajiquistão
Quirguistão
Cazaquistão
Lista de países por população
Densidade populacional
Produto interno bruto
Paridade do poder de compra
Trilhões
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Renminbi
ISO 4217
Fuso horário
Tempo Universal Coordenado
ISO 3166-1
Lista de TLDs
.cn
Lista de códigos telefónicos
Língua inglesa
Hong Kong
Língua portuguesa
Macau
Encyclopædia Britannica
Líder político da China
Chinês simplificado
Chinês tradicional
Pinyin
País
Ásia Oriental
Terra
Partido Comunista da China
Ditadura Democrática Popular
Classe trabalhadora
Trabalhador
Camponês
Províncias da China
Regiões autónomas da China
Xinjiang
Mongólia Interior
Tibete
Ninxiá
Quancim
Municípios da China
Tianjin
Xunquim
Região administrativa especial
Estepe
Deserto
Deserto de Gobi
Taclamacã
Sibéria
Floresta tropical e subtropical húmida
Myanmar
Himalaias
Tian Shan
Ásia Central
China continental
Mar da China Meridional
Mar da China Oriental
Coreia
Coreia do Sul
Japão
Nação
Rio Amarelo
Monarquia
Dinastias chinesas
Dinastia Xia
Dinastia Qing
Dinastia Chin
República da China (1912–1949)
Império do Japão
Segunda Guerra Mundial
Guerra Civil Chinesa
Kuomintang
Taipé
Ilha Formosa
Ilhas Pescadores
Quemói
Ilhas Matsu
Estatuto de Taiwan
Abertura econômica da China
Lista de países por exportações
Lista de países por importações
Industrialização
Pobreza
Superpotência emergente
Grande potência
Conselho de Segurança das Nações Unidas
Organização das Nações Unidas
Organização Mundial do Comércio
Cooperação Econômica Ásia-Pacífico
G20
BRICS
Organização para Cooperação de Xangai
Tratado de Não Proliferação de Armas Nucleares
Países com armamento nuclear
Lista de países por gastos militares
Nomes da China
Língua persa
Sânscrito
Duarte Barbosa
Dinastia Zhou (690–705)
Hinduísmo
Mahabharata
Código de Manu
Dinastia
Shujing
Huaxia
Hominidae
Zhoukoudian
Homem de Pequim
Homo erectus
Fogo
Humano
Yin Xu
Dinastia Shang
Cultura Erlitou
Idade do Bronze
Honã
Feudalismo
China Oriental
Escrita em ossos oraculares
Sinograma
Século XII a.C.
Século V a.C.
Chefe militar
Senhoria
Período das Primaveras e Outonos
Período dos Estados Combatentes
Estado
Soberania
Guerras de unificação da China
Imperador da China
Muralha da China
Pastor
Nomadismo
Exército de terracota
Dinastia Qin
Mausoléu de Qin Shihuang
Qin Shihuang
Reino de Chim
Língua chinesa
Legalismo (filosofia chinesa)
Dinastia Han
Han (etnia)
História da dinastia Han
Rota da Seda
Europa
Revolução Industrial
Grande Divergência
Três Reinos
Wu Oriental
Dinastia Sui
Batalha de Salsu
Dinastia Tang
Dinastia Sung
Era dourada
Rebelião de An Lushan
Papel-moeda
Marinha
Arroz
Pintura de paisagem
Retrato
Zhu Xi
Confucionismo
Budismo
Neoconfucionismo
Mongóis
Grão-cã
Império Mongol
Kublai Khan
Dinastia Yuan
Conquista mongol do Império Corásmio
Zhu Yuanzhang
Dinastia Ming
Zheng He
África
Nanquim
Wang Yangming
Individualismo
Moral
Dinastia Joseon
Vassalagem
Li Zicheng
Chongzhen
Manchus
Cidade Proibida
Palácio
Patrimônio Mundial
UNESCO
Junco (barco)
Guerras do ópio
Império colonial
Mundo ocidental
Comércio exterior da China
Missão cristã
Ópio
Índia britânica
Império Britânico
Imperialismo
Tratado de Shimonoseki
Primeira Guerra Sino-Japonesa
Rebelião Taiping
Guerra civil
Hong Xiuquan
Idiossincrasia
Cristianismo
Jesus
Aliança das Oito Nações
Levante dos Boxers
História da humanidade
Primeira Guerra Mundial
Rebelião Nien
Revolta dos Panthay
Revolta Dungan
Colonialismo
Diáspora
Sudeste Asiático
Emigração
Era Meiji
Manchúria
Península da Coreia
Reforma dos Cem Dias
Monarquia constitucional
Guangxu
Cixi
Prisão domiciliar
Golpe de Estado
Pu Yi
Consorte real
Yuan Shikai
História da República da China (1912 - 1949)
Sun Yat-sen
Chiang Kai-shek
Exército de Beiyang
Império da China (1915–1916)
Expedição do Norte
Tutela
Democracia
Grande Marcha
Incidente de Xi’an
Japão Imperial
Massacre de Nanquim
Segunda Guerra Sino-Japonesa
Dia V-J
Sanko Sakusen
Crimes de guerra do Japão Imperial
História da República Popular da China
Mao Tsé-Tung
Maoísmo
Grande Salto Adiante
Revolução Cultural Chinesa
Qufu
Guarda Vermelha (China)
Ainão
Guerra Fria
Exército de Libertação Popular
Iunã
Movimento Quatro de Maio
Sexismo
Fome
União Soviética
Ruptura sino-soviética
Zhou Enlai
Richard Nixon
Estados Unidos
Arte
Literatura da China
Artes cénicas
Ópera de Pequim
Propaganda
Socialismo com características chinesas
Deng Xiaoping
Jimmy Carter
Casa Branca
Protesto na Praça da Paz Celestial em 1989
Camarilha dos Quatro
Hua Guofeng
Líder Supremo da China
Comuna popular (China)
Economia planificada
Economia mista
Socialismo de mercado
Hu Yaobang
Massacre da Praça da Paz Celestial em 1989
Liberdade de expressão
O Rebelde Desconhecido
Jiang Zemin
Zhu Rongji
Shenzhen
Crescimento econômico
Economia da China
Recurso natural
Meio ambiente
Hu Jintao
Wen Jiabao
Padrão de vida
Grande Recessão
Li Keqiang
Pandemia de COVID-19
Imagem de satélite
Aksai Chin
Vale de Shaksgam
Mar territorial
Lista de fronteiras terrestres internacionais por comprimento
Mar Amarelo
Planície aluvial
Morro
Cordilheira
Delta
Rio Yangtzé
Rio Xi
Rio Mecom
Rio Bramaputra
Rio Amur
Monte Everest
Planalto
Huanglong
Sujuão
Panda-gigante
Endemismo
Países megadiversos
Região biogeográfica
Região paleoártica
Região indo-malaia
Mamíferos
Cavalo
Camelo
Jerboa
Tigre
Gato-leopardo
Tigre-do-sul-da-china
Camundongo-do-mato
Tupaia
Macaco
Simiiformes
Migração de animais
Cervídeos
Antílope
Ursidae
Lobo
Porco
Roedores
Espécie ameaçada
Flora da China
Floresta
Coníferas
Alce
Urso-negro-asiático
Aves
Bambu
Rododendro
Poluição atmosférica
Poluição
Poluição da água
Água potável
Energia renovável
Aerogerador
Painel solar fotovoltaico
Usina hidrelétrica
Classificação climática de Köppen-Geiger
Clima
Estação seca
Monção
Inverno
Verão
Latitude
Topografia
Tempestade de areia
Seca
Primavera
Ásia
Desertificação
Erosão
Geleira
Vale Jiuzhaigou
Sichuan
Muztagh Ata
Dunhuang
Gansu
Rio Li
Guilin
Guangxi
Parque Geológico Nacional Zhangye Danxia
Sanya
Hainan
Demografia da China
Linha de pobreza
Planejamento familiar
Política do filho único
Taxa de fecundidade
Ultrassonografia
Aborto
Etnias da China
Grupo étnico
Línguas sino-tibetanas
Língua mandarim
Língua wu
Dialeto xangainês
Língua cantonesa
Línguas min
Hokkien singapurense
Língua gan
Língua hacá
Língua xuém
Língua mongol
Língua tibetana
Língua uigur
Língua hmong
Língua coreana
Dialeto de Pequim
Língua oficial
Língua franca
Lista de cidades da China por população
Taxa de urbanização
Cidade global
Subdivisões da República Popular da China
Chengdu
Jiangsu
Cheniangue
Liaoningue
Cantão (cidade)
