Petrópolis
Rio de Janeiro (estado)
MCTI
"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
Computação científica
Rio de Janeiro (cidade)
Supercomputador
América Latina
Stricto sensu
Modelagem computacional
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
Engenharia de biossistemas
Bioinformática
Biologia computacional
Atmosfera
Oceanos
Meio ambiente
Ciência
Mecânica dos fluidos
Prospecção do petróleo
Otimização
Análise matemática
Sistemas de controle
Equações diferenciais
Análise de sensibilidade
Mestrado
Doutorado
Multidisciplinaridade
Matemática aplicada
CAPES
CNPq
FAPERJ
