Delta do Nilo
Corpo de água
Rio
Estuário
Rio Congo
Delta
Rio Nilo
Rio Amazonas
Rio Capibaribe
Rio Beberibe
Rio Jordão (Pernambuco)
Pina (Recife)
Rio Tejipió
Recife
Rio Ebro
Rio Arno
Mar Tirreno
Itália
Cartografia
Rio Danúbio
International Standard Book Number
Acidente geográfico
Costa
Península
Cabo (geografia)
Baía
Enseada
Saco (acidente geográfico)
Arrecife
Atol
Praia
Estreito
Falésia
Fiorde
Curso de água
Canal
Córrego
Meandro
Barra
Oceano
Mar
Lagoa
Lago
Laguna
Aquífero
Queda de água
Geleira
Continente
Ilha
Arquipélago
Ilhéu
Matacão
Istmo
Depressão (geografia)
Abismo
Buraco azul
Fossa oceânica
Vale
Cânion
Planície de inundação
Cratera
Montanha
Morro
Outeiro
Cordilheira
Serra
Passo de montanha
Planalto
Chapada
Mesa (geografia)
Vulcão
Planície
Deserto
Lago seco
Duna
Oásis
Hidrografia
