BRIC
Abiy Ahmed
Abdel Fattah el-Sisi
Cyril Ramaphosa
Xi Jinping
Vladimir Putin
Narendra Modi
Mohamed bin Zayed Al Nahyan
Masoud Pezeshkian
Mauro Vieira
Ecaterimburgo
Rússia
Setembro
2006
Assembleia Geral das Nações Unidas
16 de junho
2009
Primeira cúpula do BRIC
Brasil
Índia
China
África do Sul
Egito
Emirados Árabes Unidos
Etiópia
Irã
Irão
Língua portuguesa
Língua russa
Língua hindi
Língua mandarim
Língua inglesa
Língua árabe
Língua amárica
Língua persa
Chefes de Estado
Luiz Inácio Lula da Silva
Salman bin Abdulaziz Al Saud
Sahle-Work Zewde
Ali Khamenei
Celso Amorim
Sergey Lavrov
Manmohan Singh
Hu Jintao
Dmitri Medvedev
Mercado emergente
Acrônimo
República Popular da China
14 de abril
2011
1 de janeiro
2024
Arábia Saudita
Bloco econômico
União Europeia
Coalizão
G7
Novo Banco de Desenvolvimento
Acordo de Reserva Contingente dos BRICS
Não-Intervencionismo
Mercados emergentes
Goldman Sachs
Jim O'Neill
Dmitry Medvedev
2008
Ministro do Exterior
Organização das Nações Unidas
Yekaterinburg
Grande Recessão
Instituição financeira
País em desenvolvimento
Potência emergente
BASIC (grupo de países)
G5
IBAS
24 de dezembro
2010
Jacob Zuma
Pequim
Crescimento econômico
África
PIB
Continente africano
África Austral
Lista de países por PIB nominal
8.ª reunião de cúpula do G20
São Petersburgo
Economia da África do Sul
Economia da Rússia
Geopolítica
Continente
Fundo Monetário Internacional
Guido Mantega
G20
Brisbane
Anexação da Crimeia à Federação Russa
Governo dos EUA
Moscou
Organização Mundial da Saúde
Instituto Brasileiro de Geografia e Estatística
Argélia
Lista de presidentes da Venezuela
Nicolás Maduro
Argentina
Joanesburgo
Javier Milei
Diana Mondino
Barém
Bangladexe
Bielorrússia
Bolívia
Cazaquistão
Cuba
Honduras
Quaite
Estado da Palestina
Senegal
Tailândia
Venezuela
Vietnã
Afeganistão
Angola
Comores
Gabão
Guiné-Bissau
Nicarágua
Paquistão
República Democrática do Congo
Sudão
Síria
Tunísia
Turquia
Uganda
Zimbábue
Marrocos
Guerra Israel-Hamas
Bangladesh
Uruguai
País
USD
Presidente do Brasil
Fernando Haddad
Roberto Campos Neto
Real (moeda brasileira)
Presidente da Rússia
Elvira Nabiullina
Rublo russo
Primeiro-ministro da Índia
Rupia indiana
Presidente da República Popular da China
Zhou Xiaochuan
Renminbi
Presidente da África do Sul
Rand
Lista de presidentes do Egito
Abdul Fatah Khalil Al-Sisi
Libra egípcia
Rei
Rial
Presidente dos Emirados Árabes Unidos
Maomé bin Zayed Al Nahyan
Dirrã dos Emirados Árabes Unidos
Lista de presidentes da Etiópia
Birr etíope
Líder Supremo do Irão
Rial iraniano
Lista de países e territórios por área
Lista de países por população
Lista de países por PIB (Paridade do Poder de Compra)
Lista de países por exportações
Lista de países por importações
Balança comercial
Lista de países por consumo de eletricidade
Lista de países por automóvel per capita
Índice de Liberdade Econômica
Lista de países por produção de petróleo
Lista de países por Índice de Desenvolvimento Humano
Economia do Brasil
Economia da Índia
Economia da China
Produto interno bruto
Paridade de poder de compra
Financiamento
Infraestrutura (engenharia)
Desenvolvimento econômico
País subdesenvolvido
Países emergentes
Capital social (contabilidade)
Sexta cúpula do BRICS
"Fortaleza, Ceará"
Dilma Rousseff
Putin
Xangai
Crédito
Instituições financeiras
Banco Mundial
Acordos de Bretton Woods
Balanço de pagamentos
Cooperação Sul-Sul
Sétima cúpula do BRICS
SWIFT
Banco central
Banco Central da Rússia
Cópia de segurança
Pix
União monetária
Comércio internacional
Custo de transação
Foreign Policy
Autossuficiência
Zona Euro
Ouro
Dólar americano
Segunda cúpula do BRIC
Quarta cúpula do BRICS
Oitava cúpula do BRICS
Nona cúpula do BRICS
Décima cúpula do BRICS
Décima primeira cúpula do BRICS
Reuniões de cúpula dos BRICS
Brasília
Terceira cúpula do BRICS
Sanya
Nova Déli
Quinta cúpula do BRICS
Durban
Fortaleza
Ufa
Goa
Xiamen
Jair Bolsonaro
Décima segunda cúpula do BRICS
São Petesburgo
Décima terceira cúpula do BRICS
Nova Delhi
Décima quarta cúpula do BRICS
Décima quinta cúpula do BRICS
Décima sexta cúpula do BRICS
Cazã
Crise econômica de 2008
Dólar
Moeda de reserva
16 de maio
Rio de Janeiro (cidade)
Energia
Tecnologia da informação
Infraestrutura (economia)
Agronegócio
Segurança alimentar
Províncias da República Popular da China
Hainan
2014
Imunidade diplomática
Tribunal Penal Internacional
Superpotência emergente
Brasil como superpotência emergente
China como superpotência emergente
Índia como superpotência emergente
Rússia como superpotência emergente
Países recentemente industrializados
Próximos Onze
Pacto do ABC
Tigres asiáticos
Crescimento demográfico
Organização Mundial do Comércio
Fórum de Diálogo Índia-Brasil-África do Sul
International Standard Serial Number
Digital object identifier
The Times
Wayback Machine
Kremlin
The World Factbook
Central Intelligence Agency
Nações Unidas
Heritage Foundation
El País
EFE
Revista Exame
Jornal de Brasília
BBC Brasil
Folha Online
