Trincheira
Albatros D.III
Carro de combate
Britânico
Mark I (tanque de guerra)
Máscara contra gases
Mina naval
28 de julho
1914
11 de novembro
1918
Oceano Pacífico
Oceano Atlântico
Oceano Índico
Europa
Ásia
África
Oriente Médio
América do Norte
América do Sul
Aliados (Primeira Guerra Mundial)
Império Alemão
Império Russo
Império Otomano
Império Austro-Húngaro
Império colonial alemão
Partilha do Império Otomano
Sociedade das Nações
Tríplice Entente
Terceira República Francesa
Império Britânico
União Sul-Africana
Austrália
Canadá
Índia britânica
Domínio de Terra Nova
Nova Zelândia
Rodésia do Sul
Reino da Itália (1861–1946)
Estados Unidos
Reino da Sérvia
Império do Japão
Bélgica
Reino da Grécia
Reino da Romênia
Reino do Montenegro
Portugal
Primeira República Portuguesa
Tailândia
Reino de Rattanakosin
Reino do Hejaz
Emirado do Négede e Hasa
Governo de Beiyang
Participantes da Primeira Guerra Mundial
Impérios Centrais
Tríplice Aliança (1882)
Áustria-Hungria
Reino da Bulgária
Georges Clemenceau
Raymond Poincaré
Ferdinand Foch
Jorge V do Reino Unido
H. H. Asquith
David Lloyd George
Douglas Haig
Winston Churchill
Nicolau II da Rússia
Nicolau Nikolaevich da Rússia (1856–1929)
Aleksei Brusilov
Alexander Kerensky
Vítor Emanuel III da Itália
Vittorio Emanuele Orlando
Luigi Cadorna
Woodrow Wilson
John J. Pershing
Pedro I da Iugoslávia
Fernando I da Romênia
Alberto I da Bélgica
Taishō
"Huceine ibne Ali, Xarife de Meca"
Guilherme II da Alemanha
Paul von Hindenburg
Erich Ludendorff
Erich von Falkenhayn
Helmuth Johann Ludwig von Moltke
Francisco José I da Áustria
Carlos I da Áustria
Franz Conrad von Hötzendorf
Arthur Arz von Straußenburg
Maomé V Raxade
Mehmed VI
İsmail Enver
Mehmed Talat
Ahmed Djemal
Fernando I da Bulgária
Nikola Zhekov
Campanha Balcânica
Frente Ocidental (Primeira Guerra Mundial)
Frente Oriental (Primeira Guerra Mundial)
Campanha italiana (Primeira Guerra Mundial)
Teatro de operações do Oriente Médio na Primeira Guerra Mundial
Campanha do Cáucaso
Campanha Persa
Campanha de Galípoli
Campanha da Mesopotâmia
Campanha do Sinai e Palestina
Revolta Árabe
Teatro africano da Primeira Guerra Mundial
Campanha da África Oriental
Teatro de operações da Ásia e Pacífico na Primeira Guerra Mundial
Segunda Guerra Mundial
Guerra
Grande potência
Aliados da Primeira Guerra Mundial
Reino Unido da Grã-Bretanha e Irlanda
Reino de Itália (1861–1946)
Europeus
Causas da Primeira Guerra Mundial
Imperialista
Atentado de Sarajevo
Francisco Fernando da Áustria
Gavrilo Princip
Sarajevo
Bósnia (região)
Ultimato de Julho
Campanha Sérvia
Luxemburgo
Prússia Oriental
Polônia
Revolução Alemã de 1918-1919
Cessar-fogo
Dia do Armistício
Guerra total
Estados sucessores
Europa central
Liga das Nações
Nações Unidas
Nacionalismo
Depressão econômica
Tratado de Versalhes (1919)
Ernst Haeckel
Maclean's
A guerra para acabar com a guerra
Equilíbrio de poder
Concerto da Europa
Isolamento esplêndido
Declínio do Império Otomano
Prússia
Otto von Bismarck
Guerra Austro-Prussiana
Guerra Franco-Prussiana
Revanchismo
Alsácia-Lorena
Liga dos Três Imperadores
Guerra Russo-Turca (1877–1878)
Bálcãs
Aliança Dual
Tratado de Resseguro
Leo von Caprivi
Aliança Franco-Russa
Entente Cordiale
Convenção Anglo-Russa
Crise de Agadir
HMS Dreadnought (1906)
Corrida armamentista
Reino Unido
Unificação da Alemanha
Almirante
Alfred von Tirpitz
Marinha Imperial Alemã
Marinha Real Britânica
Alfred Thayer Mahan
Marinha de alto mar
SMS Rheinland
Couraçado
Theobald von Bethmann-Hollweg
Guerra Russo-Japonesa
Conscrição
Crise bósnia
Pan-eslavismo
Igreja Ortodoxa
Estudos eslavos
Bósforo
Bulgária
Bósnia e Herzegovina
Independência da Bulgária
Tratado de Berlim (1878)
Expansionismo
Guerra Ítalo-Turca
Liga Balcânica
Montenegro
Trácia Oriental
Primeira Guerra Balcânica
Mar Adriático
Galícia (Europa Central)
Tratado de Londres (1913)
Albânia Independente
Segunda Guerra Balcânica
Dobruja do Sul
Guerras dos Balcãs
Francisco Fernando da Áustria-Hungria
Sérvios
Arquiduque
Austríaco
Bósnia e Herzegovina (condomínio da Áustria-Hungria)
Cvjetko Popović
Muhamed Mehmedbašić
Nedeljko Čabrinović
Trifko Grabež
Vaso Čubrilović
Jovem Bósnia
Mão Negra
Sérvia
Granada de mão
"Sofia, duquesa de Hohenberg"
Viena
Ataques de 11 de setembro de 2001
Motins antissérvios em Sarajevo
Bósnios
Bosníacos
Sérvios da Bósnia e Herzegovina
Croácia
Eslovênia
Schutzkorps
Crise de Julho
Balcãs
Plano Schlieffen
Potências Centrais
Exército Austro-Húngaro
Blériot XI
Batalha de Cer
Batalha de Kolubara
Verdun
Rio Marne
Moltke
Paris
Batalha das Fronteiras
Força Expedicionária Britânica
Primeira Batalha do Marne
Alsácia
Batalha de Mulhouse
Batalha de Tannenberg (1914)
Melbourne
Samoa alemã
Samoa Ocidental
Nova Bretanha
Nova Guiné Alemã
SMS Emden (1908)
Batalha de Penang
Cerco de Tsingtao
Qingdao
Shandong
SMS Kaiserin Elisabeth
Tiberias
Togolândia
Kamerun
Sudoeste Africano Alemão
África do Sul
África Oriental Alemã
Paul von Lettow-Vorbeck
Terceira Guerra Anglo-Afegã
Pan-islamismo
Afeganistão
Partido do Congresso Nacional Indiano
