Warner Bros. Entertainment
Time Warner
Comcast
NBCUniversal
Crítica de cinema
Comunidade virtual
Estados Unidos
Língua inglesa
12 de agosto
1998
Website
Agregador de críticas
2010
Flixster
2011
Warner Bros.
2016
Fandango (empresa)
Língua portuguesa
Tomate
Alexa Internet
Jackie Chan
Your Friends & Neighbors
Netscape
Yahoo!
USA Today
Universidade da Califórnia
Berkeley (Califórnia)
2000
2004
IGN Entertainment
2005
News Corp
Roger Ebert
Stephen Hunter
Peter Travers
Lançamento limitado
New York Film Critics Circle
Victor Frankenstein
Martin Scorsese
Mother!
Liga da Justiça (filme)
Conflito de interesse
DC Extended Universe
Mulher-Maravilha (2017)
Deadline.com
San Francisco Chronicle
Variety
Metacritic
